exemplar,category strength,exemplar strength
auto,0.304,0.037
boot,0.007,0.007
bromfiets,0.000,0.015
brommer,0.022,0.015
bus,0.067,0.037
camion,0.004,0.048
camionette,0.000,0.052
caravan,0.000,0.000
duikboot,0.000,0.000
fiets,0.100,0.019
gocart,0.000,0.007
helikopter,0.000,0.011
hovercraft,0.000,0.015
jeep,0.000,0.007
kar,0.007,0.033
koets,0.000,0.011
luchtballon,0.000,0.000
metrostel,0.000,0.011
moto,0.004,0.019
raket,0.000,0.000
skateboard,0.000,0.000
slede,0.000,0.000
step,0.000,0.010
taxi,0.004,0.037
tractor,0.000,0.004
tram,0.004,0.044
trein,0.048,0.019
vliegtuig,0.063,0.004
vrachtwagen,0.004,0.052
zeppelin,0.000,0.000
