exemplar,generation frequency,mean rank position
blikopener,7,7.0
bord,42,5.4
broodrooster,6,6.0
fles,1,9.0
fornuis,15,6.5
frigo,3,8.7
glas,16,6.6
handdoek,9,6.1
ketel,6,4.7
klopper,21,4.6
koffiezet,10,5.6
kom,19,6.1
lepel,98,3.0
mes,105,2.6
microgolf,19,5.7
mixer,61,4.2
notenkraker,1,8.0
onderlegger,2,9.5
oven,12,6.8
pan,87,4.4
pot,54,5.1
rasp,2,7.0
schaar,6,6.2
schort,8,5.9
spatel,16,5.8
tas,11,5.9
theelepel,3,4.3
vergiet,6,5.3
vork,95,3.0
waterkoker,2,6.0
weegschaal,2,9.0
wok,6,6.7
zeef,4,5.8
