exemplar,generation frequency,mean rank position
badminton,9,5.444
ballet,14,5.071
baseball,9,4.889
basketbal,71,4.014
biljarten,2,8.0
boksen,5,6.4
golf,16,5.188
handbal,10,5.1
hardlopen,39,6.0
ijshockey,6,4.333
judo,23,5.739
kogelstoten,6,5.333
paardrijden,12,5.333
rugby,15,6.533
schaken,8,6.25
schermen,2,6.0
skiën,12,5.667
sportvissen,5,4.4
squash,12,5.417
surfen,4,5.25
tafeltennis,27,6.444
tennis,86,3.477
turnen,25,5.44
verspringen,4,5.75
voetbal,102,2.275
volleybal,72,4.125
wandelen,4,4.25
wielrennen,7,6.429
zeilen,6,5.833
zwemmen,72,4.681
