exemplar,respondent 0,respondent 1,respondent 10,respondent 11,respondent 12,respondent 13,respondent 14,respondent 15,respondent 16,respondent 17,respondent 18,respondent 19,respondent 2,respondent 20,respondent 21,respondent 22,respondent 23,respondent 24,respondent 25,respondent 26,respondent 27,respondent 3,respondent 4,respondent 5,respondent 6,respondent 7,respondent 8,respondent 9,mean,std,nonmissing
blikopener,4,4,3,4,3,3,4,2,4,4,4,4,3,3,4,3,3,3,3,3,2,3,3,3,3,4,3,3,3.285714286,0.599823607,28
bord,5,5,5,5,4,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,4,4.857142857,0.356348323,28
broodrooster,5,4,3,4,4,5,5,2,4,5,4,4,4,4,4,4,3,3,3,4,3,3,4,4,5,4,3,3,3.821428571,0.772373515,28
fles,5,5,4,5,4,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,4.892857143,0.314970394,28
fornuis,5,4,3,4,3,3,5,3,3,5,4,3,2,3,4,3,5,2,4,3,2,4,3,4,5,4,5,3,3.607142857,0.956044541,28
frigo,5,5,3,5,4,3,5,5,5,5,4,5,5,4,5,5,4,5,4,5,3,5,5,4,5,5,5,5,4.571428571,0.690065559,28
glas,5,5,5,5,4,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4.928571429,0.262265264,28
handdoek,5,5,5,4,4,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4.892857143,0.314970394,28
ketel,3,4,3,4,2,4,4,2,2,2,4,4,3,2,4,5,3,2,3,5,4,2,4,4,3,3,2,4,3.25,0.967049733,28
klopper,5,2,3,4,2,2,5,2,3,2,4,3,4,2,3,3,3,3,3,4,4,4,3,3,2,4,4,3,3.178571429,0.904866326,28
koffiezet,5,4,3,4,4,2,5,2,4,4,5,3,4,4,5,3,3,3,4,5,1,5,4,3,3,3,4,3,3.642857143,1.026114055,28
kom,5,5,3,4,4,4,5,2,5,5,4,5,4,4,4,4,3,4,5,4,4,5,4,4,5,4,5,4,4.214285714,0.738223235,28
lepel,5,5,5,5,4,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4.892857143,0.314970394,28
mes,5,4,5,5,4,5,5,5,5,5,5,5,5,4,5,5,5,5,4,5,5,5,5,5,5,5,5,5,4.857142857,0.356348323,28
microgolf,5,4,4,5,3,5,5,5,4,5,5,5,5,4,5,5,5,4,4,4,5,3,5,4,5,5,5,5,4.571428571,0.634126487,28
mixer,5,3,3,4,3,4,5,2,3,5,4,4,3,3,3,3,3,3,4,3,4,3,3,3,2,4,4,3,3.428571429,0.790151014,28
notenkraker,3,4,3,5,3,2,4,3,3,2,4,4,2,2,2,3,3,3,2,3,2,2,3,3,2,3,2,3,2.857142857,0.803431793,28
onderlegger,5,4,3,5,4,3,4,4,3,3,4,4,3,2,3,4,4,3,5,5,5,3,4,4,5,4,5,4,3.892857143,0.831744517,28
oven,5,5,3,5,3,5,5,4,4,5,5,4,5,4,5,3,3,4,4,3,5,5,5,4,5,5,5,4,4.357142857,0.780042056,28
pan,5,4,5,4,4,5,5,5,5,5,4,5,4,4,5,5,4,5,5,4,4,5,5,4,5,4,5,4,4.571428571,0.503952631,28
pot,5,5,3,4,4,3,5,5,5,4,4,5,5,4,5,5,5,5,3,4,4,5,5,5,4,5,5,4,4.464285714,0.692934867,28
rasp,5,3,4,4,1,3,4,2,3,3,4,4,2,3,2,3,3,3,3,4,2,3,2,3,2,3,3,3,3.0,0.860662966,28
schaar,5,5,4,5,4,5,5,5,4,5,5,5,4,5,5,4,5,4,4,5,5,4,4,4,5,5,4,4,4.571428571,0.503952631,28
schort,4,4,4,5,3,5,4,2,2,3,3,5,4,3,3,3,3,3,3,2,5,5,3,3,2,4,4,3,3.464285714,0.961562881,28
spatel,3,4,3,5,1,1,5,2,3,3,3,4,2,3,5,3,3,4,4,4,2,2,3,3,2,3,3,3,3.071428571,1.051579814,28
tas,5,5,4,5,3,3,5,5,4,4,5,5,4,4,5,5,5,5,5,5,5,4,5,5,5,5,5,4,4.607142857,0.628890011,28
theelepel,5,4,4,4,1,2,4,2,2,2,3,5,5,3,4,3,4,4,3,5,2,3,4,3,3,5,4,4,3.464285714,1.104943198,28
vergiet,5,3,3,3,1,2,5,3,3,5,4,4,2,3,3,3,4,4,3,5,3,2,3,4,3,3,4,3,3.321428571,0.983326607,28
vork,5,5,5,5,4,5,5,5,4,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4.892857143,0.314970394,28
waterkoker,5,4,3,3,1,4,5,4,4,3,5,4,3,3,4,4,3,4,2,3,3,2,5,3,3,3,3,3,3.428571429,0.959497223,28
weegschaal,5,5,3,5,3,4,5,2,4,3,4,4,4,3,2,4,3,3,3,3,4,3,3,4,5,3,4,3,3.607142857,0.875141712,28
wok,5,4,3,4,3,4,5,2,3,5,4,4,2,4,5,5,5,5,4,4,3,3,4,4,5,5,3,2,3.892857143,0.994029797,28
zeef,3,3,4,4,3,3,4,2,4,2,3,3,3,3,3,3,3,3,3,4,3,3,3,3,4,3,3,3,3.142857143,0.524530528,28
