exemplar,respondent 0,respondent 1,respondent 10,respondent 11,respondent 12,respondent 13,respondent 14,respondent 15,respondent 16,respondent 17,respondent 18,respondent 19,respondent 2,respondent 20,respondent 21,respondent 22,respondent 23,respondent 24,respondent 25,respondent 26,respondent 27,respondent 3,respondent 4,respondent 5,respondent 6,respondent 7,respondent 8,respondent 9,mean,std,nonmissing
adder,3,3,1,4,2,2,4,3,4,3,3,2,2,3,2,2,2,3,2,3,2,3,4,2,3,3,3,2,2.678571429,0.772373515,28
alligator,3,2,1,4,2,2,5,2,3,3,2,2,3,3,2,2,3,2,2,3,2,3,3,2,3,2,2,1,2.464285714,0.83808171,28
boa,3,3,2,4,3,2,4,2,4,3,2,3,2,3,1,2,3,2,2,3,2,3,2,2,3,3,3,2,2.607142857,0.737326789,28
cobra,3,3,2,3,2,2,3,2,4,3,2,3,3,3,1,2,3,2,3,3,2,3,3,2,3,2,2,2,2.535714286,0.63724772,28
dinosaurus,3,2,2,4,2,2,4,2,4,2,3,3,3,3,1,2,2,2,3,3,2,4,3,4,3,3,2,2,2.678571429,0.818923025,28
gekko,2,1,1,3,1,1,3,2,3,2,2,1,2,1,2,2,2,2,2,2,2,3,2,2,3,2,2,1,1.928571429,0.662686532,28
hagedis,3,3,2,4,2,2,5,4,4,3,2,3,3,3,2,2,2,2,3,3,3,3,3,3,3,3,3,2,2.857142857,0.755928946,28
hazelworm,2,2,1,1,1,1,3,2,2,3,1,2,2,1,1,1,1,2,2,1,1,1,3,1,2,3,1,1,1.607142857,0.737326789,28
kaaiman,3,2,2,3,2,1,2,1,2,2,2,1,3,2,1,1,3,2,2,3,2,2,3,2,2,2,2,1,2.0,0.666666667,28
kameleon,3,3,2,4,2,2,4,3,4,2,3,3,3,3,2,2,2,2,2,3,2,3,4,5,4,3,2,2,2.821428571,0.862965234,28
kikker,3,4,3,4,3,5,5,5,4,4,4,4,3,3,3,3,4,3,4,3,5,3,4,5,4,4,3,3,3.75,0.751541625,28
krokodil,3,3,2,4,2,2,5,4,4,3,3,3,3,3,2,3,3,2,3,3,4,4,5,5,4,4,3,2,3.25,0.927960727,28
leguaan,3,2,2,4,2,2,4,3,3,3,2,2,2,3,2,2,3,3,3,3,2,3,3,2,3,3,3,2,2.642857143,0.621484824,28
pad,4,3,2,4,3,5,5,4,4,4,3,3,3,3,3,2,3,3,2,3,3,4,4,2,4,4,3,2,3.285714286,0.854493259,28
python,3,2,2,4,2,2,4,2,3,3,2,3,3,3,1,1,2,2,2,3,2,3,2,2,3,2,3,2,2.428571429,0.741798187,28
salamander,3,2,1,4,2,3,4,4,4,3,2,3,3,3,2,2,2,3,3,3,3,3,3,3,3,3,3,2,2.821428571,0.722832465,28
schildpad,3,3,2,4,3,2,5,4,4,4,3,4,3,3,3,3,3,3,3,4,5,4,4,5,4,3,2,2,3.392857143,0.875141712,28
slang,3,3,3,4,3,5,4,4,4,4,4,3,3,3,3,3,3,3,4,3,3,4,5,5,4,3,3,3,3.535714286,0.692934867,28
varaan,3,2,1,4,1,1,3,2,3,2,1,2,2,1,1,1,2,2,2,2,1,1,1,1,3,2,3,1,1.821428571,0.862965234,28
waterschildpad,3,3,3,4,2,2,4,4,4,3,2,2,3,3,2,2,2,3,2,3,3,3,4,3,3,2,3,2,2.821428571,0.722832465,28
