exemplar,respondent 0,respondent 1,respondent 10,respondent 11,respondent 12,respondent 13,respondent 14,respondent 15,respondent 16,respondent 17,respondent 18,respondent 19,respondent 2,respondent 3,respondent 4,respondent 5,respondent 6,respondent 7,respondent 8,respondent 9
blikopener,32.0,30.0,25.0,12.0,24.0,10.0,20.0,9.0,14.0,14.0,27.0,28.0,29.0,13.0,24.0,21.0,21.0,6.0,23.0,5.0
bord,9.0,4.0,8.0,4.0,16.0,24.0,27.0,7.0,7.0,19.0,5.0,5.0,2.0,10.0,4.0,3.0,13.0,21.0,28.0,17.0
broodrooster,7.0,21.0,30.0,24.0,13.0,6.0,4.0,19.0,27.0,25.0,20.0,27.0,24.0,22.0,10.0,27.0,23.0,9.0,10.0,16.0
fles,15.0,16.0,27.0,7.0,26.0,25.0,33.0,29.0,33.0,33.0,31.0,11.0,10.0,33.0,30.0,17.0,14.0,30.0,27.0,25.0
fornuis,1.0,12.0,29.0,21.0,2.0,2.0,2.0,25.0,25.0,26.0,11.0,21.0,8.0,12.0,13.0,31.0,12.0,4.0,11.0,6.0
frigo,22.0,15.0,14.0,9.0,14.0,13.0,8.0,23.0,28.0,28.0,22.0,25.0,25.0,28.0,25.0,28.0,25.0,18.0,24.0,22.0
glas,10.0,3.0,17.0,16.0,8.0,22.0,29.0,6.0,9.0,20.0,6.0,6.0,6.0,9.0,5.0,4.0,5.0,28.0,7.0,28.0
handdoek,33.0,14.0,28.0,33.0,4.0,34.0,31.0,31.0,31.0,31.0,32.0,31.0,32.0,21.0,15.0,15.0,17.0,33.0,18.0,20.0
ketel,13.0,11.0,13.0,8.0,21.0,31.0,12.0,20.0,6.0,16.0,15.0,10.0,16.0,31.0,12.0,33.0,8.0,19.0,16.0,9.0
klopper,30.0,17.0,22.0,15.0,18.0,5.0,18.0,13.0,15.0,1.0,14.0,13.0,17.0,1.0,28.0,16.0,31.0,11.0,30.0,14.0
koffiezet,12.0,18.0,9.0,27.0,12.0,14.0,6.0,21.0,19.0,27.0,30.0,30.0,28.0,29.0,21.0,19.0,33.0,5.0,13.0,18.0
kom,21.0,8.0,3.0,14.0,25.0,18.0,26.0,4.0,8.0,9.0,8.0,12.0,12.0,2.0,14.0,24.0,3.0,3.0,19.0,21.0
lepel,14.0,5.0,6.0,6.0,11.0,15.0,15.0,3.0,3.0,4.0,2.0,4.0,9.0,19.0,11.0,5.0,9.0,26.0,22.0,26.0
mes,19.0,2.0,10.0,2.0,6.0,32.0,14.0,2.0,1.0,3.0,3.0,3.0,4.0,7.0,8.0,2.0,7.0,22.0,15.0,23.0
microgolf,3.0,22.0,26.0,13.0,10.0,3.0,3.0,22.0,26.0,23.0,19.0,22.0,13.0,16.0,16.0,25.0,24.0,8.0,3.0,8.0
