exemplar,respondent 0,respondent 1,respondent 10,respondent 11,respondent 12,respondent 13,respondent 14,respondent 15,respondent 16,respondent 17,respondent 18,respondent 19,respondent 2,respondent 20,respondent 21,respondent 22,respondent 23,respondent 24,respondent 25,respondent 26,respondent 27,respondent 3,respondent 4,respondent 5,respondent 6,respondent 7,respondent 8,respondent 9,mean,std,nonmissing
bij,3.0,9.0,20.0,18.0,19.0,20.0,20.0,20.0,20.0,15.0,14.0,20.0,15.0,19.0,10.0,18.0,16.0,12.0,20.0,16.0,12.0,20.0,15.0,13.0,16.0,15.0,6.0,20.0,15.75,4.599718188,28.0
bloedzuiger,20.0,9.0,10.0,7.0,20.0,20.0,1.0,11.0,1.0,15.0,19.0,1.0,20.0,7.0,19.0,1.0,10.0,10.0,9.0,19.0,3.0,15.0,3.0,11.0,11.0,8.0,2.0,10.0,10.42857143,6.669047194,28.0
daas,20.0,-1.0,20.0,15.0,20.0,20.0,20.0,18.0,8.0,19.0,14.0,16.0,20.0,19.0,1.0,18.0,15.0,16.0,5.0,19.0,1.0,16.0,8.0,20.0,18.0,11.0,17.0,6.0,14.81481481,6.025822874,27.0
duizendpoot,3.0,13.0,1.0,12.0,19.0,20.0,1.0,2.0,12.0,10.0,17.0,14.0,10.0,17.0,20.0,1.0,3.0,14.0,15.0,10.0,15.0,14.0,11.0,16.0,8.0,9.0,10.0,3.0,10.71428571,6.011452914,28.0
fruitvlieg,1.0,10.0,20.0,4.0,19.0,20.0,20.0,13.0,17.0,20.0,17.0,5.0,15.0,18.0,18.0,2.0,19.0,12.0,18.0,17.0,15.0,17.0,12.0,17.0,18.0,10.0,1.0,9.0,13.71428571,6.181556455,28.0
hommel,1.0,9.0,20.0,12.0,19.0,20.0,20.0,19.0,18.0,15.0,12.0,20.0,13.0,19.0,5.0,16.0,16.0,12.0,12.0,19.0,13.0,20.0,15.0,13.0,16.0,18.0,18.0,20.0,15.35714286,4.793624514,28.0
kakkerlak,1.0,17.0,10.0,16.0,19.0,20.0,20.0,15.0,10.0,19.0,20.0,17.0,17.0,17.0,10.0,16.0,3.0,10.0,5.0,18.0,1.0,13.0,18.0,18.0,11.0,5.0,20.0,1.0,13.10714286,6.465516998,28.0
kever,3.0,10.0,10.0,13.0,19.0,20.0,20.0,16.0,9.0,16.0,16.0,20.0,20.0,17.0,8.0,18.0,8.0,16.0,16.0,14.0,13.0,14.0,17.0,20.0,10.0,12.0,16.0,6.0,14.17857143,4.706603489,28.0
krekel,1.0,5.0,10.0,10.0,19.0,20.0,20.0,8.0,16.0,8.0,18.0,20.0,20.0,13.0,5.0,14.0,14.0,14.0,12.0,15.0,4.0,14.0,16.0,16.0,12.0,12.0,19.0,10.0,13.03571429,5.308847562,28.0
libel,20.0,16.0,20.0,9.0,20.0,20.0,20.0,16.0,8.0,12.0,13.0,20.0,17.0,14.0,18.0,14.0,17.0,14.0,12.0,19.0,2.0,20.0,7.0,13.0,14.0,12.0,20.0,12.0,14.96428571,4.717831759,28.0
lieveheersbeestje,2.0,10.0,16.0,1.0,19.0,20.0,20.0,13.0,20.0,7.0,16.0,14.0,10.0,10.0,1.0,18.0,16.0,5.0,19.0,4.0,12.0,16.0,15.0,17.0,15.0,14.0,10.0,13.0,12.60714286,5.864767911,28.0
luis,2.0,4.0,10.0,9.0,20.0,20.0,10.0,2.0,13.0,8.0,13.0,4.0,19.0,5.0,4.0,1.0,1.0,8.0,14.0,17.0,5.0,14.0,7.0,14.0,5.0,6.0,11.0,1.0,8.821428571,5.919544348,28.0
