exemplar,respondent 0,respondent 1,respondent 10,respondent 11,respondent 12,respondent 13,respondent 14,respondent 15,respondent 16,respondent 17,respondent 18,respondent 19,respondent 2,respondent 20,respondent 21,respondent 22,respondent 23,respondent 24,respondent 25,respondent 26,respondent 27,respondent 3,respondent 4,respondent 5,respondent 6,respondent 7,respondent 8,respondent 9,mean,std,nonmissing
aap,20.0,18.0,20.0,10.0,20.0,17.0,18.0,10.0,16.0,17.0,19.0,18.0,20.0,20.0,20.0,18.0,20.0,20.0,20.0,20.0,20.0,19.0,20.0,20.0,20.0,20.0,19.0,19.0,18.5,2.659713156,28.0
bever,1.0,15.0,12.0,1.0,10.0,10.0,14.0,8.0,6.0,10.0,14.0,19.0,20.0,20.0,4.0,1.0,6.0,12.0,20.0,20.0,18.0,10.0,10.0,13.0,13.0,12.0,10.0,8.0,11.32142857,5.780257404,28.0
bizon,10.0,17.0,10.0,15.0,15.0,16.0,17.0,15.0,10.0,19.0,18.0,19.0,20.0,20.0,7.0,15.0,12.0,18.0,20.0,20.0,20.0,13.0,8.0,19.0,12.0,10.0,9.0,10.0,14.78571429,4.280508302,28.0
dromedaris,10.0,-1.0,12.0,-1.0,15.0,-1.0,16.0,12.0,8.0,10.0,17.0,19.0,20.0,20.0,1.0,6.0,17.0,12.0,20.0,20.0,20.0,8.0,7.0,18.0,12.0,10.0,8.0,9.0,13.08,5.407710545,25.0
eekhoorn,3.0,12.0,1.0,1.0,1.0,11.0,12.0,8.0,4.0,9.0,16.0,19.0,20.0,20.0,9.0,2.0,10.0,12.0,20.0,20.0,14.0,14.0,6.0,10.0,8.0,5.0,5.0,8.0,10.0,6.18840014,28.0
egel,5.0,14.0,12.0,2.0,13.0,10.0,14.0,7.0,4.0,10.0,11.0,19.0,15.0,20.0,3.0,1.0,14.0,8.0,15.0,19.0,15.0,14.0,8.0,9.0,10.0,5.0,9.0,9.0,10.53571429,5.117016947,28.0
ezel,20.0,15.0,16.0,18.0,19.0,19.0,18.0,18.0,10.0,15.0,18.0,19.0,20.0,20.0,19.0,15.0,16.0,18.0,20.0,20.0,20.0,13.0,16.0,13.0,20.0,10.0,11.0,17.0,16.89285714,3.130959925,28.0
giraf,13.0,16.0,19.0,20.0,19.0,19.0,18.0,10.0,12.0,18.0,19.0,19.0,20.0,20.0,12.0,12.0,14.0,18.0,20.0,20.0,20.0,13.0,17.0,18.0,15.0,16.0,14.0,14.0,16.60714286,3.119108202,28.0
hamster,10.0,15.0,10.0,10.0,9.0,10.0,13.0,10.0,8.0,14.0,14.0,16.0,15.0,20.0,18.0,3.0,12.0,8.0,20.0,20.0,18.0,16.0,16.0,15.0,12.0,1.0,11.0,8.0,12.57142857,4.787549991,28.0
hert,15.0,15.0,18.0,12.0,17.0,17.0,18.0,10.0,10.0,15.0,14.0,19.0,20.0,20.0,16.0,12.0,4.0,20.0,20.0,20.0,20.0,15.0,12.0,18.0,20.0,15.0,10.0,17.0,15.67857143,4.046521793,28.0
hond,20.0,20.0,20.0,20.0,20.0,19.0,19.0,10.0,16.0,18.0,19.0,19.0,20.0,20.0,12.0,16.0,16.0,18.0,20.0,20.0,20.0,20.0,19.0,20.0,20.0,20.0,9.0,20.0,18.21428571,3.083494204,28.0
ijsbeer,12.0,18.0,18.0,15.0,18.0,17.0,18.0,15.0,10.0,18.0,19.0,19.0,20.0,20.0,10.0,10.0,16.0,16.0,20.0,20.0,18.0,10.0,14.0,17.0,6.0,15.0,19.0,12.0,15.71428571,3.837988891,28.0
kangoeroe,19.0,19.0,18.0,1.0,20.0,13.0,17.0,10.0,6.0,12.0,11.0,19.0,20.0,20.0,16.0,14.0,20.0,16.0,20.0,20.0,20.0,13.0,9.0,14.0,16.0,10.0,15.0,17.0,15.17857143,4.86905247,28.0
kat,20.0,20.0,20.0,20.0,20.0,18.0,16.0,10.0,18.0,19.0,19.0,19.0,20.0,20.0,17.0,16.0,16.0,18.0,20.0,20.0,20.0,20.0,19.0,20.0,20.0,20.0,9.0,20.0,18.35714286,2.84428323,28.0
koe,20.0,9.0,20.0,20.0,19.0,19.0,19.0,20.0,16.0,20.0,15.0,19.0,20.0,20.0,14.0,16.0,18.0,18.0,20.0,20.0,20.0,20.0,17.0,20.0,20.0,20.0,11.0,19.0,18.17857143,2.881017971,28.0
konijn,19.0,17.0,16.0,20.0,20.0,11.0,17.0,15.0,8.0,13.0,17.0,19.0,20.0,20.0,10.0,14.0,18.0,14.0,10.0,20.0,20.0,20.0,19.0,16.0,20.0,19.0,12.0,13.0,16.32142857,3.71237741,28.0
lama,10.0,16.0,15.0,15.0,16.0,16.0,17.0,10.0,6.0,12.0,15.0,19.0,20.0,20.0,1.0,13.0,12.0,12.0,20.0,20.0,20.0,8.0,11.0,18.0,20.0,10.0,13.0,10.0,14.10714286,4.85599504,28.0
leeuw,16.0,18.0,18.0,1.0,19.0,16.0,20.0,15.0,12.0,18.0,20.0,19.0,20.0,20.0,15.0,14.0,20.0,18.0,20.0,20.0,20.0,17.0,16.0,20.0,20.0,18.0,18.0,19.0,17.39285714,3.871446143,28.0
muis,6.0,15.0,12.0,5.0,12.0,16.0,14.0,10.0,12.0,15.0,15.0,16.0,15.0,20.0,2.0,12.0,18.0,8.0,20.0,20.0,16.0,20.0,17.0,14.0,13.0,5.0,10.0,8.0,13.07142857,4.913538149,28.0
neushoorn,2.0,13.0,1.0,5.0,1.0,13.0,19.0,15.0,10.0,16.0,14.0,19.0,20.0,20.0,5.0,10.0,13.0,18.0,20.0,20.0,20.0,8.0,16.0,18.0,6.0,5.0,3.0,7.0,12.03571429,6.647094285,28.0
nijlpaard,9.0,12.0,12.0,15.0,6.0,17.0,17.0,18.0,10.0,15.0,14.0,19.0,20.0,20.0,12.0,12.0,14.0,10.0,20.0,20.0,20.0,12.0,13.0,17.0,13.0,10.0,10.0,5.0,14.0,4.32905772,28.0
olifant,12.0,16.0,18.0,16.0,19.0,15.0,18.0,15.0,8.0,15.0,19.0,19.0,20.0,20.0,20.0,10.0,20.0,18.0,20.0,20.0,20.0,15.0,20.0,17.0,15.0,15.0,13.0,19.0,16.85714286,3.262744649,28.0
paard,20.0,15.0,18.0,20.0,20.0,18.0,17.0,20.0,14.0,19.0,14.0,19.0,20.0,20.0,20.0,15.0,18.0,18.0,20.0,20.0,20.0,16.0,15.0,20.0,20.0,15.0,15.0,19.0,18.03571429,2.219144694,28.0
schaap,20.0,17.0,20.0,18.0,19.0,18.0,17.0,15.0,14.0,18.0,18.0,19.0,20.0,20.0,10.0,16.0,16.0,16.0,20.0,20.0,20.0,19.0,13.0,20.0,20.0,20.0,10.0,18.0,17.53571429,2.91207121,28.0
tijger,16.0,18.0,16.0,18.0,19.0,15.0,19.0,10.0,12.0,17.0,19.0,19.0,20.0,20.0,3.0,14.0,15.0,18.0,20.0,20.0,20.0,14.0,15.0,20.0,20.0,17.0,17.0,19.0,16.78571429,3.784541098,28.0
varken,20.0,20.0,18.0,20.0,20.0,17.0,18.0,20.0,18.0,18.0,17.0,19.0,20.0,20.0,15.0,16.0,17.0,16.0,20.0,20.0,20.0,18.0,15.0,19.0,20.0,15.0,9.0,15.0,17.85714286,2.534419149,28.0
vleermuis,10.0,1.0,1.0,1.0,1.0,9.0,7.0,2.0,2.0,19.0,13.0,19.0,6.0,20.0,13.0,6.0,19.0,4.0,10.0,17.0,15.0,1.0,5.0,10.0,1.0,1.0,2.0,7.0,7.928571429,6.627264513,28.0
vos,18.0,17.0,18.0,15.0,19.0,13.0,15.0,10.0,12.0,18.0,14.0,19.0,20.0,20.0,8.0,14.0,14.0,16.0,20.0,20.0,20.0,18.0,12.0,11.0,20.0,16.0,12.0,16.0,15.89285714,3.478391345,28.0
wolf,18.0,19.0,16.0,19.0,15.0,17.0,16.0,10.0,10.0,19.0,15.0,16.0,20.0,20.0,6.0,14.0,18.0,16.0,20.0,20.0,20.0,16.0,14.0,16.0,20.0,10.0,17.0,10.0,15.96428571,3.785764201,28.0
zebra,14.0,18.0,18.0,20.0,19.0,18.0,18.0,10.0,12.0,18.0,19.0,19.0,20.0,20.0,20.0,14.0,12.0,18.0,20.0,20.0,20.0,12.0,12.0,19.0,20.0,12.0,15.0,18.0,16.96428571,3.282751137,28.0
