exemplar,missing,mean,std,nonmissing
aap,1,6.45,1.09,33
bever,0,5.58,1.61,31
bizon,0,5.52,1.4,29
dromedaris,0,5.52,1.75,31
eekhoorn,0,6.19,1.01,31
egel,0,6.38,0.89,34
ezel,0,6.62,0.7,34
giraf,0,6.66,0.9,32
hamster,0,6.22,1.21,32
hert,0,6.29,0.94,31
hond,0,6.5,0.9,34
ijsbeer,0,6.5,0.78,30
kangoeroe,0,6.2,1.3,35
kat,0,6.47,1.05,32
koe,0,6.56,0.8,32
konijn,0,6.61,0.93,33
lama,0,5.63,1.72,32
leeuw,0,6.77,0.43,30
muis,0,6.15,1.28,33
neushoorn,0,6.11,1.21,36
nijlpaard,0,6.28,0.89,32
olifant,0,6.61,0.67,31
paard,0,6.56,1.19,27
schaap,0,6.36,0.74,33
tijger,0,6.47,0.79,34
varken,0,6.59,0.67,32
vleermuis,0,6.18,1.18,33
vos,0,6.03,1.27,35
wolf,0,6.17,1.39,29
zebra,0,6.41,0.98,29
