exemplar,missing,mean,std,nonmissing
accordeon,0,6.06,1.21,31
banjo,1,4.1,1.88,30
basgitaar,0,4.83,1.67,29
cello,0,4.4,1.97,35
cimbalen,3,5.16,1.9,32
contrabas,0,4.84,1.82,32
doedelzak,0,5.77,1.18,31
drumstel,0,6.29,1.01,28
dwarsfluit,0,6.09,1.35,33
fagot,5,3.63,1.79,30
fluit,0,5.75,1.48,32
gitaar,0,6.73,0.57,33
harp,0,5.94,1.14,33
klarinet,0,5.19,1.87,32
klavecimbel,0,4.1,2.14,30
mondharmonica,0,6.09,1.44,32
orgel,0,5.31,1.45,35
panfluit,0,5.0,1.57,31
piano,0,6.19,1.62,32
saxofoon,0,6.17,1.27,35
synthesizer,1,5.42,1.56,33
tamboerijn,0,5.34,1.47,29
triangel,0,5.75,1.46,28
trombone,0,4.61,1.66,28
trommel,0,5.71,2.09,28
trompet,0,6.52,0.8,33
viool,0,6.23,0.94,30
