exemplar,respondent 0,respondent 1,respondent 10,respondent 11,respondent 12,respondent 13,respondent 14,respondent 15,respondent 16,respondent 17,respondent 18,respondent 19,respondent 2,respondent 20,respondent 21,respondent 22,respondent 23,respondent 24,respondent 25,respondent 26,respondent 27,respondent 3,respondent 4,respondent 5,respondent 6,respondent 7,respondent 8,respondent 9,mean,std,nonmissing
beha,13.0,20.0,17.0,20.0,15.0,9.0,16.0,7.0,14.0,11.0,10.0,12.0,6.0,10.0,12.0,18.0,6.0,12.0,15.0,13.0,12.0,14.0,9.0,14.0,19.0,20.0,20.0,19.0,13.67857143,4.338062133,28
bloes,17.0,20.0,20.0,20.0,12.0,8.0,20.0,12.0,17.0,17.0,20.0,18.0,17.0,19.0,14.0,20.0,20.0,20.0,19.0,20.0,15.0,17.0,12.0,17.0,20.0,19.0,20.0,18.0,17.42857143,3.202181796,28
broek,20.0,20.0,17.0,20.0,16.0,10.0,19.0,10.0,17.0,15.0,20.0,20.0,17.0,19.0,14.0,20.0,20.0,20.0,20.0,20.0,20.0,18.0,19.0,20.0,20.0,20.0,20.0,20.0,18.25,2.888354651,28
das,11.0,20.0,15.0,18.0,13.0,10.0,13.0,10.0,7.0,17.0,13.0,15.0,2.0,14.0,8.0,11.0,5.0,10.0,11.0,15.0,15.0,15.0,10.0,14.0,15.0,16.0,20.0,19.0,12.92857143,4.319881441,28
hemd,16.0,20.0,20.0,20.0,15.0,7.0,19.0,14.0,17.0,17.0,20.0,19.0,16.0,19.0,14.0,20.0,20.0,20.0,20.0,20.0,20.0,17.0,18.0,20.0,20.0,18.0,20.0,20.0,18.07142857,2.930409799,28
hoed,9.0,14.0,12.0,16.0,1.0,15.0,14.0,7.0,6.0,11.0,12.0,12.0,3.0,6.0,9.0,11.0,1.0,9.0,10.0,11.0,16.0,14.0,10.0,13.0,17.0,19.0,20.0,16.0,11.21428571,4.901678797,28
jas,16.0,20.0,17.0,20.0,15.0,13.0,20.0,15.0,17.0,16.0,20.0,18.0,16.0,18.0,14.0,20.0,20.0,20.0,20.0,16.0,18.0,18.0,16.0,16.0,20.0,19.0,20.0,20.0,17.78571429,2.183390887,28
jeans,13.0,20.0,20.0,20.0,14.0,9.0,20.0,16.0,16.0,15.0,20.0,19.0,17.0,19.0,15.0,20.0,20.0,20.0,19.0,20.0,15.0,18.0,19.0,20.0,20.0,20.0,20.0,20.0,18.0,2.841491523,28
jogging,16.0,20.0,16.0,20.0,14.0,13.0,19.0,16.0,16.0,8.0,20.0,15.0,6.0,13.0,11.0,20.0,20.0,16.0,13.0,20.0,14.0,16.0,9.0,15.0,18.0,15.0,20.0,16.0,15.53571429,3.824696966,28
kleed,18.0,20.0,15.0,20.0,15.0,7.0,20.0,13.0,14.0,12.0,20.0,19.0,15.0,16.0,14.0,20.0,18.0,17.0,19.0,20.0,15.0,16.0,19.0,20.0,20.0,15.0,20.0,20.0,17.03571429,3.248727875,28
kostuum,14.0,20.0,19.0,20.0,14.0,17.0,20.0,9.0,14.0,17.0,18.0,18.0,13.0,15.0,14.0,20.0,16.0,16.0,19.0,20.0,19.0,17.0,16.0,15.0,20.0,18.0,20.0,19.0,17.03571429,2.781980947,28
laarzen,14.0,20.0,13.0,17.0,3.0,10.0,14.0,6.0,12.0,14.0,19.0,15.0,9.0,12.0,8.0,16.0,11.0,9.0,7.0,13.0,14.0,13.0,8.0,5.0,16.0,15.0,20.0,18.0,12.53571429,4.492645371,28
muts,6.0,20.0,15.0,15.0,4.0,6.0,16.0,8.0,13.0,13.0,11.0,12.0,7.0,7.0,8.0,11.0,1.0,9.0,9.0,14.0,15.0,14.0,9.0,4.0,18.0,19.0,20.0,17.0,11.46428571,5.145887555,28
pet,8.0,20.0,13.0,16.0,4.0,16.0,14.0,9.0,16.0,13.0,14.0,12.0,4.0,6.0,8.0,11.0,4.0,10.0,10.0,11.0,16.0,14.0,9.0,12.0,15.0,12.0,20.0,17.0,11.92857143,4.42156811,28
pyjama,16.0,14.0,13.0,18.0,7.0,9.0,18.0,9.0,14.0,10.0,7.0,15.0,5.0,15.0,15.0,20.0,10.0,10.0,13.0,18.0,10.0,16.0,8.0,9.0,17.0,14.0,20.0,17.0,13.10714286,4.228118273,28
riem,9.0,20.0,11.0,16.0,1.0,12.0,14.0,9.0,8.0,11.0,17.0,10.0,7.0,5.0,9.0,11.0,2.0,9.0,9.0,11.0,8.0,14.0,10.0,12.0,16.0,13.0,13.0,17.0,10.85714286,4.318043845,28
rok,16.0,20.0,18.0,20.0,14.0,12.0,19.0,15.0,17.0,15.0,20.0,18.0,17.0,19.0,14.0,20.0,20.0,18.0,20.0,20.0,17.0,16.0,15.0,20.0,20.0,19.0,20.0,20.0,17.82142857,2.373520146,28
salopet,14.0,20.0,15.0,20.0,7.0,15.0,19.0,,13.0,9.0,8.0,16.0,10.0,17.0,12.0,,10.0,11.0,14.0,20.0,14.0,17.0,10.0,12.0,19.0,12.0,20.0,16.0,14.23076923,4.003075741,26
schoenen,4.0,20.0,14.0,18.0,8.0,4.0,17.0,6.0,10.0,15.0,20.0,15.0,5.0,10.0,8.0,16.0,6.0,9.0,16.0,13.0,14.0,15.0,10.0,4.0,15.0,16.0,20.0,18.0,12.35714286,5.250850271,28
short,9.0,20.0,16.0,20.0,13.0,13.0,18.0,14.0,16.0,15.0,20.0,18.0,15.0,18.0,14.0,20.0,20.0,17.0,17.0,20.0,15.0,17.0,17.0,14.0,18.0,13.0,20.0,20.0,16.67857143,2.893844955,28
sjaal,10.0,20.0,12.0,17.0,3.0,9.0,14.0,7.0,7.0,12.0,10.0,12.0,4.0,8.0,8.0,20.0,6.0,10.0,17.0,14.0,17.0,14.0,9.0,7.0,15.0,17.0,20.0,17.0,12.0,4.929127336,28
slip,12.0,20.0,17.0,19.0,9.0,10.0,14.0,8.0,14.0,11.0,11.0,13.0,3.0,10.0,10.0,20.0,15.0,10.0,16.0,13.0,12.0,15.0,9.0,17.0,19.0,18.0,20.0,17.0,13.64285714,4.313753077,28
sokken,6.0,20.0,15.0,18.0,9.0,18.0,18.0,6.0,13.0,12.0,14.0,13.0,7.0,16.0,8.0,20.0,13.0,11.0,18.0,14.0,16.0,15.0,14.0,18.0,19.0,17.0,20.0,16.0,14.42857143,4.237649343,28
sweater,11.0,20.0,19.0,20.0,15.0,11.0,20.0,15.0,16.0,15.0,20.0,18.0,15.0,19.0,10.0,20.0,14.0,17.0,19.0,20.0,13.0,18.0,20.0,20.0,20.0,20.0,20.0,20.0,17.32142857,3.232400455,28
t-shirt,14.0,20.0,16.0,20.0,12.0,6.0,17.0,10.0,16.0,15.0,20.0,19.0,16.0,18.0,14.0,20.0,20.0,19.0,16.0,19.0,17.0,17.0,18.0,17.0,20.0,20.0,20.0,19.0,16.96428571,3.393699422,28
