exemplar,arend,duif,eend,ekster,fazant,gier,haan,kalkoen,kanarie,kip,koekoek,kraai,mees,meeuw,merel,mus,ooievaar,papegaai,parkiet,pauw,pelikaan,pinguïn,reiger,roodborstje,specht,struisvogel,uil,valk,zwaan,zwaluw
arend,20.0,8.0,7.0,10.0,8.0,13.0,8.0,7.0,8.0,5.0,10.0,9.0,7.0,9.0,9.0,9.0,9.0,6.0,7.0,10.0,7.0,8.0,8.0,8.0,8.0,10.0,7.0,12.0,6.0,8.0
duif,8.0,20.0,11.0,9.0,8.0,7.0,8.0,7.0,10.0,8.0,9.0,7.0,8.0,10.0,15.0,10.0,10.0,8.0,8.0,10.0,6.0,7.0,7.0,11.0,9.0,7.0,8.0,9.0,10.0,8.0
eend,7.0,11.0,20.0,8.0,7.0,8.0,9.0,9.0,8.0,7.0,9.0,8.0,8.0,10.0,8.0,9.0,7.0,11.0,8.0,8.0,12.0,9.0,8.0,7.0,8.0,7.0,10.0,7.0,11.0,6.0
ekster,10.0,9.0,8.0,20.0,12.0,7.0,9.0,7.0,13.0,9.0,17.0,12.0,9.0,12.0,12.0,10.0,8.0,8.0,8.0,7.0,10.0,7.0,9.0,9.0,12.0,7.0,7.0,8.0,6.0,12.0
fazant,8.0,8.0,7.0,12.0,20.0,7.0,6.0,13.0,9.0,9.0,9.0,11.0,9.0,8.0,8.0,8.0,10.0,8.0,8.0,11.0,8.0,8.0,10.0,7.0,9.0,6.0,7.0,6.0,8.0,8.0
gier,13.0,7.0,8.0,7.0,7.0,20.0,10.0,8.0,8.0,9.0,9.0,10.0,8.0,8.0,7.0,8.0,9.0,7.0,6.0,8.0,6.0,5.0,9.0,6.0,7.0,10.0,7.0,10.0,9.0,10.0
haan,8.0,8.0,9.0,9.0,6.0,10.0,20.0,6.0,9.0,18.0,6.0,8.0,10.0,10.0,9.0,7.0,6.0,7.0,8.0,7.0,5.0,8.0,8.0,10.0,10.0,7.0,8.0,9.0,6.0,9.0
kalkoen,7.0,7.0,9.0,7.0,13.0,8.0,6.0,20.0,8.0,9.0,6.0,10.0,9.0,7.0,12.0,7.0,11.0,6.0,7.0,12.0,11.0,8.0,6.0,7.0,8.0,11.0,9.0,9.0,10.0,8.0
kanarie,8.0,10.0,8.0,13.0,9.0,8.0,9.0,8.0,20.0,7.0,9.0,9.0,10.0,7.0,10.0,10.0,7.0,11.0,12.0,7.0,9.0,8.0,8.0,12.0,11.0,8.0,9.0,8.0,8.0,9.0
kip,5.0,8.0,7.0,9.0,9.0,9.0,18.0,9.0,7.0,20.0,8.0,10.0,8.0,9.0,8.0,11.0,7.0,9.0,9.0,6.0,7.0,5.0,8.0,8.0,9.0,10.0,7.0,6.0,10.0,10.0
koekoek,10.0,9.0,9.0,17.0,9.0,9.0,6.0,6.0,9.0,8.0,20.0,13.0,11.0,10.0,12.0,9.0,9.0,10.0,9.0,9.0,8.0,7.0,9.0,8.0,12.0,6.0,14.0,11.0,8.0,15.0
