exemplar,beha,bloes,broek,das,hemd,hoed,jas,jeans,jogging,kleed,kostuum,laarzen,muts,pet,pyjama,riem,rok,salopet,schoenen,short,sjaal,slip,sokken,sweater,t-shirt,topje,trui,wanten,zwempak
beha,20.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,2.0,4.0,1.0,2.0,6.0,2.0,1.0,9.0
bloes,2.0,20.0,1.0,2.0,12.0,1.0,6.0,1.0,2.0,6.0,9.0,1.0,1.0,1.0,9.0,1.0,2.0,,1.0,1.0,1.0,1.0,1.0,9.0,14.0,4.0,9.0,1.0,1.0
broek,1.0,1.0,20.0,1.0,1.0,1.0,1.0,19.0,9.0,2.0,2.0,1.0,1.0,1.0,6.0,1.0,5.0,,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0
das,1.0,2.0,1.0,20.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,9.0,2.0,2.0,2.0,1.0,1.0,1.0,3.0,1.0
hemd,1.0,12.0,1.0,2.0,20.0,1.0,4.0,1.0,2.0,8.0,5.0,1.0,1.0,1.0,5.0,1.0,1.0,,1.0,1.0,2.0,3.0,1.0,9.0,5.0,5.0,4.0,1.0,1.0
hoed,1.0,1.0,1.0,2.0,1.0,20.0,1.0,1.0,1.0,1.0,2.0,1.0,11.0,15.0,1.0,1.0,1.0,,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0
jas,1.0,6.0,1.0,1.0,4.0,1.0,20.0,1.0,1.0,6.0,5.0,1.0,5.0,1.0,6.0,1.0,6.0,,1.0,1.0,1.0,1.0,1.0,4.0,5.0,2.0,9.0,1.0,1.0
jeans,2.0,1.0,19.0,1.0,1.0,1.0,1.0,20.0,8.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0
jogging,2.0,2.0,9.0,1.0,2.0,1.0,1.0,8.0,20.0,5.0,1.0,1.0,2.0,1.0,5.0,1.0,1.0,,1.0,2.0,1.0,1.0,2.0,5.0,4.0,8.0,2.0,2.0,1.0
kleed,1.0,6.0,2.0,2.0,8.0,1.0,6.0,1.0,5.0,20.0,2.0,1.0,1.0,1.0,12.0,1.0,9.0,,1.0,2.0,1.0,1.0,1.0,6.0,6.0,5.0,7.0,1.0,7.0
kostuum,1.0,9.0,2.0,2.0,5.0,2.0,5.0,1.0,1.0,2.0,20.0,1.0,1.0,1.0,4.0,1.0,4.0,,1.0,1.0,1.0,1.0,1.0,2.0,8.0,1.0,2.0,1.0,2.0
laarzen,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20.0,1.0,1.0,1.0,1.0,1.0,,16.0,1.0,1.0,1.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0
muts,2.0,1.0,1.0,1.0,1.0,11.0,5.0,1.0,2.0,1.0,1.0,1.0,20.0,12.0,1.0,1.0,1.0,,1.0,2.0,5.0,1.0,1.0,1.0,1.0,2.0,1.0,5.0,1.0
pet,1.0,1.0,1.0,1.0,1.0,15.0,1.0,1.0,1.0,1.0,1.0,1.0,12.0,20.0,1.0,1.0,1.0,,1.0,1.0,4.0,1.0,4.0,1.0,1.0,1.0,1.0,3.0,1.0
pyjama,1.0,9.0,6.0,1.0,5.0,1.0,6.0,2.0,5.0,12.0,4.0,1.0,1.0,1.0,20.0,1.0,1.0,,1.0,1.0,1.0,2.0,1.0,9.0,7.0,5.0,5.0,1.0,1.0
riem,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20.0,2.0,,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
rok,1.0,2.0,5.0,1.0,1.0,1.0,6.0,2.0,1.0,9.0,4.0,1.0,1.0,1.0,1.0,2.0,20.0,,1.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0
salopet,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,
schoenen,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,16.0,1.0,1.0,1.0,1.0,1.0,,20.0,1.0,1.0,1.0,9.0,1.0,1.0,1.0,1.0,2.0,1.0
short,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,,1.0,20.0,1.0,17.0,1.0,2.0,5.0,6.0,1.0,2.0,2.0
sjaal,1.0,1.0,1.0,9.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,4.0,1.0,2.0,1.0,,1.0,1.0,20.0,3.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0
slip,2.0,1.0,2.0,2.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,,1.0,17.0,3.0,20.0,2.0,1.0,1.0,3.0,1.0,1.0,2.0
sokken,4.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,6.0,1.0,4.0,1.0,1.0,1.0,,9.0,1.0,2.0,2.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0
sweater,1.0,9.0,1.0,2.0,9.0,1.0,4.0,1.0,5.0,6.0,2.0,1.0,1.0,1.0,9.0,1.0,1.0,,1.0,2.0,1.0,1.0,1.0,20.0,12.0,4.0,18.0,1.0,1.0
t-shirt,2.0,14.0,1.0,1.0,5.0,1.0,5.0,1.0,4.0,6.0,8.0,1.0,1.0,1.0,7.0,1.0,1.0,,1.0,5.0,1.0,1.0,1.0,12.0,20.0,1.0,1.0,2.0,1.0
topje,6.0,4.0,1.0,1.0,5.0,1.0,2.0,1.0,8.0,5.0,1.0,1.0,2.0,1.0,5.0,1.0,3.0,,1.0,6.0,2.0,3.0,1.0,4.0,1.0,20.0,5.0,9.0,1.0
trui,2.0,9.0,1.0,1.0,4.0,1.0,9.0,2.0,2.0,7.0,2.0,1.0,1.0,1.0,5.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,18.0,1.0,5.0,20.0,8.0,12.0
wanten,1.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,5.0,3.0,1.0,1.0,1.0,,2.0,2.0,2.0,1.0,1.0,1.0,2.0,9.0,8.0,20.0,1.0
zwempak,9.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,12.0,1.0,20.0
