exemplar,ansjovis,dolfijn,forel,goudvis,haai,haring,inktvis,kabeljauw,karper,orka,paling,piranha,pladijs,platvis,potvis,rog,sardine,snoek,stekelbaars,tong,walvis,zalm,zwaardvis
ansjovis,1.0,0.284375,0.440625,0.50625,0.340625,0.478125,0.240625,0.4125,0.44333333333333336,0.25,0.45,0.4166666666666667,0.48666666666666664,0.4125,0.32333333333333336,0.44375,0.7875,0.3625,0.5133333333333334,0.45,0.29375,0.415625,0.32666666666666666
dolfijn,0.284375,1.0,0.403125,0.3176470588235294,0.5529411764705883,0.32941176470588235,0.30588235294117644,0.34705882352941175,0.384375,0.6058823529411764,0.3625,0.2625,0.3066666666666667,0.32666666666666666,0.521875,0.3375,0.28125,0.3823529411764706,0.37,0.325,0.6352941176470588,0.3529411764705882,0.4375
forel,0.440625,0.403125,1.0,0.396875,0.384375,0.63125,0.28125,0.6599999999999999,0.6066666666666667,0.4,0.609375,0.5321428571428571,0.5666666666666667,0.51,0.38333333333333336,0.54375,0.475,0.609375,0.5466666666666666,0.625,0.321875,0.621875,0.4133333333333334
goudvis,0.50625,0.3176470588235294,0.396875,1.0,0.29117647058823526,0.40294117647058825,0.27647058823529413,0.428125,0.42666666666666664,0.2852941176470588,0.371875,0.365625,0.4,0.36,0.315625,0.315625,0.50625,0.4147058823529412,0.45666666666666667,0.334375,0.34705882352941175,0.36470588235294116,0.26875
haai,0.340625,0.5529411764705883,0.384375,0.29117647058823526,1.0,0.34705882352941175,0.30588235294117644,0.396875,0.346875,0.6764705882352942,0.284375,0.428125,0.2966666666666667,0.33999999999999997,0.51,0.38125,0.290625,0.4617647058823529,0.38333333333333336,0.340625,0.6088235294117647,0.3529411764705882,0.528125
haring,0.478125,0.32941176470588235,0.63125,0.40294117647058825,0.34705882352941175,1.0,0.33235294117647063,0.5911764705882353,0.59375,0.3911764705882353,0.509375,0.396875,0.44666666666666666,0.48,0.3375,0.5125,0.60625,0.55,0.54,0.54375,0.3176470588235294,0.6125,0.35625
inktvis,0.240625,0.30588235294117644,0.28125,0.27647058823529413,0.30588235294117644,0.33235294117647063,1.0,0.29411764705882354,0.3125,0.3205882352941177,0.3375,0.328125,0.4066666666666666,0.37666666666666665,0.403125,0.334375,0.3625,0.3676470588235294,0.2966666666666667,0.303125,0.36176470588235293,0.29411764705882354,0.353125
kabeljauw,0.4125,0.34705882352941175,0.6599999999999999,0.428125,0.396875,0.5911764705882353,0.29411764705882354,1.0,0.571875,0.3205882352941177,0.459375,0.415625,0.48,0.4766666666666667,0.359375,0.509375,0.43125,0.5882352941176471,0.5566666666666666,0.565625,0.36176470588235293,0.65,0.39666666666666667
karper,0.44333333333333336,0.384375,0.6066666666666667,0.42666666666666664,0.346875,0.59375,0.3125,0.571875,1.0,0.340625,0.47333333333333333,0.5133333333333334,0.3933333333333333,0.4714285714285714,0.39375,0.45384615384615384,0.45999999999999996,0.6625,0.6133333333333334,0.42333333333333334,0.35,0.559375,0.421875
orka,0.25,0.6058823529411764,0.4,0.2852941176470588,0.6764705882352942,0.3911764705882353,0.3205882352941177,0.3205882352941177,0.340625,1.0,0.265625,0.384375,0.32333333333333336,0.36,0.684375,0.284375,0.265625,0.35,0.35,0.303125,0.8029411764705883,0.3676470588235294,0.51875
paling,0.45,0.3625,0.609375,0.371875,0.284375,0.509375,0.3375,0.459375,0.47333333333333333,0.265625,1.0,0.35333333333333333,0.47333333333333333,0.47000000000000003,0.31666666666666665,0.440625,0.465625,0.471875,0.4166666666666667,0.48125,0.325,0.44375,0.35
piranha,0.4166666666666667,0.2625,0.5321428571428571,0.365625,0.428125,0.396875,0.328125,0.415625,0.5133333333333334,0.384375,0.35333333333333333,1.0,0.3142857142857143,0.3678571428571428,0.35,0.39,0.38,0.421875,0.45714285714285713,0.3933333333333333,0.3875,0.371875,0.3566666666666667
pladijs,0.48666666666666664,0.3066666666666667,0.5666666666666667,0.4,0.2966666666666667,0.44666666666666666,0.4066666666666666,0.48,0.3933333333333333,0.32333333333333336,0.47333333333333333,0.3142857142857143,1.0,0.73,0.39285714285714285,0.5966666666666667,0.45,0.52,0.41,0.61,0.32666666666666666,0.45666666666666667,0.36333333333333334
platvis,0.4125,0.32666666666666666,0.51,0.36,0.33999999999999997,0.48,0.37666666666666665,0.4766666666666667,0.4714285714285714,0.36,0.47000000000000003,0.3678571428571428,0.73,1.0,0.37333333333333335,0.5666666666666667,0.4333333333333333,0.42333333333333334,0.4766666666666667,0.6533333333333333,0.38333333333333336,0.4428571428571429,0.4166666666666667
potvis,0.32333333333333336,0.521875,0.38333333333333336,0.315625,0.51,0.3375,0.403125,0.359375,0.39375,0.684375,0.31666666666666665,0.35,0.39285714285714285,0.37333333333333335,1.0,0.39642857142857146,0.30333333333333334,0.38125,0.3933333333333333,0.36333333333333334,0.7625,0.321875,0.478125
rog,0.44375,0.3375,0.54375,0.315625,0.38125,0.5125,0.334375,0.509375,0.45384615384615384,0.284375,0.440625,0.39,0.5966666666666667,0.5666666666666667,0.39642857142857146,1.0,0.39375,0.396875,0.4166666666666667,0.54375,0.365625,0.496875,0.3892857142857143
sardine,0.7875,0.28125,0.475,0.50625,0.290625,0.60625,0.3625,0.43125,0.45999999999999996,0.265625,0.465625,0.38,0.45,0.4333333333333333,0.30333333333333334,0.39375,1.0,0.3875,0.38333333333333336,0.440625,0.23125,0.45625,0.32333333333333336
