exemplar,ansjovis,dolfijn,forel,goudvis,haai,haring,inktvis,kabeljauw,karper,orka,paling,piranha,pladijs,platvis,potvis,rog,sardine,snoek,stekelbaars,tong,walvis,zalm,zwaardvis
ansjovis,20.0,3.0,3.0,13.0,2.0,12.0,1.0,5.0,3.0,2.0,12.0,4.0,10.0,4.0,3.0,7.0,17.0,4.0,6.0,13.0,2.0,6.0,2.0
dolfijn,3.0,20.0,4.0,2.0,16.0,4.0,3.0,3.0,5.0,16.0,6.0,3.0,2.0,4.0,7.0,2.0,4.0,5.0,10.0,7.0,13.0,6.0,13.0
forel,3.0,4.0,20.0,8.0,9.0,17.0,2.0,18.0,19.0,10.0,11.0,13.0,10.0,5.0,1.0,4.0,13.0,15.0,17.0,10.0,4.0,17.0,7.0
goudvis,13.0,2.0,8.0,20.0,8.0,6.0,3.0,4.0,10.0,5.0,15.0,5.0,6.0,5.0,2.0,2.0,10.0,12.0,4.0,9.0,11.0,6.0,3.0
haai,2.0,16.0,9.0,8.0,20.0,3.0,1.0,11.0,12.0,16.0,8.0,13.0,5.0,5.0,9.0,4.0,16.0,9.0,9.0,8.0,14.0,13.0,14.0
haring,12.0,4.0,17.0,6.0,3.0,20.0,2.0,10.0,15.0,6.0,12.0,2.0,4.0,6.0,4.0,5.0,16.0,15.0,14.0,13.0,4.0,16.0,4.0
inktvis,1.0,3.0,2.0,3.0,1.0,2.0,20.0,2.0,2.0,2.0,2.0,2.0,2.0,7.0,3.0,2.0,4.0,2.0,5.0,2.0,5.0,1.0,9.0
kabeljauw,5.0,3.0,18.0,4.0,11.0,10.0,2.0,20.0,18.0,4.0,6.0,14.0,3.0,7.0,13.0,4.0,11.0,14.0,16.0,14.0,4.0,5.0,5.0
karper,3.0,5.0,19.0,10.0,12.0,15.0,2.0,18.0,20.0,6.0,6.0,4.0,2.0,8.0,2.0,8.0,7.0,18.0,17.0,18.0,7.0,15.0,8.0
orka,2.0,16.0,10.0,5.0,16.0,6.0,2.0,4.0,6.0,20.0,2.0,15.0,6.0,12.0,18.0,4.0,2.0,5.0,6.0,8.0,15.0,7.0,18.0
paling,12.0,6.0,11.0,15.0,8.0,12.0,2.0,6.0,6.0,2.0,20.0,8.0,5.0,2.0,7.0,4.0,8.0,5.0,9.0,5.0,4.0,13.0,4.0
piranha,4.0,3.0,13.0,5.0,13.0,2.0,2.0,14.0,4.0,15.0,8.0,20.0,5.0,4.0,2.0,3.0,4.0,4.0,16.0,3.0,2.0,9.0,13.0
pladijs,10.0,2.0,10.0,6.0,5.0,4.0,2.0,3.0,2.0,6.0,5.0,5.0,20.0,19.0,7.0,19.0,11.0,11.0,5.0,4.0,5.0,6.0,7.0
platvis,4.0,4.0,5.0,5.0,5.0,6.0,7.0,7.0,8.0,12.0,2.0,4.0,19.0,20.0,4.0,20.0,3.0,4.0,7.0,4.0,4.0,10.0,4.0
potvis,3.0,7.0,1.0,2.0,9.0,4.0,3.0,13.0,2.0,18.0,7.0,2.0,7.0,4.0,20.0,5.0,4.0,5.0,6.0,6.0,19.0,4.0,15.0
rog,7.0,2.0,4.0,2.0,4.0,5.0,2.0,4.0,8.0,4.0,4.0,3.0,19.0,20.0,5.0,20.0,4.0,8.0,8.0,4.0,4.0,4.0,5.0
sardine,17.0,4.0,13.0,10.0,16.0,16.0,4.0,11.0,7.0,2.0,8.0,4.0,11.0,3.0,4.0,4.0,20.0,10.0,6.0,5.0,4.0,16.0,4.0
snoek,4.0,5.0,15.0,12.0,9.0,15.0,2.0,14.0,18.0,5.0,5.0,4.0,11.0,4.0,5.0,8.0,10.0,20.0,15.0,7.0,5.0,13.0,5.0
stekelbaars,6.0,10.0,17.0,4.0,9.0,14.0,5.0,16.0,17.0,6.0,9.0,16.0,5.0,7.0,6.0,8.0,6.0,15.0,20.0,4.0,17.0,11.0,12.0
tong,13.0,7.0,10.0,9.0,8.0,13.0,2.0,14.0,18.0,8.0,5.0,3.0,4.0,4.0,6.0,4.0,5.0,7.0,4.0,20.0,7.0,6.0,5.0
walvis,2.0,13.0,4.0,11.0,14.0,4.0,5.0,4.0,7.0,15.0,4.0,2.0,5.0,4.0,19.0,4.0,4.0,5.0,17.0,7.0,20.0,5.0,11.0
zalm,6.0,6.0,17.0,6.0,13.0,16.0,1.0,5.0,15.0,7.0,13.0,9.0,6.0,10.0,4.0,4.0,16.0,13.0,11.0,6.0,5.0,20.0,6.0
zwaardvis,2.0,13.0,7.0,3.0,14.0,4.0,9.0,5.0,8.0,18.0,4.0,13.0,7.0,4.0,15.0,5.0,4.0,5.0,12.0,5.0,11.0,6.0,20.0
