exemplar,aalbes,aardbei,abrikoos,ananas,appel,banaan,bosbes,braambessen,citroen,clementine,dadels,druif,framboos,kers,kiwi,kokosnoot,limoen,lychee,mango,meloen,nectarine,papaya,passievrucht,peer,perzik,pompelmoes,pompoen,pruim,sinaasappel,vijg
aalbes,20.0,17.0,4.0,3.0,2.0,6.0,18.0,19.0,4.0,9.0,14.0,18.0,16.0,15.0,6.0,4.0,5.0,17.0,4.0,3.0,6.0,12.0,6.0,5.0,5.0,6.0,2.0,6.0,4.0,10.0
aardbei,17.0,20.0,4.0,4.0,5.0,5.0,18.0,19.0,6.0,7.0,14.0,17.0,19.0,16.0,7.0,6.0,7.0,18.0,6.0,4.0,8.0,5.0,9.0,5.0,6.0,3.0,2.0,7.0,4.0,12.0
abrikoos,4.0,4.0,20.0,7.0,15.0,6.0,5.0,5.0,14.0,13.0,8.0,8.0,8.0,4.0,8.0,8.0,16.0,4.0,16.0,9.0,19.0,15.0,14.0,10.0,19.0,16.0,4.0,8.0,14.0,10.0
ananas,3.0,4.0,7.0,20.0,3.0,6.0,3.0,3.0,3.0,5.0,6.0,3.0,3.0,4.0,5.0,12.0,7.0,3.0,6.0,14.0,10.0,13.0,10.0,4.0,8.0,4.0,8.0,6.0,8.0,5.0
appel,2.0,5.0,15.0,3.0,20.0,7.0,5.0,8.0,8.0,16.0,9.0,6.0,4.0,4.0,11.0,11.0,11.0,3.0,13.0,4.0,14.0,9.0,13.0,18.0,16.0,12.0,3.0,14.0,18.0,15.0
banaan,6.0,5.0,6.0,6.0,7.0,20.0,6.0,4.0,8.0,8.0,6.0,7.0,6.0,6.0,6.0,7.0,5.0,7.0,6.0,6.0,7.0,9.0,4.0,5.0,4.0,5.0,9.0,7.0,7.0,8.0
bosbes,18.0,18.0,5.0,3.0,5.0,6.0,20.0,19.0,7.0,14.0,4.0,17.0,18.0,18.0,3.0,4.0,5.0,14.0,7.0,4.0,4.0,3.0,4.0,5.0,7.0,4.0,6.0,9.0,4.0,11.0
braambessen,19.0,19.0,5.0,3.0,8.0,4.0,19.0,20.0,6.0,5.0,5.0,18.0,18.0,17.0,8.0,7.0,6.0,16.0,3.0,3.0,6.0,7.0,6.0,6.0,4.0,4.0,2.0,7.0,4.0,4.0
citroen,4.0,6.0,14.0,3.0,8.0,8.0,7.0,6.0,20.0,18.0,7.0,9.0,8.0,8.0,16.0,13.0,19.0,10.0,13.0,7.0,13.0,12.0,7.0,6.0,15.0,14.0,4.0,14.0,10.0,15.0
clementine,9.0,7.0,13.0,5.0,16.0,8.0,14.0,5.0,18.0,20.0,12.0,7.0,5.0,5.0,15.0,4.0,16.0,4.0,9.0,5.0,17.0,9.0,15.0,6.0,12.0,13.0,7.0,16.0,19.0,12.0
dadels,14.0,14.0,8.0,6.0,9.0,6.0,4.0,5.0,7.0,12.0,20.0,18.0,11.0,15.0,12.0,7.0,10.0,17.0,10.0,6.0,10.0,9.0,16.0,7.0,15.0,6.0,3.0,17.0,5.0,18.0
druif,18.0,17.0,8.0,3.0,6.0,7.0,17.0,18.0,9.0,7.0,18.0,20.0,16.0,19.0,9.0,9.0,8.0,16.0,5.0,4.0,7.0,7.0,6.0,6.0,5.0,4.0,3.0,10.0,4.0,18.0
framboos,16.0,19.0,8.0,3.0,4.0,6.0,18.0,18.0,8.0,5.0,11.0,16.0,20.0,17.0,6.0,3.0,5.0,16.0,6.0,5.0,6.0,4.0,4.0,6.0,5.0,3.0,2.0,7.0,6.0,6.0
kers,15.0,16.0,4.0,4.0,4.0,6.0,18.0,17.0,8.0,5.0,15.0,19.0,17.0,20.0,8.0,6.0,7.0,16.0,7.0,3.0,8.0,5.0,8.0,6.0,5.0,4.0,2.0,8.0,9.0,8.0
kiwi,6.0,7.0,8.0,5.0,11.0,6.0,3.0,8.0,16.0,15.0,12.0,9.0,6.0,8.0,20.0,12.0,13.0,15.0,8.0,8.0,14.0,16.0,16.0,8.0,14.0,15.0,8.0,12.0,8.0,9.0
kokosnoot,4.0,6.0,8.0,12.0,11.0,7.0,4.0,7.0,13.0,4.0,7.0,9.0,3.0,6.0,12.0,20.0,12.0,8.0,9.0,14.0,9.0,15.0,13.0,7.0,10.0,8.0,3.0,8.0,11.0,6.0
limoen,5.0,7.0,16.0,7.0,11.0,5.0,5.0,6.0,19.0,16.0,10.0,8.0,5.0,7.0,13.0,12.0,20.0,8.0,14.0,7.0,15.0,14.0,12.0,16.0,12.0,17.0,3.0,8.0,12.0,16.0
lychee,17.0,18.0,4.0,3.0,3.0,7.0,14.0,16.0,10.0,4.0,17.0,16.0,16.0,16.0,15.0,8.0,8.0,20.0,13.0,6.0,10.0,9.0,7.0,5.0,6.0,5.0,6.0,6.0,7.0,17.0
mango,4.0,6.0,16.0,6.0,13.0,6.0,7.0,3.0,13.0,9.0,10.0,5.0,6.0,7.0,8.0,9.0,14.0,13.0,20.0,8.0,15.0,18.0,16.0,8.0,16.0,13.0,6.0,15.0,12.0,7.0
meloen,3.0,4.0,9.0,14.0,4.0,6.0,4.0,3.0,7.0,5.0,6.0,4.0,5.0,3.0,8.0,14.0,7.0,6.0,8.0,20.0,12.0,10.0,7.0,7.0,10.0,10.0,11.0,14.0,9.0,4.0
nectarine,6.0,8.0,19.0,10.0,14.0,7.0,4.0,6.0,13.0,17.0,10.0,7.0,6.0,8.0,14.0,9.0,15.0,10.0,15.0,12.0,20.0,13.0,16.0,6.0,18.0,13.0,4.0,16.0,16.0,11.0
papaya,12.0,5.0,15.0,13.0,9.0,9.0,3.0,7.0,12.0,9.0,9.0,7.0,4.0,5.0,16.0,15.0,14.0,9.0,18.0,10.0,13.0,20.0,17.0,16.0,16.0,18.0,4.0,8.0,13.0,7.0
passievrucht,6.0,9.0,14.0,10.0,13.0,4.0,4.0,6.0,7.0,15.0,16.0,6.0,4.0,8.0,16.0,13.0,12.0,7.0,16.0,7.0,16.0,17.0,20.0,9.0,13.0,10.0,4.0,12.0,16.0,6.0
peer,5.0,5.0,10.0,4.0,18.0,5.0,5.0,6.0,6.0,6.0,7.0,6.0,6.0,6.0,8.0,7.0,16.0,5.0,8.0,7.0,6.0,16.0,9.0,20.0,13.0,8.0,8.0,14.0,13.0,6.0
perzik,5.0,6.0,19.0,8.0,16.0,4.0,7.0,4.0,15.0,12.0,15.0,5.0,5.0,5.0,14.0,10.0,12.0,6.0,16.0,10.0,18.0,16.0,13.0,13.0,20.0,14.0,5.0,9.0,16.0,9.0
pompelmoes,6.0,3.0,16.0,4.0,12.0,5.0,4.0,4.0,14.0,13.0,6.0,4.0,3.0,4.0,15.0,8.0,17.0,5.0,13.0,10.0,13.0,18.0,10.0,8.0,14.0,20.0,6.0,9.0,17.0,9.0
pompoen,2.0,2.0,4.0,8.0,3.0,9.0,6.0,2.0,4.0,7.0,3.0,3.0,2.0,2.0,8.0,3.0,3.0,6.0,6.0,11.0,4.0,4.0,4.0,8.0,5.0,6.0,20.0,6.0,5.0,2.0
pruim,6.0,7.0,8.0,6.0,14.0,7.0,9.0,7.0,14.0,16.0,17.0,10.0,7.0,8.0,12.0,8.0,8.0,6.0,15.0,14.0,16.0,8.0,12.0,14.0,9.0,9.0,6.0,20.0,12.0,9.0
sinaasappel,4.0,4.0,14.0,8.0,18.0,7.0,4.0,4.0,10.0,19.0,5.0,4.0,6.0,9.0,8.0,11.0,12.0,7.0,12.0,9.0,16.0,13.0,16.0,13.0,16.0,17.0,5.0,12.0,20.0,3.0
vijg,10.0,12.0,10.0,5.0,15.0,8.0,11.0,4.0,15.0,12.0,18.0,18.0,6.0,8.0,9.0,6.0,16.0,17.0,7.0,4.0,11.0,7.0,6.0,6.0,9.0,9.0,2.0,9.0,3.0,20.0
