exemplar,bij,bloedzuiger,daas,duizendpoot,fruitvlieg,hommel,kakkerlak,kever,krekel,libel,lieveheersbeestje,luis,meikever,mier,mot,mug,oorworm,pissebed,rups,spin,sprinkhaan,vlieg,vlinder,vlo,wesp,worm
bij,20.0,7.0,4.0,2.0,11.0,18.0,3.0,5.0,5.0,6.0,4.0,1.0,7.0,5.0,7.0,12.0,5.0,3.0,6.0,4.0,5.0,14.0,5.0,1.0,16.0,1.0
bloedzuiger,7.0,20.0,18.0,8.0,6.0,4.0,6.0,6.0,8.0,1.0,6.0,2.0,5.0,3.0,13.0,4.0,8.0,10.0,3.0,7.0,6.0,7.0,2.0,1.0,5.0,2.0
daas,4.0,18.0,20.0,6.0,15.0,10.0,4.0,8.0,6.0,5.0,5.0,1.0,5.0,6.0,5.0,11.0,9.0,15.0,5.0,5.0,9.0,15.0,9.0,1.0,9.0,2.0
duizendpoot,2.0,8.0,6.0,20.0,4.0,3.0,6.0,11.0,6.0,7.0,9.0,1.0,10.0,10.0,5.0,6.0,12.0,14.0,15.0,6.0,11.0,6.0,4.0,1.0,2.0,6.0
fruitvlieg,11.0,6.0,15.0,4.0,20.0,17.0,6.0,6.0,4.0,6.0,6.0,3.0,3.0,6.0,12.0,8.0,6.0,6.0,3.0,3.0,3.0,18.0,5.0,3.0,9.0,1.0
hommel,18.0,4.0,10.0,3.0,17.0,20.0,5.0,5.0,1.0,6.0,5.0,1.0,11.0,5.0,12.0,8.0,5.0,8.0,4.0,5.0,4.0,12.0,5.0,1.0,18.0,3.0
kakkerlak,3.0,6.0,4.0,6.0,6.0,5.0,20.0,4.0,6.0,3.0,4.0,1.0,3.0,2.0,2.0,4.0,10.0,10.0,7.0,5.0,5.0,4.0,3.0,1.0,5.0,5.0
kever,5.0,6.0,8.0,11.0,6.0,5.0,4.0,20.0,10.0,3.0,7.0,1.0,19.0,6.0,3.0,3.0,11.0,6.0,4.0,4.0,4.0,5.0,6.0,1.0,4.0,2.0
krekel,5.0,8.0,6.0,6.0,4.0,1.0,6.0,10.0,20.0,3.0,6.0,2.0,10.0,4.0,5.0,2.0,4.0,4.0,2.0,4.0,6.0,3.0,2.0,1.0,3.0,3.0
libel,6.0,1.0,5.0,7.0,6.0,6.0,3.0,3.0,3.0,20.0,3.0,1.0,3.0,5.0,12.0,18.0,5.0,4.0,2.0,15.0,16.0,13.0,7.0,1.0,6.0,1.0
lieveheersbeestje,4.0,6.0,5.0,9.0,6.0,5.0,4.0,7.0,6.0,3.0,20.0,1.0,7.0,7.0,3.0,5.0,4.0,6.0,2.0,4.0,4.0,6.0,10.0,1.0,3.0,2.0
luis,1.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,17.0,2.0,1.0
meikever,7.0,5.0,5.0,10.0,3.0,11.0,3.0,19.0,10.0,3.0,7.0,1.0,20.0,9.0,5.0,4.0,9.0,10.0,2.0,7.0,5.0,3.0,4.0,1.0,5.0,3.0
mier,5.0,3.0,6.0,10.0,6.0,5.0,2.0,6.0,4.0,5.0,7.0,1.0,9.0,20.0,3.0,4.0,12.0,6.0,4.0,3.0,2.0,4.0,3.0,3.0,3.0,4.0
mot,7.0,13.0,5.0,5.0,12.0,12.0,2.0,3.0,5.0,12.0,3.0,1.0,5.0,3.0,20.0,15.0,2.0,6.0,2.0,14.0,6.0,14.0,11.0,1.0,4.0,2.0
mug,12.0,4.0,11.0,6.0,8.0,8.0,4.0,3.0,2.0,18.0,5.0,1.0,4.0,4.0,15.0,20.0,6.0,3.0,3.0,11.0,10.0,14.0,7.0,3.0,10.0,2.0
