exemplar,aap,bever,bizon,dromedaris,eekhoorn,egel,ezel,giraf,hamster,hert,hond,ijsbeer,kangoeroe,kat,koe,konijn,lama,leeuw,muis,neushoorn,nijlpaard,olifant,paard,schaap,tijger,varken,vleermuis,vos,wolf,zebra
aap,20.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0
bever,3.0,20.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0
bizon,3.0,3.0,20.0,3.0,3.0,3.0,5.0,3.0,3.0,6.0,3.0,3.0,3.0,3.0,12.0,3.0,5.0,4.0,3.0,6.0,5.0,5.0,4.0,4.0,3.0,3.0,2.0,4.0,4.0,4.0
dromedaris,3.0,3.0,3.0,20.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,5.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0
eekhoorn,3.0,3.0,3.0,3.0,20.0,3.0,3.0,3.0,6.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,6.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,4.0,3.0,3.0,3.0
egel,3.0,3.0,3.0,3.0,3.0,20.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0
ezel,3.0,3.0,5.0,3.0,3.0,3.0,20.0,4.0,3.0,5.0,3.0,3.0,3.0,3.0,8.0,3.0,7.0,4.0,3.0,6.0,4.0,4.0,16.0,5.0,3.0,3.0,3.0,3.0,4.0,15.0
giraf,3.0,3.0,3.0,4.0,3.0,3.0,4.0,20.0,3.0,4.0,4.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,5.0,3.0,3.0,3.0,3.0,2.0,3.0,4.0
hamster,3.0,3.0,3.0,3.0,6.0,3.0,3.0,3.0,20.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,13.0,3.0,3.0,3.0,2.0,3.0,3.0,4.0,2.0,3.0,3.0,3.0
hert,3.0,3.0,6.0,3.0,3.0,3.0,5.0,4.0,3.0,20.0,4.0,3.0,3.0,3.0,6.0,3.0,5.0,4.0,3.0,5.0,4.0,4.0,6.0,5.0,3.0,4.0,3.0,4.0,3.0,5.0
hond,3.0,2.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,20.0,3.0,3.0,8.0,3.0,3.0,3.0,8.0,3.0,4.0,4.0,3.0,4.0,4.0,10.0,4.0,3.0,10.0,15.0,3.0
ijsbeer,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,20.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
kangoeroe,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,20.0,2.0,3.0,5.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0
kat,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,8.0,3.0,2.0,20.0,3.0,3.0,3.0,7.0,4.0,2.0,3.0,3.0,3.0,3.0,8.0,4.0,4.0,7.0,5.0,3.0
koe,3.0,3.0,12.0,2.0,3.0,3.0,8.0,4.0,3.0,6.0,3.0,3.0,3.0,3.0,20.0,3.0,5.0,4.0,3.0,5.0,4.0,4.0,6.0,3.0,4.0,3.0,3.0,3.0,4.0,6.0
konijn,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0,3.0,3.0,20.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
lama,3.0,3.0,5.0,3.0,3.0,3.0,7.0,4.0,3.0,5.0,3.0,3.0,3.0,3.0,5.0,3.0,20.0,3.0,3.0,4.0,4.0,3.0,6.0,3.0,3.0,4.0,3.0,4.0,4.0,6.0
leeuw,4.0,3.0,4.0,3.0,3.0,3.0,4.0,4.0,3.0,4.0,8.0,3.0,2.0,7.0,4.0,3.0,3.0,20.0,3.0,4.0,4.0,3.0,4.0,4.0,15.0,4.0,3.0,4.0,9.0,3.0
muis,2.0,3.0,3.0,3.0,6.0,4.0,3.0,3.0,13.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,20.0,3.0,3.0,2.0,3.0,4.0,3.0,3.0,3.0,4.0,4.0,3.0
neushoorn,3.0,3.0,6.0,4.0,3.0,3.0,6.0,4.0,3.0,5.0,4.0,3.0,3.0,2.0,5.0,3.0,4.0,4.0,3.0,20.0,12.0,6.0,6.0,3.0,3.0,3.0,3.0,3.0,4.0,6.0
