exemplar,accordeon,banjo,basgitaar,cello,cimbalen,contrabas,doedelzak,drumstel,dwarsfluit,fagot,fluit,gitaar,harp,klarinet,klavecimbel,mondharmonica,orgel,panfluit,piano,saxofoon,synthesizer,tamboerijn,triangel,trombone,trommel,trompet,viool
accordeon,20.0,4.0,6.0,5.0,6.0,7.0,13.0,4.0,6.0,,4.0,5.0,7.0,4.0,7.0,8.0,6.0,4.0,11.0,5.0,8.0,5.0,9.0,4.0,4.0,5.0,6.0
banjo,4.0,20.0,16.0,5.0,7.0,7.0,5.0,5.0,4.0,,4.0,18.0,9.0,4.0,5.0,11.0,5.0,5.0,4.0,6.0,7.0,6.0,5.0,4.0,6.0,4.0,13.0
basgitaar,6.0,16.0,20.0,5.0,5.0,7.0,4.0,8.0,4.0,,4.0,19.0,8.0,5.0,7.0,4.0,4.0,4.0,6.0,4.0,9.0,6.0,5.0,4.0,5.0,4.0,11.0
cello,5.0,5.0,5.0,20.0,6.0,5.0,5.0,5.0,8.0,,10.0,6.0,5.0,4.0,7.0,6.0,5.0,7.0,5.0,8.0,5.0,6.0,7.0,6.0,5.0,9.0,7.0
cimbalen,6.0,7.0,5.0,6.0,20.0,5.0,6.0,6.0,4.0,,7.0,5.0,3.0,3.0,5.0,4.0,6.0,4.0,4.0,4.0,5.0,7.0,8.0,6.0,7.0,4.0,6.0
contrabas,7.0,7.0,7.0,5.0,5.0,20.0,4.0,5.0,4.0,,4.0,12.0,8.0,4.0,6.0,4.0,9.0,4.0,4.0,5.0,6.0,7.0,4.0,4.0,5.0,4.0,15.0
doedelzak,13.0,5.0,4.0,5.0,6.0,4.0,20.0,5.0,5.0,,4.0,4.0,4.0,4.0,6.0,7.0,2.0,4.0,4.0,6.0,6.0,5.0,4.0,4.0,7.0,4.0,10.0
drumstel,4.0,5.0,8.0,5.0,6.0,5.0,5.0,20.0,3.0,,3.0,11.0,5.0,4.0,8.0,4.0,7.0,4.0,6.0,2.0,6.0,8.0,8.0,4.0,17.0,6.0,4.0
dwarsfluit,6.0,4.0,4.0,8.0,4.0,4.0,5.0,3.0,20.0,,18.0,4.0,4.0,11.0,5.0,8.0,4.0,12.0,4.0,9.0,4.0,3.0,7.0,6.0,4.0,6.0,6.0
fagot,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,
fluit,4.0,4.0,4.0,10.0,7.0,4.0,4.0,3.0,18.0,,20.0,4.0,4.0,13.0,5.0,11.0,3.0,8.0,5.0,9.0,5.0,4.0,5.0,6.0,4.0,5.0,5.0
gitaar,5.0,18.0,19.0,6.0,5.0,12.0,4.0,11.0,4.0,,4.0,20.0,9.0,4.0,4.0,7.0,4.0,5.0,6.0,4.0,5.0,6.0,4.0,3.0,8.0,5.0,17.0
harp,7.0,9.0,8.0,5.0,3.0,8.0,4.0,5.0,4.0,,4.0,9.0,20.0,5.0,6.0,7.0,5.0,5.0,7.0,5.0,11.0,7.0,4.0,7.0,5.0,4.0,11.0
klarinet,4.0,4.0,5.0,4.0,3.0,4.0,4.0,4.0,11.0,,13.0,4.0,5.0,20.0,4.0,4.0,4.0,8.0,4.0,11.0,5.0,5.0,4.0,13.0,4.0,11.0,5.0
klavecimbel,7.0,5.0,7.0,7.0,5.0,6.0,6.0,8.0,5.0,,5.0,4.0,6.0,4.0,20.0,5.0,15.0,5.0,16.0,7.0,12.0,6.0,9.0,5.0,5.0,5.0,6.0
mondharmonica,8.0,11.0,4.0,6.0,4.0,4.0,7.0,4.0,8.0,,11.0,7.0,7.0,4.0,5.0,20.0,5.0,13.0,4.0,6.0,4.0,7.0,7.0,4.0,6.0,5.0,6.0
orgel,6.0,5.0,4.0,5.0,6.0,9.0,2.0,7.0,4.0,,3.0,4.0,5.0,4.0,15.0,5.0,20.0,3.0,18.0,4.0,16.0,6.0,5.0,5.0,7.0,4.0,6.0
panfluit,4.0,5.0,4.0,7.0,4.0,4.0,4.0,4.0,12.0,,8.0,5.0,5.0,8.0,5.0,13.0,3.0,20.0,4.0,6.0,4.0,6.0,8.0,6.0,5.0,8.0,4.0
