exemplar,acteur,advocaat,apotheker,archeoloog,architect,bakker,boekhouder,brandweerman,dierenarts,directeur,dokter,informaticus,kinesist,kok,leraar,loodgieter,marktkramer,minister,opvoedster,piloot,politieagent,postbode,psycholoog,rechter,secretaresse,slager,stewardess,tandarts,vuilnisman,winkelbediende
acteur,20.0,15.0,9.0,4.0,8.0,4.0,7.0,5.0,8.0,8.0,8.0,6.0,5.0,16.0,12.0,4.0,14.0,17.0,10.0,8.0,8.0,5.0,11.0,9.0,13.0,5.0,11.0,5.0,5.0,11.0
advocaat,15.0,20.0,7.0,4.0,6.0,5.0,8.0,8.0,4.0,16.0,7.0,11.0,14.0,8.0,13.0,7.0,14.0,14.0,9.0,5.0,15.0,13.0,15.0,16.0,12.0,8.0,6.0,6.0,5.0,7.0
apotheker,9.0,7.0,20.0,10.0,5.0,16.0,7.0,12.0,14.0,6.0,12.0,13.0,14.0,12.0,8.0,7.0,4.0,10.0,6.0,10.0,4.0,4.0,4.0,4.0,14.0,14.0,6.0,13.0,5.0,18.0
archeoloog,4.0,4.0,10.0,20.0,7.0,8.0,11.0,5.0,7.0,5.0,15.0,8.0,5.0,8.0,4.0,4.0,6.0,6.0,11.0,5.0,14.0,5.0,4.0,8.0,5.0,5.0,13.0,17.0,15.0,14.0
architect,8.0,6.0,5.0,7.0,20.0,4.0,4.0,8.0,3.0,8.0,4.0,12.0,5.0,5.0,8.0,14.0,15.0,6.0,4.0,9.0,8.0,14.0,14.0,14.0,5.0,6.0,8.0,5.0,5.0,8.0
bakker,4.0,5.0,16.0,8.0,4.0,20.0,3.0,8.0,4.0,8.0,8.0,5.0,8.0,18.0,5.0,4.0,15.0,5.0,9.0,15.0,4.0,8.0,4.0,4.0,13.0,16.0,4.0,4.0,5.0,14.0
boekhouder,7.0,8.0,7.0,11.0,4.0,3.0,20.0,8.0,9.0,14.0,10.0,11.0,8.0,4.0,11.0,10.0,5.0,9.0,11.0,8.0,5.0,6.0,4.0,5.0,15.0,9.0,5.0,7.0,5.0,10.0
brandweerman,5.0,8.0,12.0,5.0,8.0,8.0,8.0,20.0,7.0,5.0,5.0,5.0,5.0,4.0,7.0,8.0,4.0,4.0,8.0,7.0,17.0,12.0,5.0,8.0,10.0,7.0,9.0,5.0,12.0,5.0
dierenarts,8.0,4.0,14.0,7.0,3.0,4.0,9.0,7.0,20.0,8.0,15.0,10.0,14.0,5.0,8.0,6.0,5.0,5.0,8.0,9.0,7.0,16.0,8.0,10.0,8.0,15.0,5.0,11.0,8.0,5.0
directeur,8.0,16.0,6.0,5.0,8.0,8.0,14.0,5.0,8.0,20.0,10.0,12.0,16.0,6.0,16.0,12.0,5.0,17.0,14.0,16.0,14.0,5.0,12.0,17.0,15.0,8.0,11.0,7.0,4.0,9.0
