exemplar,adder,alligator,boa,cobra,dinosaurus,gekko,hagedis,hazelworm,kaaiman,kameleon,kikker,krokodil,leguaan,pad,python,salamander,schildpad,slang,varaan,waterschildpad
adder,20.0,12.0,17.0,17.0,8.0,,14.0,15.0,12.0,11.0,13.0,12.0,12.0,6.0,18.0,11.0,10.0,17.0,9.0,10.0
alligator,12.0,20.0,8.0,10.0,13.0,,15.0,10.0,18.0,13.0,11.0,18.0,15.0,11.0,8.0,17.0,12.0,9.0,13.0,8.0
boa,17.0,8.0,20.0,17.0,11.0,,10.0,12.0,3.0,9.0,11.0,12.0,5.0,7.0,17.0,11.0,9.0,18.0,13.0,12.0
cobra,17.0,10.0,17.0,20.0,13.0,,7.0,12.0,7.0,8.0,9.0,7.0,9.0,6.0,17.0,13.0,8.0,17.0,7.0,11.0
dinosaurus,8.0,13.0,11.0,13.0,20.0,,13.0,2.0,10.0,14.0,15.0,12.0,14.0,15.0,12.0,5.0,8.0,8.0,12.0,13.0
gekko,,,,,,20.0,,,,,,,,,,,,,,
hagedis,14.0,15.0,10.0,7.0,13.0,,20.0,10.0,13.0,9.0,9.0,17.0,15.0,10.0,12.0,19.0,12.0,12.0,18.0,11.0
hazelworm,15.0,10.0,12.0,12.0,2.0,,10.0,20.0,13.0,9.0,10.0,10.0,13.0,9.0,13.0,13.0,11.0,16.0,3.0,10.0
kaaiman,12.0,18.0,3.0,7.0,10.0,,13.0,13.0,20.0,10.0,15.0,18.0,14.0,9.0,8.0,12.0,12.0,7.0,15.0,9.0
kameleon,11.0,13.0,9.0,8.0,14.0,,9.0,9.0,10.0,20.0,8.0,5.0,13.0,12.0,5.0,13.0,8.0,13.0,14.0,8.0
kikker,13.0,11.0,11.0,9.0,15.0,,9.0,10.0,15.0,8.0,20.0,10.0,14.0,18.0,10.0,7.0,10.0,8.0,11.0,17.0
krokodil,12.0,18.0,12.0,7.0,12.0,,17.0,10.0,18.0,5.0,10.0,20.0,15.0,10.0,12.0,15.0,11.0,6.0,14.0,13.0
leguaan,12.0,15.0,5.0,9.0,14.0,,15.0,13.0,14.0,13.0,14.0,15.0,20.0,15.0,11.0,17.0,14.0,14.0,17.0,13.0
pad,6.0,11.0,7.0,6.0,15.0,,10.0,9.0,9.0,12.0,18.0,10.0,15.0,20.0,9.0,13.0,17.0,10.0,12.0,17.0
python,18.0,8.0,17.0,17.0,12.0,,12.0,13.0,8.0,5.0,10.0,12.0,11.0,9.0,20.0,8.0,8.0,17.0,9.0,12.0
salamander,11.0,17.0,11.0,13.0,5.0,,19.0,13.0,12.0,13.0,7.0,15.0,17.0,13.0,8.0,20.0,13.0,12.0,16.0,16.0
schildpad,10.0,12.0,9.0,8.0,8.0,,12.0,11.0,12.0,8.0,10.0,11.0,14.0,17.0,8.0,13.0,20.0,8.0,9.0,18.0
slang,17.0,9.0,18.0,17.0,8.0,,12.0,16.0,7.0,13.0,8.0,6.0,14.0,10.0,17.0,12.0,8.0,20.0,11.0,9.0
varaan,9.0,13.0,13.0,7.0,12.0,,18.0,3.0,15.0,14.0,11.0,14.0,17.0,12.0,9.0,16.0,9.0,11.0,20.0,11.0
waterschildpad,10.0,8.0,12.0,11.0,13.0,,11.0,10.0,9.0,8.0,17.0,13.0,13.0,17.0,12.0,16.0,18.0,9.0,11.0,20.0
