exemplar,badminton,ballet,baseball,basketbal,biljarten,boksen,golf,handbal,hardlopen,ijshockey,judo,kogelstoten,paardrijden,rugby,schaken,schermen,skiën,sportvissen,squash,surfen,tafeltennis,tennis,turnen,verspringen,voetbal,volleybal,wandelen,wielrennen,zeilen,zwemmen
badminton,20.0,5.0,9.0,6.0,5.0,7.0,4.0,9.0,5.0,5.0,5.0,5.0,6.0,4.0,5.0,5.0,6.0,5.0,12.0,6.0,10.0,16.0,5.0,6.0,5.0,9.0,5.0,4.0,5.0,5.0
ballet,5.0,20.0,6.0,6.0,5.0,5.0,5.0,5.0,7.0,5.0,7.0,6.0,4.0,6.0,6.0,4.0,5.0,4.0,4.0,5.0,6.0,4.0,5.0,5.0,6.0,5.0,6.0,4.0,5.0,6.0
baseball,9.0,6.0,20.0,9.0,5.0,6.0,6.0,7.0,5.0,6.0,7.0,6.0,5.0,9.0,6.0,5.0,4.0,4.0,9.0,5.0,7.0,7.0,5.0,7.0,8.0,6.0,8.0,6.0,7.0,5.0
basketbal,6.0,6.0,9.0,20.0,7.0,5.0,6.0,9.0,5.0,5.0,4.0,7.0,4.0,7.0,4.0,6.0,4.0,3.0,5.0,6.0,6.0,8.0,5.0,6.0,8.0,7.0,6.0,5.0,6.0,4.0
biljarten,5.0,5.0,5.0,7.0,20.0,6.0,6.0,7.0,6.0,6.0,6.0,7.0,4.0,4.0,6.0,2.0,3.0,5.0,7.0,6.0,9.0,5.0,4.0,4.0,6.0,7.0,6.0,5.0,4.0,5.0
boksen,7.0,5.0,6.0,5.0,6.0,20.0,5.0,5.0,7.0,7.0,5.0,4.0,6.0,11.0,4.0,8.0,4.0,4.0,4.0,6.0,6.0,5.0,5.0,4.0,5.0,5.0,5.0,6.0,6.0,5.0
golf,4.0,5.0,6.0,6.0,6.0,5.0,20.0,7.0,5.0,7.0,6.0,7.0,4.0,4.0,4.0,5.0,5.0,6.0,8.0,4.0,9.0,9.0,6.0,5.0,7.0,7.0,9.0,4.0,6.0,4.0
handbal,9.0,5.0,7.0,9.0,7.0,5.0,7.0,20.0,5.0,6.0,5.0,6.0,5.0,7.0,6.0,5.0,7.0,4.0,9.0,5.0,7.0,7.0,4.0,5.0,6.0,7.0,5.0,6.0,6.0,5.0
hardlopen,5.0,7.0,5.0,5.0,6.0,7.0,5.0,5.0,20.0,5.0,5.0,5.0,6.0,5.0,5.0,6.0,6.0,5.0,6.0,6.0,7.0,5.0,5.0,9.0,8.0,6.0,5.0,5.0,4.0,5.0
ijshockey,5.0,5.0,6.0,5.0,6.0,7.0,7.0,6.0,5.0,20.0,5.0,6.0,6.0,6.0,4.0,7.0,6.0,6.0,8.0,7.0,6.0,5.0,6.0,5.0,6.0,7.0,5.0,5.0,7.0,5.0
judo,5.0,7.0,7.0,4.0,6.0,5.0,6.0,5.0,5.0,5.0,20.0,5.0,5.0,6.0,6.0,5.0,5.0,3.0,5.0,4.0,5.0,6.0,6.0,6.0,6.0,6.0,8.0,5.0,4.0,5.0
kogelstoten,5.0,6.0,6.0,7.0,7.0,4.0,7.0,6.0,5.0,6.0,5.0,20.0,5.0,6.0,6.0,7.0,7.0,5.0,7.0,3.0,6.0,7.0,6.0,4.0,6.0,4.0,5.0,6.0,5.0,6.0
paardrijden,6.0,4.0,5.0,4.0,4.0,6.0,4.0,5.0,6.0,6.0,5.0,5.0,20.0,4.0,4.0,6.0,3.0,5.0,4.0,6.0,7.0,5.0,5.0,5.0,4.0,6.0,5.0,5.0,6.0,5.0
rugby,4.0,6.0,9.0,7.0,4.0,11.0,4.0,7.0,5.0,6.0,6.0,6.0,4.0,20.0,5.0,7.0,4.0,6.0,7.0,3.0,4.0,7.0,6.0,5.0,10.0,8.0,5.0,4.0,5.0,4.0
schaken,5.0,6.0,6.0,4.0,6.0,4.0,4.0,6.0,5.0,4.0,6.0,6.0,4.0,5.0,20.0,5.0,6.0,4.0,4.0,5.0,6.0,4.0,5.0,4.0,4.0,4.0,6.0,5.0,3.0,5.0
schermen,5.0,4.0,5.0,6.0,2.0,8.0,5.0,5.0,6.0,7.0,5.0,7.0,6.0,7.0,5.0,20.0,5.0,4.0,7.0,6.0,4.0,6.0,7.0,5.0,3.0,6.0,8.0,4.0,7.0,7.0
skiën,6.0,5.0,4.0,4.0,3.0,4.0,5.0,7.0,6.0,6.0,5.0,7.0,3.0,4.0,6.0,5.0,20.0,5.0,6.0,6.0,5.0,7.0,6.0,4.0,5.0,5.0,5.0,6.0,8.0,5.0
