exemplar,aambeeld,beitel,bijl,boormachine,breekijzer,engelse sleutel,grasmachine,hamer,houtklem,houweel,koevoet,kruiwagen,mes,moersleutel,oliespuit,plamuurmes,ploeg,schaaf,schop,schroevendraaier,slijpschijf,spijker,staalborstel,stofzuiger,tang,touw,verfborstel,vijl,waterpas,zaag
aambeeld,20.0,2.0,15.0,3.0,2.0,6.0,2.0,2.0,2.0,15.0,2.0,1.0,2.0,2.0,,1.0,4.0,,3.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,8.0,6.0,2.0
beitel,2.0,20.0,5.0,4.0,8.0,4.0,3.0,7.0,3.0,15.0,6.0,2.0,7.0,2.0,,16.0,3.0,,13.0,12.0,3.0,4.0,2.0,1.0,2.0,1.0,6.0,9.0,2.0,3.0
bijl,15.0,5.0,20.0,4.0,16.0,7.0,3.0,4.0,3.0,8.0,3.0,1.0,12.0,3.0,,6.0,5.0,,7.0,7.0,5.0,4.0,3.0,2.0,3.0,1.0,2.0,5.0,2.0,5.0
boormachine,3.0,4.0,4.0,20.0,3.0,3.0,5.0,2.0,1.0,3.0,4.0,3.0,3.0,2.0,,1.0,2.0,,5.0,3.0,4.0,2.0,3.0,5.0,2.0,1.0,2.0,3.0,1.0,2.0
breekijzer,2.0,8.0,16.0,3.0,20.0,2.0,3.0,6.0,8.0,8.0,17.0,2.0,7.0,14.0,,11.0,4.0,,10.0,18.0,5.0,4.0,3.0,2.0,4.0,1.0,3.0,4.0,2.0,8.0
engelse sleutel,6.0,4.0,7.0,3.0,2.0,20.0,1.0,2.0,3.0,3.0,2.0,2.0,3.0,1.0,,2.0,3.0,,3.0,2.0,2.0,2.0,3.0,2.0,7.0,1.0,5.0,2.0,2.0,1.0
grasmachine,2.0,3.0,3.0,5.0,3.0,1.0,20.0,2.0,3.0,2.0,1.0,13.0,6.0,2.0,,3.0,16.0,,5.0,3.0,4.0,3.0,2.0,5.0,4.0,1.0,2.0,3.0,1.0,3.0
hamer,2.0,7.0,4.0,2.0,6.0,2.0,2.0,20.0,1.0,5.0,6.0,1.0,1.0,3.0,,2.0,4.0,,3.0,3.0,3.0,2.0,2.0,1.0,3.0,1.0,2.0,2.0,2.0,10.0
houtklem,2.0,3.0,3.0,1.0,8.0,3.0,3.0,1.0,20.0,,3.0,1.0,2.0,2.0,,2.0,2.0,,3.0,2.0,3.0,2.0,3.0,3.0,8.0,2.0,2.0,2.0,2.0,3.0
houweel,15.0,15.0,8.0,3.0,8.0,3.0,2.0,5.0,,20.0,8.0,3.0,8.0,2.0,,17.0,8.0,,8.0,4.0,9.0,2.0,3.0,2.0,3.0,1.0,3.0,7.0,2.0,4.0
koevoet,2.0,6.0,3.0,4.0,17.0,2.0,1.0,6.0,3.0,8.0,20.0,3.0,7.0,2.0,,4.0,5.0,,10.0,17.0,2.0,2.0,4.0,2.0,7.0,1.0,1.0,6.0,1.0,4.0
kruiwagen,1.0,2.0,1.0,3.0,2.0,2.0,13.0,1.0,1.0,3.0,3.0,20.0,3.0,1.0,,2.0,7.0,,7.0,2.0,1.0,2.0,2.0,3.0,2.0,1.0,2.0,3.0,3.0,3.0
mes,2.0,7.0,12.0,3.0,7.0,3.0,6.0,1.0,2.0,8.0,7.0,3.0,20.0,2.0,,14.0,12.0,,7.0,10.0,12.0,4.0,3.0,1.0,4.0,1.0,3.0,14.0,1.0,15.0
moersleutel,2.0,2.0,3.0,2.0,14.0,1.0,2.0,3.0,2.0,2.0,2.0,1.0,2.0,20.0,,7.0,3.0,,2.0,12.0,2.0,2.0,3.0,3.0,16.0,1.0,3.0,3.0,1.0,2.0
oliespuit,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,
plamuurmes,1.0,16.0,6.0,1.0,11.0,2.0,3.0,2.0,2.0,17.0,4.0,2.0,14.0,7.0,,20.0,2.0,,3.0,14.0,1.0,2.0,4.0,3.0,3.0,1.0,10.0,8.0,2.0,4.0
ploeg,4.0,3.0,5.0,2.0,4.0,3.0,16.0,4.0,2.0,8.0,5.0,7.0,12.0,3.0,,2.0,20.0,,17.0,2.0,2.0,3.0,10.0,4.0,4.0,1.0,3.0,3.0,1.0,10.0
schaaf,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,
