exemplar,aambeeld,beitel,bijl,boormachine,breekijzer,engelse sleutel,grasmachine,hamer,houtklem,houweel,koevoet,kruiwagen,mes,moersleutel,oliespuit,plamuurmes,ploeg,schaaf,schop,schroevendraaier,slijpschijf,spijker,staalborstel,stofzuiger,tang,touw,verfborstel,vijl,waterpas,zaag
aambeeld,1.0,0.3235294117647059,0.2705882352941177,0.1588235294117647,0.35625,0.246875,0.18823529411764706,0.34705882352941175,0.24642857142857144,0.29411764705882354,0.29705882352941176,0.23529411764705882,0.2088235294117647,0.23666666666666666,0.2033333333333333,0.20625,0.25,0.28928571428571426,0.2235294117647059,0.21470588235294116,0.2529411764705882,0.18823529411764706,0.2375,0.16764705882352943,0.24117647058823527,0.1388888888888889,0.18235294117647058,0.2,0.23529411764705882,0.19411764705882353
beitel,0.3235294117647059,1.0,0.4805555555555555,0.3277777777777778,0.5029411764705882,0.4088235294117647,0.21388888888888888,0.4722222222222222,0.30357142857142855,0.5194444444444445,0.5361111111111111,0.17777777777777776,0.5,0.35625,0.18333333333333332,0.5117647058823529,0.3029411764705882,0.4115384615384615,0.3861111111111111,0.4916666666666667,0.2861111111111111,0.40555555555555556,0.346875,0.14166666666666666,0.37222222222222223,0.14722222222222223,0.36666666666666664,0.5666666666666667,0.2833333333333333,0.325
bijl,0.2705882352941177,0.4805555555555555,1.0,0.26666666666666666,0.4882352941176471,0.25882352941176473,0.26666666666666666,0.5194444444444445,0.2642857142857143,0.6647058823529413,0.4722222222222222,0.18611111111111112,0.5972222222222222,0.24375,0.2,0.3235294117647059,0.37058823529411766,0.35714285714285715,0.35833333333333334,0.2638888888888889,0.2777777777777778,0.25277777777777777,0.296875,0.1638888888888889,0.3,0.15833333333333333,0.23888888888888887,0.35833333333333334,0.21944444444444447,0.4222222222222222
boormachine,0.1588235294117647,0.3277777777777778,0.26666666666666666,1.0,0.26176470588235295,0.22941176470588234,0.32222222222222224,0.27222222222222225,0.26785714285714285,0.275,0.3205882352941177,0.175,0.3055555555555555,0.25,0.18,0.25882352941176473,0.2323529411764706,0.2857142857142857,0.2638888888888889,0.3861111111111111,0.5055555555555555,0.25833333333333336,0.2125,0.25833333333333336,0.20555555555555555,0.13333333333333333,0.17777777777777776,0.275,0.23888888888888887,0.3055555555555555
breekijzer,0.35625,0.5029411764705882,0.4882352941176471,0.26176470588235295,1.0,0.4264705882352941,0.21470588235294116,0.41875,0.31785714285714284,0.5735294117647058,0.7470588235294118,0.20588235294117646,0.45588235294117646,0.390625,0.28928571428571426,0.38823529411764707,0.29333333333333333,0.3892857142857143,0.31470588235294117,0.42058823529411765,0.3235294117647059,0.29411764705882354,0.27666666666666667,0.1588235294117647,0.45294117647058824,0.1588235294117647,0.24411764705882355,0.3823529411764706,0.24705882352941178,0.27941176470588236
engelse sleutel,0.246875,0.4088235294117647,0.25882352941176473,0.22941176470588234,0.4264705882352941,1.0,0.16470588235294117,0.29705882352941176,0.33571428571428574,0.35,0.4,0.2323529411764706,0.29705882352941176,0.63125,0.20714285714285716,0.38529411764705884,0.23125,0.28928571428571426,0.22941176470588234,0.5323529411764706,0.2323529411764706,0.29705882352941176,0.3,0.18235294117647058,0.4676470588235294,0.15,0.2647058823529412,0.27647058823529413,0.26176470588235295,0.25882352941176473
grasmachine,0.18823529411764706,0.21388888888888888,0.26666666666666666,0.32222222222222224,0.21470588235294116,0.16470588235294117,1.0,0.16666666666666669,0.18928571428571428,0.20277777777777778,0.19166666666666668,0.40555555555555556,0.3055555555555555,0.190625,0.18666666666666668,0.15294117647058822,0.44411764705882356,0.325,0.25833333333333336,0.20555555555555555,0.4222222222222222,0.13055555555555556,0.221875,0.4527777777777778,0.18888888888888888,0.125,0.14722222222222223,0.18611111111111112,0.1638888888888889,0.21388888888888888
hamer,0.34705882352941175,0.4722222222222222,0.5194444444444445,0.27222222222222225,0.41875,0.29705882352941176,0.16666666666666669,1.0,0.23928571428571427,0.39166666666666666,0.43888888888888894,0.18888888888888888,0.28888888888888886,0.3125,0.23333333333333334,0.2676470588235294,0.22058823529411767,0.2785714285714286,0.30833333333333335,0.3055555555555555,0.22222222222222224,0.3,0.25625,0.1638888888888889,0.35277777777777775,0.14444444444444443,0.22222222222222224,0.27222222222222225,0.25555555555555554,0.375
houtklem,0.24642857142857144,0.30357142857142855,0.2642857142857143,0.26785714285714285,0.31785714285714284,0.33571428571428574,0.18928571428571428,0.23928571428571427,1.0,0.31153846153846154,0.275,0.20714285714285716,0.23928571428571427,0.24615384615384617,0.22083333333333335,0.275,0.2230769230769231,0.26666666666666666,0.24285714285714283,0.19285714285714287,0.2928571428571428,0.2357142857142857,0.25,0.20357142857142857,0.38571428571428573,0.24285714285714283,0.26071428571428573,0.22142857142857145,0.2642857142857143,0.23214285714285715
houweel,0.29411764705882354,0.5194444444444445,0.6647058823529413,0.275,0.5735294117647058,0.35,0.20277777777777778,0.39166666666666666,0.31153846153846154,1.0,0.47777777777777775,0.20833333333333334,0.37222222222222223,0.26666666666666666,0.15333333333333335,0.4617647058823529,0.4147058823529412,0.2833333333333333,0.4444444444444445,0.38055555555555554,0.2833333333333333,0.30277777777777776,0.30625,0.16111111111111112,0.2823529411764706,0.17222222222222222,0.27222222222222225,0.3638888888888889,0.24705882352941178,0.2361111111111111
