exemplar,aardappel,ajuin,asperges,aubergine,augurken,biet,bloemkool,bonen,champignons,courgette,erwten,kervel,komkommer,look,maïs,paprika,peterselie,prei,radijs,rode kool,schorseneren,selder,sla,spinazie,spruiten,tomaat,waterkers,witloof,witte kool,wortel
aardappel,20.0,9.0,5.0,3.0,4.0,10.0,13.0,3.0,4.0,6.0,4.0,5.0,7.0,7.0,5.0,12.0,4.0,3.0,8.0,2.0,4.0,5.0,5.0,4.0,6.0,7.0,3.0,5.0,5.0,3.0
ajuin,9.0,20.0,5.0,4.0,7.0,14.0,10.0,4.0,5.0,5.0,6.0,3.0,3.0,9.0,5.0,4.0,4.0,11.0,10.0,3.0,4.0,4.0,3.0,2.0,4.0,7.0,7.0,11.0,10.0,4.0
asperges,5.0,5.0,20.0,5.0,9.0,3.0,8.0,6.0,3.0,3.0,3.0,2.0,6.0,1.0,3.0,3.0,1.0,8.0,4.0,1.0,20.0,3.0,3.0,4.0,4.0,2.0,4.0,7.0,8.0,14.0
aubergine,3.0,4.0,5.0,20.0,4.0,7.0,3.0,4.0,3.0,16.0,1.0,4.0,14.0,1.0,3.0,9.0,4.0,9.0,4.0,3.0,4.0,6.0,6.0,3.0,2.0,4.0,3.0,6.0,7.0,3.0
augurken,4.0,7.0,9.0,4.0,20.0,2.0,3.0,12.0,3.0,6.0,4.0,4.0,9.0,1.0,3.0,3.0,4.0,5.0,4.0,3.0,7.0,8.0,8.0,7.0,8.0,3.0,4.0,4.0,3.0,6.0
biet,10.0,14.0,3.0,7.0,2.0,20.0,11.0,4.0,2.0,4.0,1.0,1.0,6.0,1.0,6.0,7.0,3.0,8.0,14.0,7.0,3.0,9.0,1.0,3.0,3.0,3.0,6.0,6.0,14.0,10.0
bloemkool,13.0,10.0,8.0,3.0,3.0,11.0,20.0,7.0,3.0,4.0,4.0,2.0,4.0,1.0,3.0,4.0,4.0,12.0,1.0,15.0,11.0,6.0,10.0,6.0,8.0,2.0,3.0,13.0,15.0,2.0
bonen,3.0,4.0,6.0,4.0,12.0,4.0,7.0,20.0,3.0,11.0,15.0,2.0,7.0,1.0,4.0,5.0,9.0,14.0,3.0,5.0,9.0,3.0,6.0,11.0,12.0,4.0,4.0,4.0,5.0,4.0
champignons,4.0,5.0,3.0,3.0,3.0,2.0,3.0,3.0,20.0,3.0,1.0,3.0,4.0,2.0,2.0,3.0,2.0,3.0,9.0,3.0,3.0,3.0,2.0,2.0,4.0,3.0,5.0,3.0,3.0,4.0
courgette,6.0,5.0,3.0,16.0,6.0,4.0,4.0,11.0,3.0,20.0,3.0,4.0,16.0,2.0,5.0,12.0,12.0,9.0,3.0,4.0,4.0,10.0,8.0,4.0,6.0,4.0,4.0,10.0,3.0,3.0
