exemplar,aardappel,ajuin,asperges,aubergine,augurken,biet,bloemkool,bonen,champignons,courgette,erwten,kervel,komkommer,look,maïs,paprika,peterselie,prei,radijs,rode kool,schorseneren,selder,sla,spinazie,spruiten,tomaat,waterkers,witloof,witte kool,wortel
aardappel,1.0,0.45625,0.309375,0.38666666666666666,0.328125,0.509375,0.3625,0.353125,0.30625,0.359375,0.29375,0.27142857142857146,0.31875,0.284375,0.3375,0.3375,0.25,0.315625,0.390625,0.303125,0.32999999999999996,0.315625,0.290625,0.25625,0.3375,0.390625,0.228125,0.328125,0.375,0.340625
ajuin,0.45625,1.0,0.275,0.31666666666666665,0.35625,0.409375,0.334375,0.303125,0.315625,0.359375,0.296875,0.30357142857142855,0.30625,0.58125,0.2875,0.334375,0.35625,0.375,0.35625,0.278125,0.32333333333333336,0.41875,0.284375,0.25,0.3375,0.39375,0.29375,0.3875,0.346875,0.33125
asperges,0.309375,0.275,1.0,0.41,0.353125,0.4,0.340625,0.415625,0.33125,0.384375,0.34375,0.35714285714285715,0.3875,0.296875,0.303125,0.26875,0.340625,0.49375,0.359375,0.24375,0.5700000000000001,0.409375,0.26875,0.253125,0.415625,0.271875,0.3,0.41875,0.38125,0.4875
aubergine,0.38666666666666666,0.31666666666666665,0.41,1.0,0.42000000000000004,0.45999999999999996,0.2833333333333333,0.4066666666666666,0.24,0.5733333333333334,0.2733333333333333,0.33571428571428574,0.5733333333333334,0.33666666666666667,0.29333333333333333,0.4533333333333333,0.24666666666666667,0.36333333333333334,0.3566666666666667,0.36,0.37142857142857144,0.3,0.32333333333333336,0.3,0.35,0.33999999999999997,0.26,0.31333333333333335,0.3466666666666667,0.32666666666666666
augurken,0.328125,0.35625,0.353125,0.42000000000000004,1.0,0.325,0.309375,0.459375,0.315625,0.509375,0.390625,0.42857142857142855,0.596875,0.26875,0.325,0.38125,0.3125,0.325,0.39375,0.33125,0.42333333333333334,0.334375,0.340625,0.346875,0.46875,0.30625,0.28125,0.325,0.334375,0.396875
biet,0.509375,0.409375,0.4,0.45999999999999996,0.325,1.0,0.40625,0.34375,0.28125,0.409375,0.29375,0.32142857142857145,0.340625,0.325,0.45625,0.39375,0.321875,0.378125,0.571875,0.525,0.38333333333333336,0.33125,0.3,0.271875,0.33125,0.375,0.321875,0.38125,0.490625,0.459375
bloemkool,0.3625,0.334375,0.340625,0.2833333333333333,0.309375,0.40625,1.0,0.340625,0.28125,0.284375,0.31875,0.3392857142857143,0.303125,0.2375,0.328125,0.31875,0.240625,0.34375,0.390625,0.5625,0.37333333333333335,0.31875,0.390625,0.328125,0.3875,0.271875,0.228125,0.375,0.6625,0.296875
bonen,0.353125,0.303125,0.415625,0.4066666666666666,0.459375,0.34375,0.340625,1.0,0.378125,0.409375,0.546875,0.29642857142857143,0.39375,0.35625,0.38125,0.346875,0.3,0.3625,0.315625,0.290625,0.39,0.321875,0.353125,0.434375,0.384375,0.346875,0.259375,0.278125,0.31875,0.35
champignons,0.30625,0.315625,0.33125,0.24,0.315625,0.28125,0.28125,0.378125,1.0,0.234375,0.30625,0.30357142857142855,0.25,0.4125,0.29375,0.284375,0.253125,0.259375,0.40625,0.234375,0.3433333333333333,0.2875,0.24375,0.346875,0.35,0.353125,0.275,0.290625,0.34375,0.275
courgette,0.359375,0.359375,0.384375,0.5733333333333334,0.509375,0.409375,0.284375,0.409375,0.234375,1.0,0.34375,0.37142857142857144,0.721875,0.278125,0.296875,0.41875,0.315625,0.465625,0.334375,0.328125,0.39666666666666667,0.375,0.303125,0.26875,0.375,0.346875,0.325,0.4125,0.303125,0.35625
erwten,0.29375,0.296875,0.34375,0.2733333333333333,0.390625,0.29375,0.31875,0.546875,0.30625,0.34375,1.0,0.43928571428571433,0.384375,0.2625,0.575,0.23125,0.33125,0.340625,0.353125,0.259375,0.3066666666666667,0.29375,0.334375,0.365625,0.55,0.290625,0.35625,0.296875,0.3125,0.359375
