exemplar,auto,boot,bromfiets,brommer,bus,camion,camionette,caravan,duikboot,fiets,gocart,helikopter,hovercraft,jeep,kar,koets,luchtballon,metrostel,moto,raket,skateboard,slede,step,taxi,tractor,tram,trein,vliegtuig,vrachtwagen,zeppelin
auto,20.0,6.0,12.0,13.0,14.0,15.0,16.0,12.0,5.0,7.0,8.0,6.0,5.0,18.0,9.0,8.0,5.0,6.0,12.0,5.0,5.0,6.0,6.0,18.0,12.0,11.0,6.0,5.0,9.0,5.0
boot,6.0,20.0,6.0,5.0,5.0,8.0,5.0,11.0,13.0,4.0,4.0,5.0,17.0,6.0,5.0,6.0,8.0,7.0,5.0,6.0,5.0,6.0,4.0,6.0,6.0,5.0,6.0,7.0,7.0,5.0
bromfiets,12.0,6.0,20.0,18.0,8.0,6.0,11.0,7.0,5.0,8.0,11.0,8.0,4.0,11.0,8.0,6.0,5.0,6.0,16.0,3.0,5.0,6.0,7.0,8.0,6.0,7.0,6.0,4.0,6.0,4.0
brommer,13.0,5.0,18.0,20.0,13.0,7.0,11.0,7.0,5.0,14.0,5.0,6.0,4.0,8.0,7.0,7.0,5.0,6.0,17.0,3.0,8.0,4.0,7.0,8.0,6.0,5.0,5.0,5.0,7.0,4.0
bus,14.0,5.0,8.0,13.0,20.0,8.0,11.0,8.0,5.0,11.0,11.0,6.0,6.0,12.0,6.0,6.0,6.0,11.0,8.0,4.0,5.0,6.0,5.0,15.0,6.0,13.0,12.0,7.0,7.0,5.0
camion,15.0,8.0,6.0,7.0,8.0,20.0,16.0,13.0,6.0,5.0,5.0,6.0,7.0,13.0,5.0,6.0,5.0,5.0,7.0,4.0,5.0,4.0,4.0,9.0,12.0,6.0,6.0,6.0,17.0,5.0
camionette,16.0,5.0,11.0,11.0,11.0,16.0,20.0,9.0,6.0,6.0,8.0,5.0,4.0,12.0,7.0,8.0,2.0,5.0,8.0,4.0,5.0,5.0,6.0,11.0,5.0,8.0,5.0,5.0,11.0,5.0
caravan,12.0,11.0,7.0,7.0,8.0,13.0,9.0,20.0,5.0,6.0,7.0,7.0,4.0,7.0,9.0,8.0,5.0,5.0,7.0,8.0,6.0,4.0,6.0,8.0,8.0,6.0,6.0,7.0,6.0,5.0
duikboot,5.0,13.0,5.0,5.0,5.0,6.0,6.0,5.0,20.0,4.0,4.0,4.0,14.0,4.0,5.0,4.0,8.0,8.0,4.0,4.0,4.0,5.0,3.0,4.0,5.0,6.0,7.0,5.0,5.0,8.0
fiets,7.0,4.0,8.0,14.0,11.0,5.0,6.0,6.0,4.0,20.0,18.0,5.0,4.0,6.0,12.0,8.0,4.0,4.0,15.0,3.0,14.0,7.0,16.0,7.0,7.0,6.0,6.0,5.0,6.0,4.0
gocart,8.0,4.0,11.0,5.0,11.0,5.0,8.0,7.0,4.0,18.0,20.0,6.0,4.0,8.0,8.0,12.0,6.0,4.0,9.0,2.0,11.0,8.0,14.0,8.0,8.0,5.0,6.0,5.0,6.0,3.0
helikopter,6.0,5.0,8.0,6.0,6.0,6.0,5.0,7.0,4.0,5.0,6.0,20.0,5.0,6.0,5.0,5.0,12.0,5.0,6.0,4.0,5.0,5.0,5.0,6.0,6.0,6.0,4.0,12.0,6.0,12.0
hovercraft,5.0,17.0,4.0,4.0,6.0,7.0,4.0,4.0,14.0,4.0,4.0,5.0,20.0,6.0,4.0,5.0,5.0,6.0,2.0,6.0,5.0,5.0,3.0,7.0,6.0,5.0,6.0,7.0,7.0,6.0
