exemplar,bazooka,bijl,boksbeugel,boog,dolk,geweer,granaat,kanon,katapult,knuppel,mitrailleur,pistool,schild,speer,stok,tank,touw,tweeloop,zwaard,zweep
bazooka,20.0,1.0,3.0,5.0,5.0,15.0,1.0,17.0,3.0,1.0,19.0,17.0,1.0,1.0,1.0,14.0,1.0,17.0,6.0,1.0
bijl,1.0,20.0,1.0,5.0,16.0,4.0,1.0,1.0,5.0,12.0,3.0,4.0,1.0,15.0,5.0,2.0,1.0,2.0,18.0,1.0
boksbeugel,3.0,1.0,20.0,1.0,1.0,1.0,1.0,19.0,2.0,1.0,3.0,1.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0
boog,5.0,5.0,1.0,20.0,12.0,4.0,3.0,14.0,16.0,2.0,4.0,17.0,4.0,1.0,13.0,3.0,1.0,1.0,9.0,1.0
dolk,5.0,16.0,1.0,12.0,20.0,3.0,3.0,1.0,2.0,1.0,4.0,3.0,1.0,17.0,15.0,1.0,1.0,4.0,3.0,3.0
geweer,15.0,4.0,1.0,4.0,3.0,20.0,15.0,17.0,14.0,1.0,15.0,19.0,1.0,4.0,1.0,9.0,1.0,16.0,4.0,1.0
granaat,1.0,1.0,1.0,3.0,3.0,15.0,20.0,19.0,15.0,1.0,15.0,12.0,1.0,14.0,1.0,17.0,1.0,11.0,12.0,1.0
kanon,17.0,1.0,19.0,14.0,1.0,17.0,19.0,20.0,16.0,4.0,17.0,15.0,1.0,1.0,1.0,15.0,1.0,9.0,1.0,1.0
katapult,3.0,5.0,2.0,16.0,2.0,14.0,15.0,16.0,20.0,13.0,4.0,8.0,2.0,6.0,1.0,11.0,1.0,13.0,3.0,4.0
knuppel,1.0,12.0,1.0,2.0,1.0,1.0,1.0,4.0,13.0,20.0,4.0,1.0,3.0,15.0,19.0,2.0,1.0,1.0,4.0,1.0
mitrailleur,19.0,3.0,3.0,4.0,4.0,15.0,15.0,17.0,4.0,4.0,20.0,16.0,2.0,3.0,1.0,13.0,1.0,16.0,14.0,1.0
pistool,17.0,4.0,1.0,17.0,3.0,19.0,12.0,15.0,8.0,1.0,16.0,20.0,1.0,3.0,1.0,5.0,1.0,16.0,3.0,1.0
schild,1.0,1.0,3.0,4.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,1.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
speer,1.0,15.0,3.0,1.0,17.0,4.0,14.0,1.0,6.0,15.0,3.0,3.0,1.0,20.0,14.0,2.0,1.0,9.0,16.0,1.0
stok,1.0,5.0,3.0,13.0,15.0,1.0,1.0,1.0,1.0,19.0,1.0,1.0,1.0,14.0,20.0,1.0,1.0,1.0,17.0,1.0
tank,14.0,2.0,3.0,3.0,1.0,9.0,17.0,15.0,11.0,2.0,13.0,5.0,1.0,2.0,1.0,20.0,1.0,11.0,3.0,1.0
touw,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20.0,1.0,1.0,18.0
tweeloop,17.0,2.0,1.0,1.0,4.0,16.0,11.0,9.0,13.0,1.0,16.0,16.0,1.0,9.0,1.0,11.0,1.0,20.0,4.0,1.0
zwaard,6.0,18.0,1.0,9.0,3.0,4.0,12.0,1.0,3.0,4.0,14.0,3.0,1.0,16.0,17.0,3.0,1.0,4.0,20.0,1.0
zweep,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,18.0,1.0,1.0,20.0
