feature,freq
determines your social status,10
earns you money,20
has strong influence upon the rest of your life,5
involves wearing a particular outfit,2
is a job,4
is advantageous for society / economy,5
is an activity,3
is different for men and women,2
is regulated by law,2
is something adults do,5
is something you do,5
is something you do every day,5
is somthing you do throughout your life,8
requires a certain education,20
requires specific knowledge,4
requires specific skills,3
source of stress / frustrations,4
takes up a lot of time,7
there are different kinds,14
you do not practise it at your home,2
you have to enjoy it in order to keep it up,3
