feature,respondent 0,respondent 1,respondent 10,respondent 11,respondent 2,respondent 3,respondent 4,respondent 5,respondent 6,respondent 7,respondent 8,respondent 9,mean,std
bought in a store,-3,-3,0,1,2,0,1,1,1,1,2,1,0.3333333333333333,1.6696942198734435
can be a status symbol,0,-2,0,1,1,0,-2,0,2,1,1,1,0.25,1.2154310870109943
can rip,-2,1,-3,-1,-3,1,1,0,1,-2,1,1,-0.4166666666666667,1.6764862244009227
can wear off,-3,1,-3,-1,-3,2,1,0,1,-1,1,-2,-0.5833333333333334,1.8319554050414562
comes in different fabrics,-1,1,2,1,2,2,1,1,1,0,1,2,1.0833333333333333,0.90033663737852
comes in different styles,-1,0,1,1,2,2,1,1,1,-1,1,2,0.8333333333333334,1.0298573010888745
comes into fashion / goes out of fashion,2,3,2,0,2,2,1,2,3,1,2,2,1.8333333333333333,0.8348471099367218
custom-made,-2,2,-2,-1,1,0,1,-2,1,-2,0,-1,-0.4166666666666667,1.443375672974064
differs from one culture to the other,1,2,-3,-1,0,1,2,2,3,0,2,0,0.75,1.6583123951777
easily gets dirty,-3,0,-3,-1,-3,1,0,1,1,-2,0,-2,-0.9166666666666666,1.621353717973928
exists in different colors,-1,-3,2,0,0,0,0,1,0,1,1,1,0.16666666666666666,1.2673044646258473
exists in different sizes (maten),1,2,3,0,3,0,3,2,2,1,1,1,1.5833333333333333,1.0836246694508318
expresses your personality,1,1,1,0,1,2,1,1,1,2,0,0,0.9166666666666666,0.6685579234215215
gives warmth,1,1,1,1,2,0,1,0,2,1,3,1,1.1666666666666667,0.8348471099367218
has been existing for a long time,-3,-2,0,1,2,0,-3,0,-1,3,-3,3,-0.25,2.220769727328383
has esthetic purposes,2,3,2,0,1,1,2,1,2,1,1,2,1.5,0.7977240352174656
is abloom,-3,0,-3,-2,0,0,1,-2,0,-3,0,-2,-1.1666666666666667,1.4668044012461754
is beautiful,-3,-3,1,-3,1,0,-2,1,2,1,1,-3,-0.5833333333333334,2.0207259421636903
is different for men and women,1,2,0,1,2,1,3,2,2,3,2,1,1.6666666666666667,0.8876253645985945
is expensive,-3,-3,-1,-3,0,0,-2,-2,1,0,-1,-3,-1.4166666666666667,1.4433756729740645
is found in a clothing cupboard,3,3,2,1,1,3,3,1,3,2,0,2,2.0,1.044465935734187
is indispensable,1,1,-3,0,-1,1,1,3,2,-1,0,2,0.5,1.6236882817719773
is made of fabric,-2,3,1,-3,3,0,3,2,3,0,3,2,1.25,2.0943647333651407
is made of textile,2,3,2,-3,2,0,3,2,3,0,3,2,1.5833333333333333,1.7816403745544227
is made of wool,-2,2,1,-3,-1,1,2,-1,1,0,-2,1,-0.08333333333333333,1.6764862244009227
is meant to wear,3,2,2,2,3,3,3,3,3,2,2,3,2.5833333333333335,0.5149286505444373
is pliable,-3,2,-3,-1,0,1,1,0,0,-3,1,0,-0.4166666666666667,1.7298624923456323
is season-tied,1,2,-1,1,3,1,3,1,2,2,0,1,1.3333333333333333,1.1547005383792515
is sewn,2,2,1,1,-1,2,2,1,2,-1,0,2,1.0833333333333333,1.164500152881315
is used to cover yourself,2,3,2,2,3,3,2,2,-1,3,2,3,2.1666666666666665,1.1146408580454255
is worn by everyone,2,2,2,2,0,3,3,2,3,3,0,1,1.9166666666666667,1.0836246694508318
needs to be washed,2,2,2,1,1,0,2,2,2,1,2,1,1.5,0.674199862463242
protects against the cold,3,3,2,2,3,3,2,3,1,3,3,3,2.5833333333333335,0.6685579234215214
protects against the rain,1,3,2,2,2,3,2,2,1,3,2,3,2.1666666666666665,0.7177405625652734
protects against the sun,1,3,2,2,1,3,2,2,1,3,2,3,2.0833333333333335,0.7929614610987591
protects your body,3,3,2,2,3,3,3,2,2,2,1,-3,1.9166666666666667,1.6764862244009227
ready-to-wear clothes,0,3,1,2,-2,1,1,1,1,2,1,0,0.9166666666666666,1.2401124093721456
sold in clothes shops,2,3,2,0,3,3,3,1,3,1,3,3,2.25,1.0552897060221726
