exemplar,a kind of thumbtack,also called crowbar,be used to hit nails into the wall,bought in a store,can be a wound : abrasion,can be automatized,can be found in a garage,can be made of different materials,can be thick or thin,can be tuned,can be turned,can be used as weapon,can be used by anyone,can be used on two sides,can be used to hang something from,can be used to hang up something,can be used to lash,can be used to polish nails,can be used to sharpen knives,can be used to sweep,can break stuff open,can get rusty,can have a container,can hurt,can work as defence,clips together,comes in different brands and models,comes in very handy,consists of two parts,contains liquid,damages delicate surfaces,does not produce sound,drawn by a tractor,exists in different colors,exists in different kinds,exists in different sizes (maten),exists in different thicknesses,facilitates removal of wallpaper,feels rough,forces locks,found in a tool box,has a bag,has a blade,has a cross or flat shape,has a dark color,has a flat head,has a grip,has a grip made of plastic,has a grip made of wood,has a handle,has a head,has a hose,has a little air bubble,has a loading space,has a metal blade,has a metal head,has a metallic color,has a motor,has a nozzle,has a sharp edge,has a sharp point,has a wire (draad),has a wooden handle,has an on/off switch,has been existing for a long time,has different additional parts,has different bits (drilling),has gone through a technological revolution,has hairs,has knifes,has no smell,has teeth,has to be sharpened sometimes,has to do with fire,has to do with nails,has to do with trees,has to do with walls,has to do with wood,has wheels,implement/tool,is a basic tool,is a handtool,is a lever,is a long rod,is a machine (machine),is a measuring instrument,is a tool,is also available as a mower you can sit upon,is an object,is beam-shaped,is big,is black,is blue-grey,is braided,is brown,is carried by the Seven Dwarfs,is cheap,is cold,is curved,is dangerous,is dangerous for children,is dangerous for the fingers,is dirty,is driven in by a hammer,is durable,is easy to work with,is efficient,is elongated,is expensive,is flat,is flat in the front,"is for a bike, car, etc.",is found in a workplace,is greasy,is green,is grey,is handy for prisoners,is hard,is hard to work with,is heavy,is horizontal,is invented in England,is light,is long,is long and narrow,is made of iron,is made of steel,is multifunctional,is part of the cutlery,is part of the ear,is pliable,is rare,is rectangular,is round,is sharp,is silver-coloured,is small (klein),is small (smal),is soft,is sold in Brico (particular hardware store),is sold in a hardware store,is spherical,is straight,is strong,is thin,is tiring to use,is to be used outside,is triangular,is used to beat on,is used to beat with,is used to chafe,is used to chop wood,is used to cut,is used to cut things in two,is used to fill up holes,is used to grind things,is used to hang things on the wall,is used to mow the grass,is used to plough the land,is used to spread (butter bread),is useful,is useful in a forest,is yellow,it has screws in it,leaves wood shavings,lies in a garden house,made of fibres,made of metal,made of plastic,made of stone,made of wood,made of wood and metal,makes a buzzing sound,makes a piercing noise,needs to be cleaned after use,needs to be filled,not nice to use,not used much,occurs in a saying,occurs in comic books,often seen in beauty parlors,often used,oil comes out of it,polishes things,produces a hole in the wall,produces an irritating noise,produces dust,produces noise,produces sparks,pulled by horse or bullock,requires safety glasses,ressembles a ruler,ribbed,shines,sold in Gamma (particular hardware store),sometimes has soil sticking to it,sometimes used to pull out nails,stinks,stored in the cellar,sucks dust,the size is indicated by numbers,to enlarge ones power,to level walls and ceilings,to manifacture stones,to manifacture wood,to plaster walls,to polish nails,to span nuts,turns around,used at the scouts,used by a plasterer,used by artists,used by burglars,used by carpenters (schrijnwerker),used by carpenters (timmerman),used by farmers,used by firemen,used by handymen,used by lumber jackers,used by mechanics,used by men,used by painters,used by sculptors,used by smiths,used by the handyman,used by tradesmen,used by work forces,used by workers,used for cleaning,used for cutting meat,used for lifting heavy objects,used for manicure,used for oiling,used for shoveling,used in combination with a hamer,used in construction,used in farming,used in summer,used in the garden,used in the house,used in the kitchen,used on a yard,used to attach things,used to check whether something has a straight edge,used to chop trees,used to climb,used to cultivate the soil,used to detach something,used to dig,used to eat with,used to file iron,used to grasp something,used to hack,used to make sand castles,used to open things,used to paint,used to saw something in two,used to sow,used to stick wood together,used to turn over/spade the ground,used to work in the garden,used to work with,vibrates,was used in early ages,was used in mines,works on batteries,works on electricity,works on petrol,works with a pump,you can also make ornaments with it,you can bust things with it,you can drill holes with it,you can injure someone with it,you can kill someone with it,you can make things with it,you can play tug-of-war with it,you can play with it,you can repair with it,you can scour stuff off with it,you can tie a knot in it,you can tie things down with it,you can transport things with it,you have to be strong to use it,you have to push it forward,you use it when bricklaying
anvil,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,1,0,0,1,3,0,0,1,2,0,0,1,4,1,0,1,0,0,0,0,1,4,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,1,0,0,4,0,0,1,0,0,0,0,0,4,0,1,0,0,0,0,4,0,4,1,2,2,2,0,1,0,1,4,0,0,1,0,0,0,4,2,2,0,3,1,0,0,4,0,0,4,0,4,2,4,3,0,0,0,0,1,2,0,0,4,0,2,1,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,4,1,2,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0,4,0,0,4,0,4,1,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,3,0,0
axe,0,0,0,4,0,0,3,0,0,0,0,4,4,0,0,0,0,0,0,0,3,4,0,4,2,0,1,4,1,0,2,1,0,1,4,4,1,0,0,0,1,0,0,1,2,1,4,1,3,4,1,0,0,0,1,3,4,0,0,4,2,0,4,0,4,0,0,1,0,0,4,0,4,0,0,4,0,4,0,4,1,4,0,0,0,0,4,0,4,0,1,0,1,0,1,2,2,3,0,4,4,4,0,0,4,2,4,3,1,1,2,0,4,0,0,4,1,4,2,2,0,0,1,1,1,3,2,1,0,0,0,0,0,0,4,3,0,1,0,4,4,0,0,4,1,4,3,0,0,3,0,4,0,0,0,0,0,0,0,0,4,4,0,0,1,4,0,3,0,0,0,4,0,0,0,0,0,0,1,3,0,3,0,0,0,1,1,0,0,0,0,0,0,2,4,0,0,0,2,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,1,4,2,4,0,4,0,0,0,2,3,2,4,0,1,0,0,0,0,0,1,1,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,2,4,0,3,0,0,0,0,0,0,4,0,4,4,1,0,0,0,0,0,0,0,4,0,0
chisel,0,0,0,4,0,0,4,0,2,0,0,3,4,0,0,0,0,0,0,0,4,4,0,2,0,0,1,4,0,0,2,1,0,1,2,4,2,0,0,1,3,0,0,1,3,2,3,0,2,1,2,0,0,0,0,2,4,0,0,2,2,0,0,0,2,0,0,1,0,0,4,0,0,0,0,0,1,2,0,4,1,4,0,2,0,0,4,0,4,1,0,0,2,0,0,0,3,4,0,2,2,3,0,3,4,2,3,4,0,2,2,0,4,0,0,4,2,4,1,1,0,0,2,0,2,1,3,2,0,0,0,0,1,0,3,4,3,3,0,4,4,0,4,3,1,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,1,0,4,0,0,0,1,0,2,0,0,0,0,1,1,0,2,0,0,2,1,2,0,2,0,0,0,0,1,4,1,0,0,2,0,0,1,0,3,3,0,0,0,0,0,0,3,1,4,4,0,0,4,0,0,4,0,4,2,3,4,3,4,0,0,0,0,0,0,4,3,1,0,0,1,0,3,0,0,0,0,0,2,1,0,0,0,1,0,2,0,0,0,0,0,0,4,0,1,2,0,0,0,0,1,3,0,3,1,3,0,0,0,0,0,0,0,0,0,0
clamp,0,0,0,4,0,0,3,2,1,3,0,0,3,0,0,0,0,0,0,0,0,3,0,1,0,4,1,4,2,0,0,3,0,1,3,4,3,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,1,0,0,4,0,0,0,0,1,0,3,0,4,1,4,1,0,0,0,4,0,4,0,0,0,0,0,1,0,2,3,0,0,2,0,0,0,3,3,4,0,0,0,0,0,4,0,0,2,0,4,1,1,0,0,2,0,1,1,1,0,0,0,1,0,0,1,0,1,1,0,0,4,4,0,0,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,4,1,0,1,2,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,0,0,2,0,0,2,0,0,0,0,0,0,1,0,4,4,0,0,3,1,0,4,0,1,0,2,4,1,4,0,0,0,0,0,0,0,3,1,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,1,0,0,0,0,0,1,0,0,0,2,0,0,1,0,0,0,0,1,0,0
crowbar (breekijzer),0,4,0,4,0,0,3,0,1,0,0,4,3,4,0,0,0,0,0,0,4,4,0,1,2,0,1,4,0,0,2,1,0,0,3,4,1,0,0,4,1,0,0,0,4,3,2,0,0,3,0,0,0,0,0,1,4,0,0,1,1,0,0,0,1,0,0,1,0,0,4,0,0,1,0,0,0,0,0,4,1,4,2,3,0,0,4,0,4,0,0,1,2,0,0,0,2,4,0,3,3,0,1,0,4,2,4,4,1,0,3,0,4,0,0,4,4,4,0,2,0,0,1,2,3,3,2,2,0,0,0,0,0,0,2,2,1,2,0,3,3,0,1,4,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,1,0,2,0,2,0,0,0,0,1,0,0,0,0,0,0,1,4,0,0,0,2,0,0,4,0,1,0,0,0,0,0,0,0,0,4,0,2,0,3,2,0,0,4,0,0,0,2,3,4,4,0,0,2,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,4,0,4,4,1,0,0,0,0,0,0,0,3,0,0
crowbar (koevoet),0,3,0,4,0,0,3,0,1,0,0,4,4,2,0,0,0,0,0,0,4,4,0,2,2,0,1,4,0,0,1,1,0,0,2,3,1,0,0,4,1,0,0,0,4,2,2,0,0,3,0,0,0,0,0,1,4,0,0,1,1,0,0,0,1,0,0,1,0,0,4,0,0,1,0,0,0,0,0,4,1,4,3,3,0,0,4,0,4,0,0,1,2,0,0,0,2,4,2,3,3,0,0,1,4,2,4,4,1,0,2,0,4,0,0,4,4,4,0,2,0,0,1,3,3,2,3,2,0,0,0,0,0,0,1,2,0,2,0,3,3,0,1,4,1,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,1,4,1,0,0,2,0,0,4,0,1,0,0,0,0,0,0,0,0,4,0,2,1,3,2,0,0,4,0,0,0,2,3,4,4,0,0,3,0,0,0,1,3,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,4,0,4,4,1,0,0,0,0,0,0,0,4,0,0
drill,0,0,0,4,0,2,4,3,1,4,2,3,3,0,0,2,0,0,0,0,0,3,0,4,0,0,4,4,3,0,2,0,0,4,4,4,2,0,0,0,3,0,0,0,3,0,4,4,0,0,3,0,0,0,0,2,1,2,0,2,2,3,0,4,0,4,4,3,0,0,4,0,0,0,0,0,3,2,0,4,4,4,0,0,4,0,4,0,4,0,2,0,0,0,0,0,0,3,0,3,4,3,1,0,2,2,4,2,4,0,0,0,4,0,2,0,1,4,2,2,1,0,1,0,0,1,2,1,0,0,0,0,1,0,1,1,0,0,0,4,4,0,1,3,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,1,4,1,1,0,4,1,0,0,0,1,3,0,0,0,0,0,2,0,4,0,0,4,4,2,4,1,0,1,0,1,0,4,1,0,0,3,0,2,0,0,2,2,0,0,1,2,0,0,0,0,4,4,0,0,4,0,3,4,0,0,0,4,3,4,4,0,0,0,0,0,0,0,4,1,0,0,4,0,4,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,4,4,0,1,3,4,1,0,0,3,4,3,2,3,0,0,1,0,0,0,0,1,0,0
file,0,0,0,4,0,0,3,1,1,0,0,2,4,2,0,0,0,4,2,0,0,4,0,2,0,0,1,4,1,0,3,1,0,1,3,4,3,0,3,0,3,0,0,0,2,1,3,1,1,1,0,0,0,0,0,0,4,0,0,1,0,0,1,0,3,0,0,1,0,0,4,0,0,0,2,0,0,2,0,4,1,4,0,2,0,0,4,0,4,0,0,0,2,0,0,0,3,3,0,1,2,2,0,0,3,3,4,4,0,1,2,1,4,0,0,4,2,4,1,0,1,0,2,0,3,3,2,1,0,0,0,0,2,0,1,3,3,3,0,4,4,0,4,3,3,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,1,0,3,0,0,0,1,0,0,0,0,0,0,1,1,4,2,0,4,0,0,3,0,0,0,0,1,3,0,4,0,0,0,2,0,0,0,0,0,2,0,4,0,0,0,0,2,1,3,3,0,0,4,0,1,3,0,3,2,3,4,3,4,0,0,0,4,0,0,0,2,0,0,0,1,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,2,0,2,0,3,0,0,1,4,0,0,0,0,0,0
filling knife,0,0,0,4,0,0,4,1,0,0,0,2,4,0,0,0,0,0,0,0,0,4,0,1,0,0,1,4,1,0,0,1,0,1,3,3,1,4,0,0,1,0,0,0,1,1,4,2,4,3,0,0,0,0,3,0,4,0,0,3,1,0,4,0,1,0,0,1,0,0,4,0,0,0,0,0,4,0,0,4,2,4,0,0,0,0,4,0,4,0,0,0,1,0,0,0,4,3,0,2,3,0,2,0,2,2,4,2,0,4,3,0,4,0,0,4,0,3,1,0,0,0,3,0,0,3,0,2,0,0,2,0,1,0,1,3,2,3,0,4,4,0,0,2,4,0,1,2,0,0,0,0,0,0,4,0,0,0,0,1,4,0,0,0,0,1,0,4,0,0,0,4,0,0,0,0,0,0,0,1,0,3,0,1,0,0,0,0,0,0,0,0,0,2,4,0,1,0,2,0,1,0,4,0,0,4,0,0,0,0,4,0,0,0,1,0,0,4,0,0,4,1,0,0,4,3,3,4,0,0,0,0,0,0,0,4,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,2,0,2,0,0,2,0,0,0,0,0,0,1
grinding disc,0,0,0,3,0,1,3,2,1,2,1,1,1,0,0,0,0,0,4,0,0,2,0,2,0,0,2,4,1,0,2,0,0,0,3,3,3,0,2,1,0,0,0,0,4,1,1,1,0,0,0,0,0,0,1,0,3,2,0,0,2,3,0,4,1,2,0,3,0,0,2,0,0,0,0,0,0,0,0,4,1,3,0,0,4,0,4,0,4,0,1,0,2,0,0,0,1,3,0,3,3,2,0,0,1,0,4,1,3,1,0,0,4,1,0,4,1,4,3,2,1,0,1,0,0,2,1,1,0,0,0,0,0,3,2,1,0,1,0,2,3,3,0,4,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,2,0,0,0,3,0,2,0,0,1,3,0,0,0,1,0,2,0,1,0,2,0,2,4,4,4,0,4,0,1,0,2,0,0,1,2,0,0,0,0,2,1,0,0,0,4,0,0,1,0,2,1,0,0,2,0,1,4,0,1,1,2,4,2,4,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,4,0,1,0,4,1,0,1,3,0,1,0,2,0,0,0,2,0,0,0,0,0,0
