feature,respondent 0,respondent 1,respondent 10,respondent 11,respondent 2,respondent 3,respondent 4,respondent 5,respondent 6,respondent 7,respondent 8,respondent 9,mean,std
appears in fairy tales and stories,-2,0,0,-3,-3,-2,-2,-2,-2,1,-2,0,-1.4166666666666667,1.3113721705515067
"as the saying goes ""ain the grass""",0,0,-3,-3,3,0,3,1,-3,3,0,0,0.08333333333333333,2.2343733444579583
bites,1,2,1,1,-3,2,1,1,1,2,3,1,1.0833333333333333,1.443375672974064
blows up its cheeks,1,1,-3,-2,1,0,1,1,1,-2,-2,0,-0.25,1.5447859516333116
can be found in the ardennes,2,1,2,-2,-3,0,-1,0,0,1,-3,2,-0.08333333333333333,1.8319554050414562
can be poisonous,3,3,1,1,0,0,2,2,1,2,2,1,1.5,1.0
can climb up a wall,-1,1,1,-3,1,-1,1,1,1,2,1,0,0.3333333333333333,1.3706888336846836
can climb well,1,2,1,1,0,0,1,1,1,2,1,1,1.0,0.6030226891555273
can eat people,-1,2,1,0,1,0,-1,2,0,1,-3,-3,-0.08333333333333333,1.6764862244009227
can have different colors,2,0,3,2,2,-1,1,1,2,2,1,2,1.4166666666666667,1.0836246694508318
can live for a long time without food,0,1,3,-2,1,1,2,1,1,1,2,0,0.9166666666666666,1.2401124093721456
can live to a ripe old age,1,2,2,-1,3,2,2,1,-1,2,2,0,1.25,1.2880570286640687
can loose its tail,1,1,1,-3,3,1,2,1,1,2,-2,1,0.75,1.6583123951777
can swim,3,1,1,1,-2,2,2,1,2,1,2,1,1.25,1.2154310870109943
comes up when it rains,1,1,1,-3,0,-1,1,1,1,-3,-3,1,-0.25,1.764549903980152
crawls,0,1,1,1,0,2,1,1,2,3,1,2,1.25,0.8660254037844386
descend from the dinosaur,1,2,3,-1,3,2,3,1,-1,1,3,0,1.4166666666666667,1.5050420310248867
does not taste well,-3,0,3,-3,-3,-3,0,0,-2,-3,-3,-2,-1.5833333333333333,1.9286515936521478
doesn't live in our country,-1,0,-2,-1,-3,-1,0,1,0,1,-2,0,-0.6666666666666666,1.2309149097933272
earths,0,1,0,-3,0,1,1,1,1,2,0,0,0.3333333333333333,1.2309149097933274
eats flies,1,1,1,-2,1,-1,1,1,1,2,-1,1,0.5,1.1677484162422844
eats insects,1,2,2,-1,2,1,0,1,2,3,1,0,1.1666666666666667,1.1146408580454257
eats plants,1,1,1,0,-1,0,1,1,1,1,1,0,0.5833333333333334,0.6685579234215214
eats rats and mice,2,2,1,1,2,1,1,1,1,2,-1,0,1.0833333333333333,0.90033663737852
eats salad,0,1,1,-3,0,0,0,0,1,2,0,1,0.25,1.2154310870109943
eats small animals,1,2,1,1,0,0,1,1,0,1,1,1,0.8333333333333334,0.5773502691896257
endangered species,2,0,-3,-2,2,2,2,1,-2,2,2,0,0.5,1.8829377433825436
exists for ages,3,2,3,-1,1,3,1,1,-1,3,3,2,1.6666666666666667,1.497472618255253
feels soft,2,1,0,-2,-1,-3,-1,1,1,-2,-3,0,-0.5833333333333334,1.6764862244009227
frightens people,1,2,2,2,0,-2,1,1,-2,2,-2,0,0.4166666666666667,1.6213537179739277
has a 'collar' in its neck,1,0,-3,-3,1,-1,0,1,1,2,0,0,-0.08333333333333333,1.5642792899510294
has a big mouth,-2,2,1,0,-1,1,1,1,2,2,0,0,0.5833333333333334,1.2401124093721456
has a flat head,2,2,2,1,1,-1,-2,1,0,2,1,0,0.75,1.2880570286640687
has a long tail,1,1,2,-1,-3,1,1,1,2,2,-1,0,0.5,1.5075567228888183
has a long tongue,-1,1,1,0,0,2,0,2,1,2,-2,0,0.5,1.243163121016122
has a rough skin,-1,1,2,2,2,2,3,1,1,2,3,0,1.5,1.1677484162422844
has a shield,1,2,0,-2,3,-1,1,1,2,1,2,0,0.8333333333333334,1.403458930534474
has a small head,1,1,2,0,-3,-2,1,1,1,2,-1,0,0.25,1.5447859516333116
has a split tongue,1,2,1,-3,3,0,0,1,1,2,-2,0,0.5,1.6787441193290353
has a tail,1,2,3,2,0,2,1,1,2,3,0,0,1.4166666666666667,1.0836246694508316
has a tongue,3,3,3,3,0,3,0,1,3,3,2,0,2.0,1.348399724926484
has bright colours,-1,1,-2,-3,2,0,2,1,1,2,-2,0,0.08333333333333333,1.729862492345632
has camouflage,2,2,3,2,1,2,0,2,1,2,1,1,1.5833333333333333,0.7929614610987591
has claws,1,1,3,0,0,1,1,1,1,2,-2,0,0.75,1.2154310870109943
has eyes,3,3,3,3,-2,3,2,1,3,3,2,0,2.0,1.5954480704349312
has feathers,-2,0,-3,-3,-3,-2,-3,1,0,-3,-3,-3,-2.0,1.4770978917519928
has four paws,1,1,3,2,-2,0,3,1,2,1,0,0,1.0,1.4142135623730951
has large eyes,0,1,1,-2,-3,0,2,1,2,-2,-2,0,-0.16666666666666666,1.696699112626596
has large theeth,1,1,1,1,0,1,0,1,2,1,1,0,0.8333333333333334,0.5773502691896257
has legs (poten),2,2,3,3,-2,0,3,1,3,1,1,1,1.5,1.5075567228888183
has little eyes,1,1,0,-1,-3,0,0,1,1,2,1,0,0.25,1.2880570286640687
has many colours,-1,1,1,1,1,3,1,1,1,2,-1,0,0.8333333333333334,1.1146408580454257
has many teeth,0,0,-1,-1,0,0,0,1,1,2,0,0,0.16666666666666666,0.8348471099367218
has no paws,1,1,0,1,1,0,-2,1,1,1,-2,0,0.25,1.1381803659589922
has poison fangs,2,1,1,-1,1,1,1,2,2,1,0,0,0.9166666666666666,0.90033663737852
has rings,-2,0,0,-3,-1,-1,0,-1,1,1,1,0,-0.4166666666666667,1.2401124093721456
has round eyes,1,1,2,-1,1,1,2,1,1,2,-1,0,0.8333333333333334,1.0298573010888745
has scales,1,1,1,2,2,2,0,1,1,2,2,1,1.3333333333333333,0.6513389472789296
has sharp claws (nagels),1,1,3,1,-2,2,0,2,2,2,-3,0,0.75,1.764549903980152
has sharp teeth,1,2,1,2,1,0,0,1,1,2,2,0,1.0833333333333333,0.7929614610987591
has short paws,1,1,1,-1,-3,0,0,1,1,2,2,0,0.4166666666666667,1.378954368902449
has teeth,2,2,1,3,0,0,0,1,1,2,1,0,1.0833333333333333,0.996204919895622
has two eyes,3,2,3,3,-3,2,3,2,3,3,3,2,2.1666666666666665,1.696699112626596
has warts,1,0,-1,-1,0,0,1,1,1,1,-3,0,0.0,1.2060453783110545
heavy,0,1,-1,-2,-2,0,0,1,1,0,-3,0,-0.4166666666666667,1.3113721705515065
hides easily,2,1,3,-1,-2,1,0,1,1,3,1,2,1.0,1.4770978917519928
in a terrarium,-1,1,3,0,0,0,0,1,1,2,3,0,0.8333333333333334,1.2673044646258473
is a carnivore,1,2,3,1,0,2,0,1,2,1,1,0,1.1666666666666667,0.9374368665610922
is a carnivore and herbivore,3,2,3,3,0,2,3,1,2,2,3,0,2.0,1.1281521496355325
is a pet,1,1,1,-1,0,2,1,0,0,1,2,0,0.6666666666666666,0.8876253645985945
is a reptile,3,3,3,3,2,3,3,1,3,3,3,3,2.75,0.621581560508061
is also a sharp,-3,-3,-3,-3,1,-2,-3,0,-2,-3,-3,0,-2.0,1.4770978917519928
is an amphibian,1,-2,-3,0,3,1,-3,3,2,0,-3,0,-0.08333333333333333,2.2343733444579583
is an animal,3,3,3,3,0,3,3,2,3,3,3,3,2.6666666666666665,0.8876253645985945
is an animal of prey,1,2,3,1,2,3,0,2,1,2,-1,0,1.3333333333333333,1.2309149097933274
is an exotic animal,1,1,0,-1,0,1,1,0,2,2,3,0,0.8333333333333334,1.1146408580454255
is beautiful,-2,-3,1,0,-3,0,-3,-1,-3,2,-2,0,-1.1666666666666667,1.7494587907710375
is big,1,1,0,0,-3,1,1,1,1,1,-2,0,0.16666666666666666,1.337115846843043
is brown,1,1,1,1,1,0,1,1,1,1,-3,0,0.5,1.1677484162422844
is cold-blooded,2,2,3,3,3,3,3,2,3,3,3,0,2.5,0.9045340337332909
is cute when it's young,0,-2,1,-2,0,-3,0,0,-2,1,1,0,-0.5,1.381698559415515
is dangerous,2,2,1,0,0,3,2,1,1,2,2,0,1.3333333333333333,0.9847319278346619
is dangerous to people,1,2,1,1,0,1,1,2,1,0,1,0,0.9166666666666666,0.6685579234215215
is eaten by birds,2,1,2,-3,1,0,1,1,-3,-2,1,0,0.08333333333333333,1.7816403745544227
is edible,1,1,-3,-2,-2,0,0,0,-2,2,0,1,-0.3333333333333333,1.556997888323046
is elongated,1,1,3,-1,0,0,1,2,1,2,-2,0,0.6666666666666666,1.3706888336846839
is extinct,-1,0,-3,-3,2,-2,0,1,1,0,-3,-2,-0.8333333333333334,1.7494587907710373
is fast,2,2,3,-1,2,1,1,1,2,3,1,0,1.4166666666666667,1.164500152881315
is first a tadpole,1,1,-3,-3,3,1,1,1,1,0,-3,1,0.08333333333333333,1.9752253419585197
