exemplar,% known,age of acquisition
apron,99.14,6.58
bottle,99.57,4.39
bowl,95.84,5.42
can opener,97.83,7.88
colander,93.08,8.83
electric kettle,99.18,10.25
fork,98.08,4.17
fridge,99.19,6.42
glass,97.9,5.17
grater,97.08,8.83
kettle,98.39,6.92
knife,98.38,4.67
microwave oven,98.8,7.7
mixer,98.38,8.75
mug,97.35,4.88
nutcracker,97.61,7.87
oven,99.73,5.7
pan,100.0,4.92
percolator,98.1,6.05
place mat,98.99,8.5
plate,98.92,4.63
pot,99.14,
scales,97.61,6.96
scissors,97.88,5.29
sieve,100.0,7.54
spatula,91.0,9.78
spoon,99.45,4.33
stove,99.73,7.63
teaspoon,98.71,7.09
toaster,98.91,7.96
towel,99.71,5.63
whisk,96.88,8.13
wok,98.12,13.46
