exemplar,% known,age of acquisition
accountant,100.0,10.91
actor,100.0,8.96
archaeologist,100.0,11.29
architect,100.0,10.21
baker,100.0,4.78
butcher,100.0,6.65
cook,100.0,6.57
dentist,100.0,6.25
doctor,100.0,4.88
educator,100.0,10.46
fireman,100.0,5.58
garbage collector,100.0,7.04
information scientist,95.83,12.0
judge,100.0,8.71
lawyer,100.0,9.04
manager,100.0,6.92
minister,100.0,9.67
pharmacist,100.0,7.7
physiotherapist,100.0,10.25
pilot,100.0,7.08
plumber,100.0,9.17
police officer,100.0,4.65
postman,100.0,6.35
psychologist,100.0,11.79
secretary,100.0,8.88
shop-assistant,100.0,8.43
stallholder,100.0,7.42
stewardess,100.0,10.54
teacher,100.0,7.08
veterinarian,100.0,7.29
