exemplar,% known,age of acquisition
badminton,100.0,8.42
ballet,100.0,6.38
baseball,100.0,9.0
basketball,100.0,7.58
billiards,100.0,9.54
boxing,100.0,8.0
chess,100.0,9.0
cycling,100.0,7.1
fencing,95.83,10.39
golfing,95.83,8.04
gymnastics,100.0,4.45
handball,100.0,9.3
horseback riding,100.0,6.65
ice hockey,100.0,9.71
judo,100.0,8.04
long jump,100.0,8.3
rugby,95.83,9.87
running,95.83,8.04
sailing,100.0,8.5
shot-put,95.83,10.52
skiing,95.83,8.04
soccer,100.0,5.83
sport fishing,100.0,9.5
squash,100.0,10.78
surfing,100.0,8.7
swimming,100.0,5.17
table tennis,100.0,8.48
tennis,100.0,7.04
volleyball,100.0,8.5
walking,100.0,3.6
