exemplar,category strength,exemplar strength
anvil,0.002,0.004
axe,0.016,0.011
chisel,0.021,0.041
clamp,0.000,0.007
crowbar (breekijzer),0.000,0.004
crowbar (koevoet),0.000,0.022
drill,0.007,0.022
file,0.000,0.026
filling knife,0.000,0.000
grinding disc,0.000,0.007
hammer,0.155,0.011
knife,0.014,0.000
lawn mower,0.000,0.000
level,0.000,0.004
nail,0.007,0.004
oil can,0.000,0.000
paint brush,0.000,0.000
pickaxe,0.000,0.038
plane,0.000,0.018
plough,0.014,0.022
rope,0.000,0.000
saw,0.056,0.030
screw wrench (engelse sleutel),0.000,0.008
screwdriver,0.039,0.022
shovel,0.035,0.004
tongs,0.019,0.056
vacuum cleaner,0.000,0.000
wheelbarrow,0.014,0.007
wire brush,0.000,0.007
wrench,0.000,0.019
