exemplar,generation frequency,mean rank position
anvil,1,8.0
axe,17,3.0
chisel,62,2.677419355
clamp,1,6.0
crowbar (breekijzer),1,4.0
crowbar (koevoet),3,3.666666667
drill,52,4.25
file,9,4.777777778
filling knife,1,5.0
grinding disc,9,5.333333333
hammer,115,1.739130435
knife,17,5.823529412
lawn mower,5,5.2
level,2,6.0
nail,9,3.777777778
oil can,1,8.0
paint brush,2,6.0
pickaxe,1,6.0
plane,1,5.0
plough,15,4.2
rope,2,4.0
saw,73,3.643835616
screw wrench (engelse sleutel),4,6.5
screwdriver,61,4.37704918
shovel,45,4.066666667
tongs,38,3.973684211
vacuum cleaner,1,4.0
wheelbarrow,10,4.1
wire brush,1,6.0
wrench,3,3.666666667
