exemplar,respondent 0,respondent 1,respondent 10,respondent 11,respondent 12,respondent 13,respondent 14,respondent 15,respondent 16,respondent 17,respondent 18,respondent 19,respondent 2,respondent 20,respondent 21,respondent 22,respondent 23,respondent 24,respondent 25,respondent 26,respondent 27,respondent 3,respondent 4,respondent 5,respondent 6,respondent 7,respondent 8,respondent 9,mean,std,nonmissing
alligator,3,2,1,4,2,2,5,2,3,3,2,2,3,3,2,2,3,2,2,3,2,3,3,2,3,2,2,1,2.464285714,0.83808171,28
blindworm,2,2,1,1,1,1,3,2,2,3,1,2,2,1,1,1,1,2,2,1,1,1,3,1,2,3,1,1,1.607142857,0.737326789,28
boa,3,3,2,4,3,2,4,2,4,3,2,3,2,3,1,2,3,2,2,3,2,3,2,2,3,3,3,2,2.607142857,0.737326789,28
caiman,3,2,2,3,2,1,2,1,2,2,2,1,3,2,1,1,3,2,2,3,2,2,3,2,2,2,2,1,2.0,0.666666667,28
chameleon,3,3,2,4,2,2,4,3,4,2,3,3,3,3,2,2,2,2,2,3,2,3,4,5,4,3,2,2,2.821428571,0.862965234,28
cobra,3,3,2,3,2,2,3,2,4,3,2,3,3,3,1,2,3,2,3,3,2,3,3,2,3,2,2,2,2.535714286,0.63724772,28
crocodile,3,3,2,4,2,2,5,4,4,3,3,3,3,3,2,3,3,2,3,3,4,4,5,5,4,4,3,2,3.25,0.927960727,28
dinosaur,3,2,2,4,2,2,4,2,4,2,3,3,3,3,1,2,2,2,3,3,2,4,3,4,3,3,2,2,2.678571429,0.818923025,28
frog,3,4,3,4,3,5,5,5,4,4,4,4,3,3,3,3,4,3,4,3,5,3,4,5,4,4,3,3,3.75,0.751541625,28
gecko,2,1,1,3,1,1,3,2,3,2,2,1,2,1,2,2,2,2,2,2,2,3,2,2,3,2,2,1,1.928571429,0.662686532,28
iguana,3,2,2,4,2,2,4,3,3,3,2,2,2,3,2,2,3,3,3,3,2,3,3,2,3,3,3,2,2.642857143,0.621484824,28
lizard,3,3,2,4,2,2,5,4,4,3,2,3,3,3,2,2,2,2,3,3,3,3,3,3,3,3,3,2,2.857142857,0.755928946,28
monitor lizard,3,2,1,4,1,1,3,2,3,2,1,2,2,1,1,1,2,2,2,2,1,1,1,1,3,2,3,1,1.821428571,0.862965234,28
python,3,2,2,4,2,2,4,2,3,3,2,3,3,3,1,1,2,2,2,3,2,3,2,2,3,2,3,2,2.428571429,0.741798187,28
salamander,3,2,1,4,2,3,4,4,4,3,2,3,3,3,2,2,2,3,3,3,3,3,3,3,3,3,3,2,2.821428571,0.722832465,28
snake,3,3,3,4,3,5,4,4,4,4,4,3,3,3,3,3,3,3,4,3,3,4,5,5,4,3,3,3,3.535714286,0.692934867,28
toad,4,3,2,4,3,5,5,4,4,4,3,3,3,3,3,2,3,3,2,3,3,4,4,2,4,4,3,2,3.285714286,0.854493259,28
tortoise,3,3,2,4,3,2,5,4,4,4,3,4,3,3,3,3,3,3,3,4,5,4,4,5,4,3,2,2,3.392857143,0.875141712,28
turtle,3,3,3,4,2,2,4,4,4,3,2,2,3,3,2,2,2,3,2,3,3,3,4,3,3,2,3,2,2.821428571,0.722832465,28
viper,3,3,1,4,2,2,4,3,4,3,3,2,2,3,2,2,2,3,2,3,2,3,4,2,3,3,3,2,2.678571429,0.772373515,28
