exemplar,respondent 0,respondent 1,respondent 10,respondent 11,respondent 12,respondent 13,respondent 14,respondent 15,respondent 16,respondent 17,respondent 18,respondent 19,respondent 2,respondent 20,respondent 21,respondent 22,respondent 23,respondent 24,respondent 25,respondent 26,respondent 27,respondent 3,respondent 4,respondent 5,respondent 6,respondent 7,respondent 8,respondent 9,mean,std,nonmissing
anvil,2,3,2,2,2,3,2,1,3,2,1,2,1,1,4,3,3,3,2,2,4,2,2,2,2,1,1,2,2.142857143,0.84827868,28
axe,3,2,2,4,3,3,4,3,3,2,3,4,1,2,4,3,5,3,2,3,4,2,2,3,3,3,2,2,2.857142857,0.890870806,28
chisel,2,2,2,2,2,3,3,2,2,2,2,3,1,2,4,3,4,3,3,2,4,2,3,3,2,2,3,2,2.5,0.745355992,28
clamp,1,4,2,3,2,2,1,1,2,2,1,1,1,1,4,3,3,3,1,2,4,1,1,2,1,1,2,2,1.928571429,1.015749,28
crowbar (breekijzer),2,2,2,2,2,2,2,1,3,1,2,2,1,2,4,3,3,3,2,2,4,3,3,3,2,1,2,2,2.25,0.799305254,28
crowbar (koevoet),3,3,2,3,3,3,2,1,2,2,2,2,1,1,4,3,4,3,2,2,4,3,2,2,3,1,2,2,2.392857143,0.875141712,28
drill,3,5,3,4,3,3,2,3,3,2,2,2,3,1,4,3,4,3,4,4,4,4,3,3,3,2,2,2,3.0,0.902670934,28
file,3,2,4,4,3,3,3,4,3,2,3,2,1,2,4,3,4,3,2,3,4,3,3,3,2,2,2,3,2.857142857,0.803431793,28
filling knife,2,2,2,1,2,2,2,1,2,1,2,1,4,1,4,3,3,3,2,3,4,2,2,2,1,1,2,3,2.142857143,0.931517508,28
grinding disc,2,2,4,2,2,2,2,2,2,2,3,3,3,1,4,3,4,3,5,3,4,3,1,2,1,1,2,2,2.5,1.03637545,28
hammer,3,4,4,5,3,4,3,3,3,2,4,2,3,3,4,3,5,4,4,3,4,4,3,3,3,3,3,3,3.392857143,0.737326789,28
knife,5,5,5,5,5,5,5,5,4,5,5,4,4,3,4,5,5,5,5,5,5,5,5,5,4,4,5,4,4.678571429,0.547964005,28
lawn mower,3,4,3,5,3,3,3,4,3,3,4,3,3,2,4,3,4,3,5,4,4,4,4,3,4,2,5,3,3.5,0.793492048,28
level,3,4,3,3,2,3,2,3,2,2,3,2,3,2,4,3,3,3,4,4,4,4,3,2,2,2,2,2,2.821428571,0.772373515,28
nail,4,5,3,5,3,4,3,3,3,3,4,3,3,3,4,3,4,4,2,4,4,4,3,3,4,3,3,3,3.464285714,0.692934867,28
oil can,2,3,2,2,2,3,1,1,2,1,2,2,1,1,4,3,4,3,1,2,4,1,1,2,2,1,2,2,2.035714286,0.961562881,28
paint brush,3,5,3,5,3,3,3,4,3,3,4,4,4,3,4,3,4,3,4,3,4,3,3,3,3,3,3,3,3.428571429,0.634126487,28
pickaxe,1,2,2,2,2,3,2,1,2,2,2,3,1,1,4,3,4,3,1,2,4,1,2,2,2,1,1,2,2.071428571,0.939998874,28
plane,2,2,2,1,2,3,2,1,2,2,1,2,1,1,4,3,3,3,2,2,4,2,1,3,2,1,2,2,2.071428571,0.857583661,28
plough,3,2,4,5,5,4,4,1,2,1,2,2,1,3,4,3,4,3,2,2,4,2,2,3,2,1,2,2,2.678571429,1.188013325,28
rope,4,5,4,5,5,4,4,5,3,4,4,4,4,3,4,3,5,5,4,4,4,4,3,3,3,2,2,3,3.821428571,0.862965234,28
saw,3,4,4,4,3,3,3,3,3,3,4,3,3,2,4,3,4,4,5,4,4,4,3,3,3,3,2,3,3.357142857,0.678466993,28
screw wrench (engelse sleutel),2,2,3,2,1,2,2,2,2,2,2,1,1,3,4,2,3,3,2,3,4,2,2,3,2,1,2,2,2.214285714,0.786795792,28
screwdriver,3,5,4,4,5,3,2,3,3,3,4,3,4,2,4,3,4,4,5,4,4,4,3,3,3,3,2,3,3.464285714,0.83808171,28
shovel,3,4,3,5,3,3,3,3,3,3,3,4,2,3,4,3,4,3,4,4,4,3,3,3,3,2,4,3,3.285714286,0.658682347,28
tongs,2,3,4,5,3,3,2,3,3,3,4,4,2,3,4,3,4,4,4,3,4,4,3,3,2,3,3,3,3.25,0.751541625,28
vacuum cleaner,4,4,4,5,5,4,4,5,4,4,5,4,4,3,4,4,5,4,5,4,4,5,4,4,4,4,4,3,4.178571429,0.547964005,28
wheelbarrow,3,3,3,5,3,3,3,3,3,2,4,4,2,3,4,3,4,3,4,3,4,3,2,3,3,2,4,3,3.178571429,0.722832465,28
wire brush,1,2,3,2,2,2,1,1,2,1,2,1,1,1,4,3,4,3,3,3,4,3,1,3,1,1,1,2,2.071428571,1.051579814,28
wrench,3,5,2,2,3,3,2,1,2,2,2,1,1,2,4,3,3,3,3,3,4,3,2,3,2,2,2,2,2.5,0.922958207,28
