exemplar,respondent 0,respondent 1,respondent 10,respondent 11,respondent 12,respondent 13,respondent 14,respondent 15,respondent 16,respondent 17,respondent 18,respondent 19,respondent 2,respondent 3,respondent 4,respondent 5,respondent 6,respondent 7,respondent 8,respondent 9
blackbird,3.0,17.0,1.0,2.0,2.0,2.0,6.0,10.0,9.0,4.0,3.0,3.0,4.0,15.0,2.0,4.0,7.0,7.0,10.0,14.0
canary,2.0,14.0,6.0,13.0,9.0,12.0,2.0,3.0,10.0,2.0,12.0,21.0,7.0,24.0,16.0,7.0,19.0,18.0,14.0,20.0
chickadee,1.0,8.0,28.0,4.0,12.0,8.0,4.0,5.0,3.0,3.0,22.0,2.0,,12.0,1.0,9.0,8.0,14.0,6.0,17.0
chicken,8.0,20.0,27.0,25.0,5.0,22.0,26.0,22.0,22.0,28.0,9.0,12.0,24.0,17.0,23.0,13.0,23.0,27.0,21.0,26.0
crow,14.0,15.0,11.0,6.0,10.0,10.0,11.0,6.0,6.0,17.0,7.0,6.0,19.0,11.0,6.0,11.0,4.0,10.0,13.0,9.0
cuckoo,15.0,16.0,15.0,12.0,13.0,14.0,13.0,17.0,18.0,10.0,21.0,10.0,10.0,27.0,7.0,23.0,5.0,9.0,11.0,15.0
dove,4.0,2.0,8.0,10.0,3.0,3.0,3.0,2.0,8.0,7.0,5.0,11.0,5.0,3.0,8.0,5.0,11.0,5.0,1.0,22.0
duck,17.0,27.0,17.0,16.0,6.0,25.0,22.0,27.0,28.0,23.0,8.0,19.0,17.0,25.0,25.0,25.0,17.0,24.0,26.0,23.0
eagle,16.0,28.0,12.0,20.0,19.0,16.0,17.0,15.0,13.0,13.0,13.0,17.0,9.0,10.0,10.0,10.0,6.0,1.0,9.0,1.0
falcon,19.0,6.0,13.0,15.0,22.0,20.0,18.0,9.0,12.0,14.0,19.0,16.0,8.0,9.0,12.0,12.0,1.0,15.0,16.0,4.0
heron,27.0,10.0,18.0,18.0,16.0,13.0,15.0,19.0,15.0,12.0,27.0,16.0,14.0,14.0,18.0,21.0,14.0,21.0,8.0,7.0
magpie,25.0,4.0,2.0,9.0,20.0,5.0,7.0,13.0,4.0,10.0,2.0,5.0,11.0,4.0,4.0,15.0,12.0,3.0,4.0,12.0
ostrich,20.0,26.0,29.0,29.0,27.0,29.0,30.0,25.0,25.0,29.0,28.0,24.0,27.0,22.0,27.0,29.0,25.0,26.0,18.0,30.0
owl,12.0,24.0,19.0,14.0,21.0,19.0,14.0,14.0,11.0,22.0,17.0,15.0,20.0,8.0,17.0,20.0,16.0,8.0,12.0,3.0
parakeet,10.0,3.0,10.0,11.0,7.0,11.0,8.0,11.0,15.0,5.0,25.0,22.0,12.0,16.0,15.0,3.0,18.0,17.0,20.0,21.0
parrot,23.0,11.0,9.0,17.0,8.0,18.0,21.0,15.0,20.0,16.0,16.0,28.0,22.0,6.0,28.0,28.0,10.0,22.0,25.0,19.0
peacock,24.0,22.0,21.0,28.0,25.0,28.0,24.0,26.0,26.0,18.0,14.0,23.0,23.0,18.0,29.0,17.0,28.0,19.0,24.0,28.0
pelican,29.0,29.0,24.0,24.0,28.0,27.0,20.0,21.0,27.0,21.0,20.0,27.0,18.0,28.0,20.0,26.0,29.0,12.0,15.0,5.0
penguin,30.0,30.0,30.0,30.0,30.0,30.0,29.0,29.0,30.0,30.0,30.0,30.0,28.0,26.0,30.0,30.0,30.0,30.0,29.0,29.0
pheasant,26.0,21.0,20.0,22.0,17.0,21.0,23.0,16.0,21.0,25.0,15.0,24.0,13.0,19.0,21.0,24.0,24.0,23.0,28.0,24.0
robin,6.0,9.0,5.0,3.0,11.0,4.0,5.0,7.0,2.0,6.0,4.0,4.0,3.0,2.0,3.0,2.0,3.0,11.0,19.0,16.0
rooster,9.0,19.0,26.0,26.0,29.0,23.0,25.0,23.0,23.0,27.0,10.0,13.0,25.0,30.0,22.0,14.0,27.0,29.0,22.0,25.0
seagull,11.0,12.0,7.0,8.0,4.0,7.0,12.0,12.0,17.0,8.0,11.0,8.0,6.0,5.0,14.0,6.0,13.0,2.0,5.0,10.0
sparrow,5.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,5.0,1.0,9.0,4.0,3.0,18.0
stork,28.0,18.0,22.0,19.0,15.0,17.0,16.0,18.0,19.0,15.0,26.0,25.0,13.0,24.0,19.0,22.0,22.0,16.0,30.0,6.0
swallow,13.0,7.0,3.0,5.0,14.0,6.0,9.0,4.0,5.0,9.0,6.0,9.0,1.0,13.0,11.0,8.0,15.0,13.0,2.0,13.0
swan,18.0,25.0,23.0,23.0,23.0,26.0,27.0,28.0,29.0,24.0,18.0,20.0,21.0,23.0,26.0,27.0,21.0,25.0,27.0,8.0
turkey,21.0,23.0,25.0,27.0,26.0,24.0,28.0,24.0,24.0,26.0,23.0,14.0,15.0,21.0,24.0,19.0,26.0,28.0,23.0,27.0
vulture,22.0,13.0,14.0,21.0,24.0,15.0,19.0,20.0,14.0,19.0,29.0,18.0,26.0,20.0,13.0,18.0,20.0,6.0,17.0,2.0
woodpecker,7.0,5.0,16.0,7.0,18.0,9.0,10.0,8.0,7.0,11.0,24.0,7.0,16.0,7.0,9.0,11.0,2.0,20.0,7.0,11.0
