exemplar,respondent 0,respondent 1,respondent 10,respondent 11,respondent 12,respondent 13,respondent 14,respondent 15,respondent 16,respondent 17,respondent 18,respondent 19,respondent 2,respondent 3,respondent 4,respondent 5,respondent 6,respondent 7,respondent 8,respondent 9
ant,9.0,13.0,3.0,11.0,15.0,10.0,4.0,5.0,5.0,21.0,3.0,6.0,3.0,14.0,1.0,6.0,12.0,2.0,1.0,10.0
bee,6.0,18.0,18.0,22.0,10.0,4.0,5.0,4.0,3.0,3.0,9.0,4.0,11.0,3.0,4.0,10.0,18.0,11.0,5.0,12.0
beetle,8.0,14.0,13.0,3.0,8.0,11.0,6.0,9.0,7.0,5.0,25.0,7.0,1.0,4.0,14.0,7.0,13.0,9.0,17.0,5.0
bumblebee,7.0,24.0,19.0,16.0,9.0,5.0,13.0,8.0,13.0,8.0,10.0,9.0,20.0,18.0,13.0,11.0,19.0,4.0,7.0,19.0
butterfly,2.0,21.0,9.0,24.0,1.0,26.0,12.0,24.0,24.0,14.0,11.0,12.0,24.0,23.0,10.0,8.0,23.0,14.0,20.0,24.0
caterpillar,4.0,12.0,7.0,15.0,6.0,18.0,16.0,20.0,20.0,19.0,22.0,22.0,21.0,23.0,17.0,21.0,4.0,26.0,21.0,14.0
centipede,12.0,11.0,16.0,4.0,17.0,9.0,14.0,18.0,22.0,20.0,20.0,20.0,15.0,12.0,23.0,23.0,4.0,21.0,24.0,13.0
cockchafer,16.0,20.0,18.0,14.0,7.0,12.0,23.0,10.0,14.0,18.0,26.0,8.0,6.0,20.0,18.0,18.0,16.0,17.0,18.0,8.0
cockroach,15.0,6.0,17.0,3.0,22.0,7.0,18.0,12.0,15.0,22.0,13.0,14.0,7.0,6.0,20.0,3.0,2.0,13.0,14.0,4.0
cricket,3.0,7.0,14.0,9.0,5.0,13.0,11.0,17.0,10.0,13.0,19.0,17.0,18.0,17.0,11.0,14.0,8.0,12.0,23.0,23.0
dragonfly,17.0,26.0,10.0,18.0,3.0,23.0,17.0,18.0,11.0,6.0,21.0,19.0,17.0,13.0,15.0,20.0,22.0,18.0,25.0,20.0
earwig,22.0,17.0,25.0,25.0,,8.0,20.0,16.0,21.0,26.0,23.0,21.0,4.0,11.0,24.0,22.0,15.0,23.0,22.0,17.0
flee,21.0,10.0,24.0,20.0,20.0,20.0,24.0,15.0,16.0,16.0,16.0,25.0,19.0,9.0,21.0,17.0,6.0,19.0,11.0,22.0
fly,1.0,1.0,1.0,5.0,14.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,13.0,1.0,2.0,9.0,7.0,1.0,2.0,1.0
fruit fly,,2.0,5.0,13.0,13.0,17.0,21.0,6.0,6.0,7.0,5.0,18.0,16.0,10.0,22.0,16.0,24.0,3.0,9.0,9.0
grasshopper,14.0,19.0,20.0,2.0,4.0,14.0,9.0,11.0,9.0,9.0,6.0,16.0,8.0,7.0,6.0,2.0,3.0,5.0,15.0,3.0
horsefly,,15.0,15.0,19.0,12.0,3.0,19.0,14.0,12.0,10.0,7.0,10.0,10.0,19.0,26.0,12.0,9.0,7.0,13.0,11.0
ladybug,19.0,5.0,4.0,6.0,2.0,15.0,10.0,7.0,8.0,12.0,18.0,11.0,23.0,8.0,7.0,25.0,11.0,10.0,8.0,25.0
leech,23.0,3.0,23.0,12.0,23.0,24.0,26.0,25.0,26.0,23.0,15.0,24.0,25.0,24.0,25.0,13.0,17.0,16.0,26.0,16.0
louse,24.0,22.0,23.0,21.0,21.0,21.0,25.0,21.0,17.0,17.0,17.0,26.0,26.0,12.0,8.0,19.0,5.0,22.0,12.0,21.0
mosquito,13.0,4.0,2.0,17.0,18.0,2.0,3.0,2.0,2.0,2.0,1.0,2.0,5.0,2.0,3.0,15.0,1.0,15.0,4.0,6.0
moth,18.0,16.0,8.0,10.0,19.0,25.0,22.0,23.0,25.0,15.0,12.0,13.0,9.0,16.0,16.0,,3.0,6.0,15.0,15.0
spider,20.0,25.0,26.0,26.0,24.0,16.0,2.0,22.0,23.0,24.0,4.0,5.0,12.0,25.0,5.0,1.0,20.0,20.0,3.0,2.0
wasp,11.0,8.0,12.0,7.0,11.0,6.0,8.0,3.0,4.0,4.0,8.0,3.0,14.0,5.0,9.0,4.0,21.0,8.0,6.0,18.0
wood louse,10.0,23.0,21.0,1.0,,22.0,15.0,13.0,19.0,11.0,14.0,15.0,2.0,15.0,12.0,5.0,10.0,25.0,16.0,7.0
worm,5.0,9.0,6.0,23.0,16.0,19.0,7.0,26.0,18.0,25.0,24.0,23.0,22.0,26.0,19.0,24.0,14.0,24.0,10.0,15.0
