exemplar,respondent 0,respondent 1,respondent 10,respondent 11,respondent 12,respondent 13,respondent 14,respondent 15,respondent 16,respondent 17,respondent 18,respondent 19,respondent 2,respondent 20,respondent 21,respondent 22,respondent 23,respondent 24,respondent 25,respondent 26,respondent 27,respondent 3,respondent 4,respondent 5,respondent 6,respondent 7,respondent 8,respondent 9,mean,std,nonmissing
apple,20.0,19.0,20.0,20.0,20.0,18.0,20.0,20.0,20.0,15.0,20.0,20.0,20.0,19.0,20.0,20.0,18.0,19.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,16.0,20.0,20.0,19.42857143,1.259881577,28.0
apricot,20.0,12.0,14.0,18.0,20.0,15.0,18.0,16.0,12.0,9.0,20.0,13.0,18.0,19.0,19.0,12.0,16.0,10.0,10.0,7.0,20.0,16.0,15.0,20.0,18.0,15.0,20.0,20.0,15.78571429,3.900210278,28.0
banana,20.0,18.0,20.0,20.0,20.0,18.0,20.0,20.0,16.0,11.0,20.0,20.0,20.0,19.0,20.0,19.0,18.0,18.0,18.0,20.0,20.0,20.0,20.0,20.0,20.0,16.0,20.0,20.0,18.96428571,1.971691187,28.0
blackberry,10.0,10.0,12.0,12.0,18.0,13.0,20.0,20.0,11.0,10.0,20.0,15.0,1.0,14.0,15.0,12.0,12.0,10.0,18.0,7.0,20.0,16.0,15.0,20.0,18.0,13.0,20.0,20.0,14.35714286,4.762618994,28.0
blueberry,10.0,9.0,12.0,14.0,18.0,13.0,20.0,20.0,14.0,6.0,20.0,15.0,1.0,14.0,13.0,8.0,1.0,8.0,14.0,1.0,20.0,10.0,14.0,20.0,19.0,13.0,19.0,20.0,13.07142857,5.981010514,28.0
cherry,15.0,18.0,16.0,12.0,20.0,14.0,20.0,20.0,14.0,12.0,20.0,18.0,13.0,14.0,20.0,17.0,19.0,16.0,20.0,16.0,20.0,20.0,17.0,20.0,13.0,15.0,20.0,20.0,17.10714286,2.884688644,28.0
coconut,10.0,12.0,8.0,4.0,17.0,15.0,16.0,15.0,9.0,2.0,18.0,14.0,6.0,8.0,10.0,12.0,4.0,6.0,14.0,1.0,14.0,12.0,12.0,17.0,13.0,7.0,15.0,10.0,10.75,4.703229781,28.0
dates,10.0,8.0,4.0,8.0,15.0,15.0,8.0,12.0,10.0,4.0,12.0,13.0,1.0,9.0,5.0,5.0,6.0,2.0,15.0,3.0,19.0,2.0,7.0,8.0,6.0,10.0,17.0,2.0,8.428571429,4.9248318,28.0
fig,10.0,9.0,4.0,5.0,15.0,14.0,6.0,14.0,10.0,16.0,12.0,13.0,3.0,9.0,3.0,5.0,1.0,8.0,10.0,1.0,14.0,2.0,5.0,8.0,8.0,10.0,17.0,1.0,8.321428571,4.861439898,28.0
grape,20.0,17.0,20.0,15.0,20.0,15.0,20.0,20.0,15.0,6.0,20.0,18.0,20.0,15.0,19.0,15.0,14.0,10.0,20.0,14.0,20.0,20.0,17.0,20.0,19.0,15.0,20.0,20.0,17.28571429,3.526168237,28.0
grapefruit,15.0,10.0,10.0,12.0,20.0,15.0,20.0,19.0,14.0,4.0,20.0,13.0,15.0,16.0,18.0,15.0,12.0,15.0,20.0,4.0,20.0,14.0,14.0,20.0,16.0,11.0,-1.0,20.0,14.88888889,4.534765988,27.0
kiwi,20.0,18.0,16.0,16.0,20.0,18.0,20.0,20.0,12.0,6.0,20.0,15.0,15.0,19.0,11.0,17.0,18.0,15.0,20.0,19.0,20.0,5.0,16.0,20.0,16.0,15.0,20.0,20.0,16.67857143,4.055664273,28.0
lemon,20.0,17.0,18.0,18.0,20.0,17.0,20.0,20.0,15.0,1.0,20.0,19.0,9.0,12.0,12.0,4.0,1.0,17.0,14.0,1.0,20.0,1.0,14.0,20.0,10.0,15.0,20.0,20.0,14.10714286,6.762309959,28.0
lime,15.0,10.0,18.0,10.0,20.0,14.0,20.0,16.0,15.0,1.0,18.0,18.0,14.0,17.0,13.0,12.0,3.0,11.0,14.0,4.0,20.0,1.0,13.0,18.0,17.0,14.0,19.0,15.0,13.57142857,5.520524475,28.0
lychee,20.0,10.0,14.0,6.0,17.0,16.0,20.0,10.0,12.0,2.0,20.0,17.0,15.0,7.0,15.0,5.0,13.0,5.0,20.0,1.0,20.0,10.0,10.0,19.0,12.0,13.0,17.0,5.0,12.53571429,5.840358581,28.0
mandarine,20.0,13.0,16.0,12.0,20.0,15.0,18.0,19.0,15.0,6.0,20.0,17.0,20.0,19.0,20.0,15.0,6.0,3.0,20.0,14.0,20.0,18.0,13.0,18.0,18.0,15.0,20.0,20.0,16.07142857,4.674030471,28.0
mango,20.0,17.0,14.0,9.0,20.0,16.0,20.0,20.0,10.0,13.0,16.0,9.0,12.0,17.0,17.0,10.0,10.0,9.0,20.0,3.0,20.0,16.0,11.0,20.0,13.0,16.0,19.0,20.0,14.89285714,4.685195642,28.0
melon,20.0,15.0,8.0,11.0,20.0,14.0,20.0,20.0,15.0,1.0,15.0,18.0,20.0,16.0,18.0,10.0,18.0,12.0,20.0,8.0,20.0,14.0,16.0,20.0,19.0,13.0,19.0,20.0,15.71428571,4.798588858,28.0
