exemplar,respondent 0,respondent 1,respondent 10,respondent 11,respondent 12,respondent 13,respondent 14,respondent 15,respondent 16,respondent 17,respondent 18,respondent 19,respondent 2,respondent 20,respondent 21,respondent 22,respondent 23,respondent 24,respondent 25,respondent 3,respondent 4,respondent 5,respondent 6,respondent 7,respondent 8,respondent 9,mean,std,nonmissing
anvil,4.0,10.0,11.0,-1.0,11.0,10.0,-1.0,1.0,15.0,15.0,15.0,10.0,8.0,6.0,3.0,6.0,15.0,15.0,16.0,5.0,9.0,10.0,12.0,4.0,18.0,1.0,9.583333333,4.986212876,24.0
axe,18.0,18.0,6.0,20.0,18.0,20.0,17.0,10.0,20.0,17.0,9.0,10.0,17.0,18.0,9.0,18.0,15.0,20.0,18.0,15.0,20.0,20.0,18.0,8.0,20.0,20.0,16.11538462,4.448162974,26.0
chisel,15.0,20.0,20.0,20.0,16.0,20.0,16.0,15.0,20.0,19.0,16.0,15.0,10.0,11.0,16.0,17.0,13.0,20.0,15.0,12.0,20.0,20.0,18.0,12.0,20.0,12.0,16.46153846,3.313376154,26.0
clamp,6.0,18.0,18.0,16.0,8.0,-1.0,2.0,5.0,20.0,19.0,11.0,10.0,12.0,8.0,3.0,7.0,-1.0,20.0,14.0,5.0,20.0,20.0,16.0,6.0,15.0,1.0,11.66666667,6.438111164,24.0
crowbar (breekijzer),12.0,9.0,11.0,20.0,15.0,-1.0,10.0,2.0,15.0,9.0,15.0,19.0,14.0,16.0,4.0,7.0,19.0,17.0,15.0,12.0,20.0,20.0,18.0,3.0,20.0,10.0,13.28,5.503937984,25.0
crowbar (koevoet),12.0,16.0,10.0,20.0,12.0,10.0,10.0,15.0,20.0,10.0,15.0,15.0,10.0,14.0,4.0,8.0,17.0,20.0,14.0,12.0,9.0,-1.0,16.0,4.0,20.0,5.0,12.72,4.817675788,25.0
drill,10.0,20.0,18.0,20.0,18.0,20.0,20.0,15.0,20.0,19.0,15.0,20.0,17.0,20.0,16.0,19.0,16.0,20.0,18.0,17.0,20.0,20.0,18.0,15.0,20.0,16.0,17.96153846,2.45732813,26.0
file,15.0,10.0,2.0,11.0,7.0,16.0,8.0,10.0,15.0,8.0,6.0,10.0,8.0,6.0,10.0,9.0,12.0,15.0,11.0,5.0,20.0,20.0,15.0,11.0,18.0,2.0,10.76923077,4.893323552,26.0
filling knife,8.0,16.0,8.0,20.0,16.0,-1.0,16.0,10.0,20.0,19.0,17.0,15.0,12.0,9.0,7.0,-1.0,15.0,20.0,16.0,1.0,14.0,10.0,17.0,9.0,20.0,1.0,13.16666667,5.646597026,24.0
grinding disc,10.0,14.0,19.0,20.0,17.0,15.0,15.0,5.0,20.0,19.0,10.0,17.0,18.0,14.0,6.0,9.0,16.0,20.0,19.0,10.0,20.0,20.0,18.0,10.0,20.0,12.0,15.11538462,4.70171818,26.0
hammer,18.0,20.0,20.0,20.0,19.0,20.0,20.0,15.0,20.0,19.0,20.0,19.0,15.0,18.0,20.0,17.0,18.0,20.0,19.0,18.0,20.0,20.0,18.0,16.0,20.0,15.0,18.61538462,1.72225255,26.0
knife,12.0,15.0,3.0,18.0,14.0,10.0,5.0,2.0,15.0,13.0,18.0,5.0,12.0,4.0,3.0,14.0,14.0,17.0,18.0,1.0,9.0,10.0,18.0,1.0,10.0,1.0,10.07692308,6.039358091,26.0
lawn mower,5.0,3.0,3.0,20.0,10.0,10.0,7.0,5.0,5.0,16.0,4.0,13.0,15.0,10.0,9.0,3.0,16.0,20.0,1.0,1.0,9.0,20.0,16.0,1.0,20.0,7.0,9.576923077,6.506446507,26.0
level,11.0,20.0,6.0,11.0,10.0,10.0,15.0,5.0,15.0,19.0,19.0,10.0,9.0,10.0,12.0,7.0,13.0,15.0,17.0,5.0,17.0,10.0,18.0,11.0,20.0,10.0,12.5,4.597825573,26.0
nail,4.0,5.0,10.0,13.0,12.0,12.0,8.0,2.0,5.0,17.0,19.0,10.0,12.0,8.0,17.0,8.0,8.0,15.0,18.0,5.0,5.0,10.0,2.0,16.0,15.0,6.0,10.07692308,5.082700675,26.0
oil can,7.0,4.0,2.0,11.0,10.0,14.0,12.0,3.0,5.0,19.0,10.0,7.0,10.0,11.0,3.0,9.0,11.0,20.0,8.0,1.0,9.0,10.0,14.0,6.0,20.0,1.0,9.115384615,5.383879071,26.0
paint brush,8.0,14.0,11.0,19.0,5.0,12.0,16.0,5.0,5.0,19.0,5.0,15.0,10.0,18.0,9.0,3.0,14.0,17.0,12.0,1.0,12.0,20.0,16.0,5.0,15.0,1.0,11.03846154,5.84794507,26.0
pickaxe,12.0,18.0,17.0,16.0,8.0,20.0,16.0,1.0,20.0,19.0,10.0,18.0,10.0,14.0,10.0,-1.0,17.0,20.0,5.0,12.0,12.0,20.0,18.0,10.0,-1.0,20.0,14.29166667,5.270749197,24.0
plane,7.0,10.0,5.0,20.0,18.0,-1.0,-1.0,10.0,15.0,19.0,17.0,10.0,10.0,1.0,4.0,-1.0,13.0,20.0,14.0,1.0,13.0,20.0,19.0,11.0,-1.0,10.0,12.13636364,6.041881247,22.0
plough,8.0,16.0,5.0,17.0,15.0,18.0,20.0,1.0,20.0,19.0,10.0,15.0,14.0,16.0,6.0,14.0,16.0,20.0,15.0,12.0,20.0,20.0,19.0,1.0,20.0,13.0,14.23076923,5.812453474,26.0
rope,1.0,1.0,4.0,7.0,10.0,5.0,8.0,2.0,15.0,14.0,6.0,5.0,8.0,4.0,3.0,3.0,10.0,12.0,5.0,1.0,9.0,10.0,14.0,2.0,15.0,3.0,6.807692308,4.560870362,26.0
saw,18.0,20.0,20.0,20.0,19.0,20.0,18.0,15.0,20.0,19.0,20.0,20.0,13.0,14.0,17.0,15.0,15.0,20.0,16.0,18.0,20.0,20.0,19.0,14.0,20.0,17.0,17.96153846,2.34061136,26.0
screw wrench (engelse sleutel),-1.0,20.0,7.0,20.0,14.0,20.0,17.0,10.0,20.0,19.0,20.0,17.0,13.0,19.0,18.0,13.0,16.0,20.0,17.0,12.0,20.0,20.0,16.0,10.0,-1.0,17.0,16.45833333,3.844580224,24.0
screwdriver,18.0,20.0,19.0,20.0,19.0,20.0,16.0,18.0,20.0,19.0,19.0,18.0,15.0,17.0,20.0,16.0,16.0,20.0,19.0,15.0,20.0,20.0,19.0,13.0,20.0,7.0,17.80769231,2.953225095,26.0
shovel,14.0,20.0,18.0,20.0,13.0,15.0,15.0,5.0,20.0,19.0,17.0,15.0,18.0,16.0,18.0,14.0,17.0,20.0,11.0,8.0,16.0,20.0,18.0,15.0,20.0,20.0,16.23076923,3.839871793,26.0
tongs,17.0,20.0,20.0,20.0,19.0,20.0,14.0,8.0,20.0,19.0,16.0,19.0,15.0,20.0,15.0,13.0,18.0,20.0,12.0,15.0,20.0,20.0,19.0,12.0,20.0,8.0,16.88461538,3.777056241,26.0
vacuum cleaner,3.0,8.0,1.0,14.0,6.0,5.0,2.0,1.0,1.0,10.0,12.0,1.0,10.0,10.0,1.0,1.0,9.0,15.0,1.0,1.0,9.0,10.0,17.0,1.0,15.0,1.0,6.346153846,5.447511782,26.0
