exemplar,respondent 0,respondent 1,respondent 10,respondent 11,respondent 12,respondent 13,respondent 14,respondent 15,respondent 16,respondent 17,respondent 18,respondent 19,respondent 2,respondent 20,respondent 21,respondent 22,respondent 23,respondent 24,respondent 25,respondent 26,respondent 27,respondent 3,respondent 4,respondent 5,respondent 6,respondent 7,respondent 8,respondent 9,mean,std,nonmissing
bathing suit,7.0,12.0,12.0,18.0,5.0,16.0,12.0,7.0,8.0,10.0,10.0,12.0,6.0,9.0,8.0,16.0,11.0,11.0,14.0,16.0,16.0,14.0,7.0,12.0,16.0,10.0,20.0,16.0,11.82142857,3.935155618,28
beanie,6.0,20.0,15.0,15.0,4.0,6.0,16.0,8.0,13.0,13.0,11.0,12.0,7.0,7.0,8.0,11.0,1.0,9.0,9.0,14.0,15.0,14.0,9.0,4.0,18.0,19.0,20.0,17.0,11.46428571,5.145887555,28
belt,9.0,20.0,11.0,16.0,1.0,12.0,14.0,9.0,8.0,11.0,17.0,10.0,7.0,5.0,9.0,11.0,2.0,9.0,9.0,11.0,8.0,14.0,10.0,12.0,16.0,13.0,13.0,17.0,10.85714286,4.318043845,28
blouse,17.0,20.0,20.0,20.0,12.0,8.0,20.0,12.0,17.0,17.0,20.0,18.0,17.0,19.0,14.0,20.0,20.0,20.0,19.0,20.0,15.0,17.0,12.0,17.0,20.0,19.0,20.0,18.0,17.42857143,3.202181796,28
boots,14.0,20.0,13.0,17.0,3.0,10.0,14.0,6.0,12.0,14.0,19.0,15.0,9.0,12.0,8.0,16.0,11.0,9.0,7.0,13.0,14.0,13.0,8.0,5.0,16.0,15.0,20.0,18.0,12.53571429,4.492645371,28
bra,13.0,20.0,17.0,20.0,15.0,9.0,16.0,7.0,14.0,11.0,10.0,12.0,6.0,10.0,12.0,18.0,6.0,12.0,15.0,13.0,12.0,14.0,9.0,14.0,19.0,20.0,20.0,19.0,13.67857143,4.338062133,28
cap,8.0,20.0,13.0,16.0,4.0,16.0,14.0,9.0,16.0,13.0,14.0,12.0,4.0,6.0,8.0,11.0,4.0,10.0,10.0,11.0,16.0,14.0,9.0,12.0,15.0,12.0,20.0,17.0,11.92857143,4.42156811,28
coat,16.0,20.0,17.0,20.0,15.0,13.0,20.0,15.0,17.0,16.0,20.0,18.0,16.0,18.0,14.0,20.0,20.0,20.0,20.0,16.0,18.0,18.0,16.0,16.0,20.0,19.0,20.0,20.0,17.78571429,2.183390887,28
dress,18.0,20.0,15.0,20.0,15.0,7.0,20.0,13.0,14.0,12.0,20.0,19.0,15.0,16.0,14.0,20.0,18.0,17.0,19.0,20.0,15.0,16.0,19.0,20.0,20.0,15.0,20.0,20.0,17.03571429,3.248727875,28
dungarees,14.0,20.0,15.0,20.0,7.0,15.0,19.0,,13.0,9.0,8.0,16.0,10.0,17.0,12.0,,10.0,11.0,14.0,20.0,14.0,17.0,10.0,12.0,19.0,12.0,20.0,16.0,14.23076923,4.003075741,26
