exemplar,bathing suit,beanie,belt,blouse,boots,bra,cap,coat,dress,dungarees,hat,jeans,mittens,panties,pants,pullover,pyjamas,scarf,shirt,shoes,shorts,skirt,socks,suit,sweater,t-shirt,tie,top,tracksuit
bathing suit,20.0,2.0,6.0,2.0,5.0,12.0,4.0,5.0,5.0,1.0,2.0,3.0,6.0,4.0,2.0,13.0,3.0,1.0,3.0,5.0,2.0,4.0,1.0,2.0,4.0,4.0,2.0,3.0,7.0
beanie,2.0,20.0,5.0,3.0,3.0,1.0,18.0,4.0,4.0,1.0,2.0,2.0,1.0,3.0,4.0,1.0,3.0,5.0,8.0,1.0,3.0,2.0,2.0,4.0,3.0,2.0,4.0,3.0,2.0
belt,6.0,5.0,20.0,2.0,2.0,3.0,5.0,3.0,3.0,3.0,2.0,10.0,2.0,1.0,8.0,1.0,2.0,13.0,3.0,5.0,2.0,3.0,5.0,6.0,1.0,3.0,13.0,1.0,3.0
blouse,2.0,3.0,2.0,20.0,3.0,1.0,2.0,3.0,3.0,10.0,2.0,5.0,4.0,4.0,3.0,3.0,14.0,5.0,19.0,4.0,6.0,2.0,4.0,15.0,13.0,15.0,7.0,14.0,1.0
boots,5.0,3.0,2.0,3.0,20.0,4.0,4.0,2.0,2.0,2.0,4.0,3.0,2.0,3.0,4.0,1.0,4.0,1.0,2.0,18.0,3.0,2.0,5.0,4.0,6.0,2.0,1.0,4.0,6.0
bra,12.0,1.0,3.0,1.0,4.0,20.0,2.0,2.0,7.0,4.0,1.0,2.0,3.0,3.0,1.0,3.0,2.0,8.0,2.0,1.0,5.0,2.0,1.0,3.0,2.0,3.0,8.0,14.0,3.0
cap,4.0,18.0,5.0,2.0,4.0,2.0,20.0,5.0,2.0,3.0,18.0,2.0,3.0,3.0,2.0,5.0,3.0,4.0,4.0,3.0,3.0,2.0,1.0,6.0,2.0,3.0,1.0,3.0,3.0
coat,5.0,4.0,3.0,3.0,2.0,2.0,5.0,20.0,1.0,5.0,7.0,5.0,4.0,1.0,4.0,13.0,5.0,10.0,14.0,5.0,3.0,12.0,3.0,1.0,6.0,3.0,5.0,4.0,13.0
dress,5.0,4.0,3.0,3.0,2.0,7.0,2.0,1.0,20.0,4.0,3.0,12.0,4.0,6.0,5.0,2.0,2.0,5.0,4.0,4.0,4.0,17.0,2.0,16.0,3.0,3.0,6.0,18.0,4.0
dungarees,1.0,1.0,3.0,10.0,2.0,4.0,3.0,5.0,4.0,20.0,5.0,18.0,1.0,9.0,16.0,10.0,10.0,1.0,2.0,5.0,3.0,2.0,8.0,15.0,2.0,5.0,5.0,2.0,12.0
hat,2.0,2.0,2.0,2.0,4.0,1.0,18.0,7.0,3.0,5.0,20.0,2.0,9.0,3.0,3.0,1.0,5.0,4.0,1.0,7.0,2.0,6.0,2.0,3.0,3.0,2.0,4.0,5.0,4.0
jeans,3.0,2.0,10.0,5.0,3.0,2.0,2.0,5.0,12.0,18.0,2.0,20.0,3.0,10.0,19.0,4.0,10.0,4.0,3.0,2.0,3.0,12.0,5.0,1.0,16.0,4.0,4.0,4.0,13.0
mittens,6.0,1.0,2.0,4.0,2.0,3.0,3.0,4.0,4.0,1.0,9.0,3.0,20.0,5.0,5.0,16.0,4.0,5.0,4.0,4.0,3.0,2.0,2.0,3.0,3.0,2.0,2.0,3.0,2.0
panties,4.0,3.0,1.0,4.0,3.0,3.0,3.0,1.0,6.0,9.0,3.0,10.0,5.0,20.0,2.0,8.0,2.0,7.0,3.0,3.0,13.0,3.0,6.0,3.0,3.0,2.0,5.0,2.0,3.0
pants,2.0,4.0,8.0,3.0,4.0,1.0,2.0,4.0,5.0,16.0,3.0,19.0,5.0,2.0,20.0,4.0,13.0,4.0,2.0,4.0,17.0,12.0,1.0,16.0,6.0,3.0,2.0,4.0,16.0
pullover,13.0,1.0,1.0,3.0,1.0,3.0,5.0,13.0,2.0,10.0,1.0,4.0,16.0,8.0,4.0,20.0,13.0,8.0,12.0,3.0,5.0,8.0,2.0,12.0,14.0,2.0,3.0,11.0,14.0
pyjamas,3.0,3.0,2.0,14.0,4.0,2.0,3.0,5.0,2.0,10.0,5.0,10.0,4.0,2.0,13.0,13.0,20.0,2.0,12.0,1.0,15.0,1.0,4.0,12.0,13.0,5.0,2.0,13.0,12.0
scarf,1.0,5.0,13.0,5.0,1.0,8.0,4.0,10.0,5.0,1.0,4.0,4.0,5.0,7.0,4.0,8.0,2.0,20.0,3.0,4.0,4.0,7.0,5.0,7.0,1.0,2.0,17.0,2.0,3.0
shirt,3.0,8.0,3.0,19.0,2.0,2.0,4.0,14.0,4.0,2.0,1.0,3.0,4.0,3.0,2.0,12.0,12.0,3.0,20.0,3.0,4.0,3.0,4.0,2.0,15.0,5.0,7.0,10.0,3.0
shoes,5.0,1.0,5.0,4.0,18.0,1.0,3.0,5.0,4.0,5.0,7.0,2.0,4.0,3.0,4.0,3.0,1.0,4.0,3.0,20.0,3.0,2.0,3.0,5.0,4.0,4.0,1.0,4.0,4.0
shorts,2.0,3.0,2.0,6.0,3.0,5.0,3.0,3.0,4.0,3.0,2.0,3.0,3.0,13.0,17.0,5.0,15.0,4.0,4.0,3.0,20.0,2.0,4.0,2.0,4.0,5.0,2.0,2.0,4.0
skirt,4.0,2.0,3.0,2.0,2.0,2.0,2.0,12.0,17.0,2.0,6.0,12.0,2.0,3.0,12.0,8.0,1.0,7.0,3.0,2.0,2.0,20.0,4.0,4.0,1.0,7.0,2.0,3.0,6.0
socks,1.0,2.0,5.0,4.0,5.0,1.0,1.0,3.0,2.0,8.0,2.0,5.0,2.0,6.0,1.0,2.0,4.0,5.0,4.0,3.0,4.0,4.0,20.0,4.0,5.0,1.0,3.0,4.0,6.0
suit,2.0,4.0,6.0,15.0,4.0,3.0,6.0,1.0,16.0,15.0,3.0,1.0,3.0,3.0,16.0,12.0,12.0,7.0,2.0,5.0,2.0,4.0,4.0,20.0,12.0,6.0,5.0,2.0,14.0
sweater,4.0,3.0,1.0,13.0,6.0,2.0,2.0,6.0,3.0,2.0,3.0,16.0,3.0,3.0,6.0,14.0,13.0,1.0,15.0,4.0,4.0,1.0,5.0,12.0,20.0,12.0,3.0,4.0,12.0
t-shirt,4.0,2.0,3.0,15.0,2.0,3.0,3.0,3.0,3.0,5.0,2.0,4.0,2.0,2.0,3.0,2.0,5.0,2.0,5.0,4.0,5.0,7.0,1.0,6.0,12.0,20.0,3.0,3.0,13.0
