exemplar,anchovy,carp,cod,dolphin,eel,flatfish,goldfish,herring,orca,pike,piranha,plaice,ray,salmon,sardine,shark,sole,sperm whale,squid,stickleback,swordfish,trout,whale
anchovy,20.0,12.0,5.0,2.0,8.0,9.0,7.0,8.0,2.0,7.0,8.0,12.0,4.0,8.0,18.0,3.0,6.0,3.0,2.0,7.0,6.0,4.0,3.0
carp,12.0,20.0,16.0,3.0,8.0,11.0,8.0,13.0,7.0,14.0,13.0,12.0,10.0,12.0,7.0,6.0,12.0,9.0,3.0,12.0,8.0,15.0,2.0
cod,5.0,16.0,20.0,3.0,6.0,8.0,7.0,17.0,3.0,16.0,8.0,10.0,12.0,12.0,7.0,4.0,11.0,5.0,5.0,14.0,6.0,16.0,2.0
dolphin,2.0,3.0,3.0,20.0,2.0,3.0,2.0,3.0,14.0,3.0,3.0,6.0,3.0,3.0,5.0,12.0,3.0,5.0,2.0,6.0,7.0,4.0,13.0
eel,8.0,8.0,6.0,2.0,20.0,4.0,3.0,8.0,4.0,11.0,6.0,5.0,8.0,13.0,6.0,1.0,5.0,6.0,3.0,6.0,7.0,8.0,2.0
flatfish,9.0,11.0,8.0,3.0,4.0,20.0,7.0,10.0,6.0,13.0,15.0,13.0,13.0,8.0,7.0,3.0,11.0,10.0,6.0,13.0,14.0,15.0,3.0
goldfish,7.0,8.0,7.0,2.0,3.0,7.0,20.0,7.0,2.0,8.0,6.0,7.0,6.0,5.0,6.0,3.0,3.0,5.0,3.0,7.0,3.0,6.0,1.0
herring,8.0,13.0,17.0,3.0,8.0,10.0,7.0,20.0,12.0,16.0,10.0,13.0,10.0,12.0,7.0,5.0,12.0,8.0,4.0,17.0,10.0,15.0,6.0
orca,2.0,7.0,3.0,14.0,4.0,6.0,2.0,12.0,20.0,3.0,4.0,4.0,3.0,5.0,2.0,11.0,5.0,4.0,7.0,3.0,5.0,7.0,18.0
pike,7.0,14.0,16.0,3.0,11.0,13.0,8.0,16.0,3.0,20.0,15.0,10.0,10.0,13.0,6.0,6.0,10.0,10.0,6.0,12.0,11.0,17.0,7.0
piranha,8.0,13.0,8.0,3.0,6.0,15.0,6.0,10.0,4.0,15.0,20.0,6.0,9.0,5.0,6.0,2.0,9.0,10.0,3.0,11.0,6.0,13.0,3.0
plaice,12.0,12.0,10.0,6.0,5.0,13.0,7.0,13.0,4.0,10.0,6.0,20.0,7.0,8.0,9.0,6.0,11.0,10.0,5.0,13.0,9.0,10.0,2.0
ray,4.0,10.0,12.0,3.0,8.0,13.0,6.0,10.0,3.0,10.0,9.0,7.0,20.0,16.0,8.0,6.0,7.0,7.0,2.0,10.0,9.0,9.0,5.0
salmon,8.0,12.0,12.0,3.0,13.0,8.0,5.0,12.0,5.0,13.0,5.0,8.0,16.0,20.0,6.0,3.0,10.0,8.0,5.0,7.0,7.0,10.0,3.0
sardine,18.0,7.0,7.0,5.0,6.0,7.0,6.0,7.0,2.0,6.0,6.0,9.0,8.0,6.0,20.0,3.0,7.0,7.0,2.0,5.0,8.0,7.0,2.0
shark,3.0,6.0,4.0,12.0,1.0,3.0,3.0,5.0,11.0,6.0,2.0,6.0,6.0,3.0,3.0,20.0,4.0,5.0,6.0,3.0,2.0,4.0,13.0
sole,6.0,12.0,11.0,3.0,5.0,11.0,3.0,12.0,5.0,10.0,9.0,11.0,7.0,10.0,7.0,4.0,20.0,10.0,3.0,10.0,6.0,12.0,3.0
sperm whale,3.0,9.0,5.0,5.0,6.0,10.0,5.0,8.0,4.0,10.0,10.0,10.0,7.0,8.0,7.0,5.0,10.0,20.0,15.0,10.0,9.0,8.0,7.0
squid,2.0,3.0,5.0,2.0,3.0,6.0,3.0,4.0,7.0,6.0,3.0,5.0,2.0,5.0,2.0,6.0,3.0,15.0,20.0,3.0,2.0,3.0,4.0
stickleback,7.0,12.0,14.0,6.0,6.0,13.0,7.0,17.0,3.0,12.0,11.0,13.0,10.0,7.0,5.0,3.0,10.0,10.0,3.0,20.0,15.0,13.0,3.0
swordfish,6.0,8.0,6.0,7.0,7.0,14.0,3.0,10.0,5.0,11.0,6.0,9.0,9.0,7.0,8.0,2.0,6.0,9.0,2.0,15.0,20.0,12.0,3.0
trout,4.0,15.0,16.0,4.0,8.0,15.0,6.0,15.0,7.0,17.0,13.0,10.0,9.0,10.0,7.0,4.0,12.0,8.0,3.0,13.0,12.0,20.0,2.0
whale,3.0,2.0,2.0,13.0,2.0,3.0,1.0,6.0,18.0,7.0,3.0,2.0,5.0,3.0,2.0,13.0,3.0,7.0,4.0,3.0,3.0,2.0,20.0
