exemplar,apple,apricot,banana,blackberry,blueberry,cherry,coconut,dates,fig,grape,grapefruit,kiwi,lemon,lime,lychee,mandarine,mango,melon,nectarine,orange,papaya,passion fruit,peach,pear,pineapple,plum,pumpkin,raspberry,red currant,strawberry
apple,20.0,14.0,14.0,15.0,13.0,13.0,11.0,8.0,12.0,16.0,11.0,13.0,14.0,11.0,14.0,14.0,11.0,13.0,16.0,19.0,12.0,11.0,17.0,19.0,13.0,16.0,9.0,12.0,14.0,13.0
apricot,14.0,20.0,11.0,11.0,13.0,15.0,12.0,11.0,12.0,11.0,12.0,11.0,5.0,12.0,10.0,17.0,8.0,11.0,19.0,13.0,10.0,11.0,19.0,13.0,9.0,16.0,11.0,14.0,11.0,12.0
banana,14.0,11.0,20.0,7.0,11.0,11.0,11.0,11.0,10.0,14.0,9.0,9.0,8.0,9.0,9.0,9.0,11.0,8.0,13.0,11.0,8.0,14.0,13.0,11.0,12.0,11.0,11.0,13.0,9.0,10.0
blackberry,15.0,11.0,7.0,20.0,19.0,17.0,12.0,11.0,10.0,16.0,12.0,13.0,11.0,6.0,8.0,12.0,11.0,10.0,11.0,9.0,12.0,11.0,12.0,10.0,8.0,14.0,4.0,18.0,17.0,14.0
blueberry,13.0,13.0,11.0,19.0,20.0,16.0,11.0,14.0,14.0,16.0,11.0,12.0,12.0,12.0,11.0,12.0,11.0,8.0,9.0,11.0,11.0,8.0,15.0,11.0,8.0,11.0,6.0,16.0,18.0,16.0
cherry,13.0,15.0,11.0,17.0,16.0,20.0,11.0,12.0,12.0,14.0,8.0,11.0,13.0,4.0,9.0,0.0,7.0,9.0,11.0,12.0,15.0,11.0,13.0,10.0,9.0,12.0,5.0,18.0,16.0,12.0
coconut,11.0,12.0,11.0,12.0,11.0,11.0,20.0,8.0,7.0,7.0,10.0,6.0,9.0,9.0,14.0,0.0,16.0,8.0,9.0,8.0,10.0,12.0,13.0,9.0,14.0,12.0,12.0,12.0,9.0,11.0
dates,8.0,11.0,11.0,11.0,14.0,12.0,8.0,20.0,11.0,11.0,17.0,14.0,11.0,17.0,9.0,0.0,17.0,9.0,16.0,19.0,12.0,18.0,14.0,8.0,7.0,11.0,8.0,11.0,10.0,11.0
fig,12.0,12.0,10.0,10.0,14.0,12.0,7.0,11.0,20.0,17.0,10.0,11.0,9.0,8.0,5.0,0.0,13.0,9.0,8.0,9.0,18.0,8.0,8.0,11.0,6.0,14.0,11.0,18.0,11.0,11.0
grape,16.0,11.0,14.0,16.0,16.0,14.0,7.0,11.0,17.0,20.0,11.0,11.0,9.0,12.0,13.0,0.0,14.0,9.0,12.0,7.0,10.0,9.0,14.0,9.0,11.0,14.0,8.0,8.0,17.0,14.0
grapefruit,11.0,12.0,9.0,12.0,11.0,8.0,10.0,17.0,10.0,11.0,20.0,8.0,13.0,12.0,19.0,0.0,7.0,11.0,14.0,13.0,0.0,0.0,8.0,11.0,8.0,17.0,16.0,7.0,12.0,13.0
kiwi,13.0,11.0,9.0,13.0,12.0,11.0,6.0,14.0,11.0,11.0,8.0,20.0,11.0,4.0,12.0,0.0,12.0,8.0,15.0,11.0,7.0,11.0,17.0,14.0,13.0,16.0,7.0,12.0,9.0,12.0
lemon,14.0,5.0,8.0,11.0,12.0,13.0,9.0,11.0,9.0,9.0,13.0,11.0,20.0,16.0,11.0,17.0,11.0,16.0,11.0,19.0,12.0,16.0,12.0,12.0,9.0,15.0,18.0,11.0,12.0,15.0
lime,11.0,12.0,9.0,6.0,12.0,4.0,9.0,17.0,8.0,12.0,12.0,4.0,16.0,20.0,11.0,0.0,17.0,12.0,13.0,12.0,11.0,11.0,12.0,7.0,9.0,5.0,12.0,12.0,13.0,11.0
lychee,14.0,10.0,9.0,8.0,11.0,9.0,14.0,9.0,5.0,13.0,19.0,12.0,11.0,11.0,20.0,0.0,19.0,17.0,12.0,18.0,12.0,15.0,7.0,12.0,15.0,11.0,15.0,18.0,11.0,13.0
mandarine,14.0,17.0,9.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,12.0,14.0
mango,11.0,8.0,11.0,11.0,11.0,7.0,16.0,17.0,13.0,14.0,7.0,12.0,11.0,17.0,19.0,0.0,20.0,8.0,12.0,8.0,6.0,11.0,11.0,12.0,10.0,14.0,8.0,12.0,11.0,12.0
melon,13.0,11.0,8.0,10.0,8.0,9.0,8.0,9.0,9.0,9.0,11.0,8.0,16.0,12.0,17.0,0.0,8.0,20.0,13.0,13.0,15.0,14.0,16.0,12.0,12.0,12.0,4.0,8.0,11.0,12.0
nectarine,16.0,19.0,13.0,11.0,9.0,11.0,9.0,16.0,8.0,12.0,14.0,15.0,11.0,13.0,12.0,0.0,12.0,13.0,20.0,11.0,8.0,14.0,12.0,12.0,7.0,8.0,17.0,11.0,11.0,12.0
orange,19.0,13.0,11.0,9.0,11.0,12.0,8.0,19.0,9.0,7.0,13.0,11.0,19.0,12.0,18.0,0.0,8.0,13.0,11.0,20.0,14.0,18.0,14.0,13.0,15.0,15.0,17.0,13.0,10.0,11.0
papaya,12.0,10.0,8.0,12.0,11.0,15.0,10.0,12.0,18.0,10.0,0.0,7.0,12.0,11.0,12.0,0.0,6.0,15.0,8.0,14.0,20.0,0.0,0.0,0.0,16.0,0.0,0.0,11.0,9.0,10.0
passion fruit,11.0,11.0,14.0,11.0,8.0,11.0,12.0,18.0,8.0,9.0,0.0,11.0,16.0,11.0,15.0,0.0,11.0,14.0,14.0,18.0,0.0,20.0,0.0,12.0,13.0,4.0,0.0,9.0,11.0,11.0
peach,17.0,19.0,13.0,12.0,15.0,13.0,13.0,14.0,8.0,14.0,20.0,17.0,12.0,12.0,7.0,0.0,11.0,16.0,12.0,14.0,0.0,0.0,20.0,19.0,12.0,14.0,10.0,12.0,11.0,11.0
pear,19.0,13.0,11.0,10.0,11.0,10.0,9.0,8.0,11.0,9.0,11.0,14.0,12.0,7.0,12.0,0.0,12.0,12.0,12.0,13.0,0.0,0.0,30.0,20.0,11.0,16.0,13.0,17.0,11.0,12.0
pineapple,13.0,9.0,12.0,8.0,8.0,9.0,14.0,7.0,6.0,11.0,8.0,13.0,9.0,9.0,15.0,9.0,10.0,12.0,7.0,15.0,16.0,13.0,12.0,11.0,20.0,8.0,16.0,4.0,9.0,12.0
plum,16.0,16.0,11.0,14.0,11.0,12.0,12.0,11.0,14.0,14.0,17.0,16.0,15.0,5.0,11.0,0.0,14.0,12.0,8.0,26.0,0.0,4.0,14.0,16.0,8.0,20.0,8.0,15.0,14.0,12.0
pumpkin,9.0,11.0,11.0,4.0,6.0,5.0,12.0,8.0,11.0,8.0,13.0,7.0,18.0,12.0,15.0,0.0,8.0,4.0,17.0,17.0,0.0,0.0,10.0,13.0,16.0,19.0,20.0,9.0,9.0,4.0
raspberry,12.0,14.0,13.0,18.0,16.0,18.0,12.0,11.0,18.0,8.0,7.0,12.0,11.0,12.0,18.0,0.0,12.0,8.0,11.0,13.0,11.0,9.0,12.0,17.0,4.0,15.0,9.0,20.0,14.0,16.0
red currant,14.0,11.0,9.0,17.0,18.0,16.0,9.0,10.0,11.0,17.0,12.0,9.0,12.0,13.0,11.0,12.0,11.0,11.0,11.0,10.0,9.0,11.0,11.0,11.0,9.0,14.0,9.0,14.0,20.0,12.0
strawberry,13.0,12.0,10.0,14.0,16.0,12.0,11.0,11.0,11.0,14.0,13.0,12.0,15.0,11.0,13.0,14.0,12.0,12.0,12.0,11.0,10.0,11.0,11.0,12.0,12.0,12.0,4.0,16.0,12.0,20.0
