exemplar,ant,bee,beetle,bumblebee,butterfly,caterpillar,centipede,cockchafer,cockroach,cricket,dragonfly,earwig,flee,fly,fruit fly,grasshopper,horsefly,ladybug,leech,louse,mosquito,moth,spider,wasp,wood louse,worm
ant,20.0,3.0,4.0,4.0,4.0,9.0,3.0,5.0,5.0,5.0,6.0,11.0,5.0,10.0,5.0,2.0,3.0,9.0,4.0,3.0,5.0,4.0,5.0,3.0,4.0,5.0
bee,3.0,20.0,4.0,18.0,3.0,2.0,3.0,3.0,6.0,5.0,9.0,5.0,5.0,12.0,9.0,5.0,15.0,5.0,5.0,5.0,10.0,10.0,2.0,18.0,3.0,4.0
beetle,4.0,4.0,20.0,3.0,7.0,5.0,5.0,19.0,15.0,7.0,4.0,10.0,3.0,5.0,5.0,3.0,7.0,10.0,2.0,4.0,3.0,5.0,7.0,4.0,3.0,3.0
bumblebee,4.0,18.0,3.0,20.0,11.0,4.0,5.0,4.0,3.0,5.0,9.0,3.0,4.0,13.0,12.0,3.0,18.0,3.0,5.0,5.0,10.0,10.0,4.0,17.0,3.0,4.0
butterfly,4.0,3.0,7.0,11.0,20.0,10.0,3.0,5.0,4.0,2.0,12.0,5.0,3.0,11.0,10.0,4.0,9.0,5.0,6.0,3.0,9.0,17.0,7.0,11.0,4.0,5.0
caterpillar,9.0,2.0,5.0,4.0,10.0,20.0,13.0,5.0,3.0,3.0,6.0,3.0,8.0,4.0,5.0,4.0,6.0,6.0,13.0,4.0,5.0,7.0,6.0,8.0,3.0,15.0
centipede,3.0,3.0,5.0,5.0,3.0,13.0,20.0,3.0,6.0,5.0,6.0,6.0,3.0,4.0,5.0,3.0,5.0,12.0,9.0,4.0,7.0,4.0,6.0,9.0,6.0,10.0
cockchafer,5.0,3.0,19.0,4.0,5.0,5.0,3.0,20.0,9.0,6.0,7.0,9.0,2.0,5.0,4.0,3.0,3.0,11.0,3.0,4.0,3.0,4.0,3.0,3.0,10.0,3.0
cockroach,5.0,6.0,15.0,3.0,4.0,3.0,6.0,9.0,20.0,6.0,2.0,4.0,6.0,2.0,5.0,3.0,2.0,8.0,4.0,3.0,6.0,5.0,3.0,3.0,10.0,4.0
cricket,5.0,5.0,7.0,5.0,2.0,3.0,5.0,6.0,6.0,20.0,3.0,3.0,5.0,5.0,8.0,4.0,2.0,6.0,5.0,4.0,2.0,5.0,3.0,4.0,6.0,4.0
dragonfly,6.0,9.0,4.0,9.0,12.0,6.0,6.0,7.0,2.0,3.0,20.0,5.0,3.0,8.0,11.0,4.0,7.0,4.0,3.0,4.0,15.0,10.0,9.0,8.0,3.0,3.0
earwig,11.0,5.0,10.0,3.0,5.0,3.0,6.0,9.0,4.0,3.0,5.0,20.0,4.0,3.0,5.0,8.0,4.0,3.0,3.0,5.0,5.0,5.0,3.0,5.0,11.0,5.0
flee,5.0,5.0,3.0,4.0,3.0,8.0,3.0,2.0,6.0,5.0,3.0,4.0,20.0,8.0,12.0,8.0,4.0,6.0,17.0,15.0,10.0,7.0,6.0,6.0,10.0,3.0
fly,10.0,12.0,5.0,13.0,11.0,4.0,4.0,5.0,2.0,5.0,8.0,3.0,8.0,20.0,20.0,5.0,15.0,6.0,4.0,3.0,18.0,12.0,5.0,13.0,4.0,2.0
fruit fly,5.0,9.0,5.0,12.0,10.0,5.0,5.0,4.0,5.0,8.0,11.0,5.0,12.0,20.0,20.0,3.0,12.0,4.0,4.0,3.0,14.0,10.0,9.0,9.0,10.0,3.0
grasshopper,2.0,5.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0,8.0,8.0,5.0,3.0,20.0,2.0,4.0,6.0,5.0,3.0,4.0,5.0,3.0,4.0,3.0
horsefly,3.0,15.0,7.0,18.0,9.0,6.0,5.0,3.0,2.0,2.0,7.0,4.0,4.0,15.0,12.0,2.0,20.0,7.0,5.0,5.0,11.0,8.0,4.0,13.0,4.0,4.0
ladybug,9.0,5.0,10.0,3.0,5.0,6.0,12.0,11.0,8.0,6.0,4.0,3.0,6.0,6.0,4.0,4.0,7.0,20.0,4.0,8.0,5.0,5.0,5.0,4.0,15.0,4.0
leech,4.0,5.0,2.0,5.0,6.0,13.0,9.0,3.0,4.0,5.0,3.0,3.0,17.0,4.0,4.0,6.0,5.0,4.0,20.0,4.0,18.0,5.0,3.0,8.0,3.0,13.0
louse,3.0,5.0,4.0,5.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,5.0,15.0,3.0,3.0,5.0,5.0,8.0,4.0,20.0,4.0,5.0,3.0,2.0,5.0,5.0
mosquito,5.0,10.0,3.0,10.0,9.0,5.0,7.0,3.0,6.0,2.0,15.0,5.0,10.0,18.0,14.0,3.0,11.0,5.0,18.0,4.0,20.0,12.0,7.0,10.0,4.0,5.0
moth,4.0,10.0,5.0,10.0,17.0,7.0,4.0,4.0,5.0,5.0,10.0,5.0,7.0,12.0,10.0,4.0,8.0,5.0,5.0,5.0,12.0,20.0,4.0,6.0,5.0,5.0
spider,5.0,2.0,7.0,4.0,7.0,6.0,6.0,3.0,3.0,3.0,9.0,3.0,6.0,5.0,9.0,5.0,4.0,5.0,3.0,3.0,7.0,4.0,20.0,4.0,8.0,4.0
wasp,3.0,18.0,4.0,17.0,11.0,8.0,9.0,3.0,3.0,4.0,8.0,5.0,6.0,13.0,9.0,3.0,13.0,4.0,8.0,2.0,10.0,6.0,4.0,20.0,4.0,4.0
wood louse,4.0,3.0,3.0,3.0,4.0,3.0,6.0,10.0,10.0,6.0,3.0,11.0,10.0,4.0,10.0,4.0,4.0,15.0,3.0,5.0,4.0,5.0,8.0,4.0,20.0,5.0
worm,5.0,4.0,3.0,4.0,5.0,15.0,10.0,3.0,4.0,4.0,3.0,5.0,3.0,2.0,3.0,3.0,4.0,4.0,13.0,5.0,5.0,5.0,4.0,4.0,5.0,20.0
