exemplar,apron,bottle,bowl,can opener,colander,electric kettle,fork,fridge,glass,grater,kettle,knife,microwave oven,mixer,mug,nutcracker,oven,pan,percolator,place mat,plate,pot,scales,scissors,sieve,spatula,spoon,stove,teaspoon,toaster,towel,whisk,wok
apron,1.0,0.12,0.20400000000000001,0.13999999999999999,0.15833333333333333,0.18333333333333332,0.15,0.12,0.16999999999999998,0.132,0.13,0.178,0.11599999999999999,0.172,0.15,0.16,0.252,0.19,0.182,0.16599999999999998,0.176,0.20600000000000002,0.14166666666666666,0.202,0.11875,0.15833333333333333,0.148,0.244,0.14375,0.142,0.45199999999999996,0.202,0.21875
bottle,0.12,1.0,0.284,0.24,0.17916666666666667,0.26041666666666663,0.19375,0.242,0.458,0.136,0.26,0.22999999999999998,0.136,0.20400000000000001,0.33333333333333337,0.162,0.13,0.198,0.22599999999999998,0.158,0.22400000000000003,0.32,0.15208333333333332,0.128,0.14791666666666667,0.17708333333333331,0.162,0.18,0.175,0.136,0.162,0.154,0.19375
bowl,0.20400000000000001,0.284,1.0,0.22599999999999998,0.4729166666666667,0.23541666666666666,0.21875,0.198,0.33199999999999996,0.16999999999999998,0.422,0.178,0.24,0.294,0.4875,0.146,0.322,0.5,0.304,0.20400000000000001,0.49800000000000005,0.6980000000000001,0.3,0.136,0.33541666666666664,0.23958333333333334,0.202,0.20400000000000001,0.16666666666666669,0.144,0.18,0.294,0.5645833333333333
can opener,0.13999999999999999,0.24,0.22599999999999998,1.0,0.17291666666666666,0.21458333333333335,0.2791666666666667,0.172,0.13999999999999999,0.2,0.16799999999999998,0.356,0.19,0.252,0.12916666666666668,0.34199999999999997,0.176,0.148,0.21000000000000002,0.21000000000000002,0.21000000000000002,0.24,0.17708333333333331,0.36,0.19583333333333333,0.18333333333333332,0.268,0.16799999999999998,0.20416666666666666,0.176,0.11200000000000002,0.314,0.16041666666666668
colander,0.15833333333333333,0.17916666666666667,0.4729166666666667,0.17291666666666666,1.0,0.23541666666666666,0.23333333333333334,0.1625,0.16458333333333333,0.24583333333333335,0.3104166666666667,0.13125,0.14375,0.18125,0.19791666666666669,0.125,0.19375,0.28541666666666665,0.29166666666666663,0.14791666666666667,0.30416666666666664,0.39583333333333337,0.19166666666666668,0.12708333333333333,0.5645833333333333,0.18541666666666667,0.15833333333333333,0.16458333333333333,0.14791666666666667,0.16041666666666668,0.225,0.1875,0.30833333333333335
electric kettle,0.18333333333333332,0.26041666666666663,0.23541666666666666,0.21458333333333335,0.23541666666666666,1.0,0.16041666666666668,0.20833333333333334,0.33125,0.17708333333333331,0.4645833333333333,0.1125,0.3625,0.20625,0.36666666666666664,0.2520833333333333,0.36458333333333337,0.36666666666666664,0.4958333333333333,0.14583333333333331,0.17291666666666666,0.37083333333333335,0.23333333333333334,0.16041666666666668,0.16041666666666668,0.14583333333333331,0.17083333333333334,0.35833333333333334,0.24166666666666664,0.30833333333333335,0.18541666666666667,0.175,0.26875
fork,0.15,0.19375,0.21875,0.2791666666666667,0.23333333333333334,0.16041666666666668,1.0,0.13958333333333334,0.225,0.30416666666666664,0.16875,0.5770833333333333,0.20625,0.29375,0.2,0.20833333333333334,0.24375,0.2375,0.18125,0.18125,0.37916666666666665,0.2,0.15833333333333333,0.39791666666666664,0.21458333333333335,0.39791666666666664,0.6270833333333333,0.18958333333333333,0.4791666666666667,0.18958333333333333,0.18333333333333332,0.4354166666666667,0.30625
fridge,0.12,0.242,0.198,0.172,0.1625,0.20833333333333334,0.13958333333333334,1.0,0.22999999999999998,0.132,0.16999999999999998,0.144,0.38,0.244,0.16041666666666668,0.15,0.33199999999999996,0.172,0.198,0.1,0.172,0.188,0.18333333333333332,0.16599999999999998,0.10416666666666667,0.14791666666666667,0.142,0.392,0.12291666666666667,0.27599999999999997,0.162,0.13,0.21041666666666664
glass,0.16999999999999998,0.458,0.33199999999999996,0.13999999999999999,0.16458333333333333,0.33125,0.225,0.22999999999999998,1.0,0.172,0.22000000000000003,0.20800000000000002,0.21000000000000002,0.154,0.6520833333333333,0.144,0.152,0.242,0.246,0.194,0.352,0.32,0.16458333333333333,0.20400000000000001,0.18541666666666667,0.18958333333333333,0.246,0.162,0.1875,0.11599999999999999,0.152,0.182,0.22291666666666665
grater,0.132,0.136,0.16999999999999998,0.2,0.24583333333333335,0.17708333333333331,0.30416666666666664,0.132,0.172,1.0,0.21000000000000002,0.374,0.142,0.274,0.18125,0.21600000000000003,0.126,0.22599999999999998,0.144,0.16399999999999998,0.194,0.182,0.18125,0.352,0.41875,0.2875,0.2,0.13999999999999999,0.15833333333333333,0.16399999999999998,0.16,0.252,0.1625
kettle,0.13,0.26,0.422,0.16799999999999998,0.3104166666666667,0.4645833333333333,0.16875,0.16999999999999998,0.22000000000000003,0.21000000000000002,1.0,0.196,0.362,0.198,0.28125,0.122,0.352,0.40800000000000003,0.418,0.202,0.264,0.6639999999999999,0.2,0.144,0.25833333333333336,0.24166666666666664,0.23399999999999999,0.38,0.28958333333333336,0.246,0.20400000000000001,0.238,0.3458333333333333
knife,0.178,0.22999999999999998,0.178,0.356,0.13125,0.1125,0.5770833333333333,0.144,0.20800000000000002,0.374,0.196,1.0,0.186,0.21400000000000002,0.24791666666666665,0.196,0.18,0.22999999999999998,0.148,0.13799999999999998,0.354,0.202,0.18541666666666667,0.614,0.22291666666666665,0.39166666666666666,0.592,0.23199999999999998,0.4041666666666667,0.174,0.158,0.282,0.15625
microwave oven,0.11599999999999999,0.136,0.24,0.19,0.14375,0.3625,0.20625,0.38,0.21000000000000002,0.142,0.362,0.186,1.0,0.21000000000000002,0.27708333333333335,0.154,0.658,0.33199999999999996,0.294,0.176,0.238,0.262,0.19791666666666669,0.128,0.12291666666666667,0.11875,0.156,0.45999999999999996,0.13333333333333333,0.356,0.156,0.18,0.23958333333333334
mixer,0.172,0.20400000000000001,0.294,0.252,0.18125,0.20625,0.29375,0.244,0.154,0.274,0.198,0.21400000000000002,0.21000000000000002,1.0,0.17916666666666667,0.21800000000000003,0.20400000000000001,0.20600000000000002,0.324,0.144,0.192,0.21800000000000003,0.19166666666666668,0.248,0.20416666666666666,0.32291666666666663,0.286,0.21200000000000002,0.1875,0.22999999999999998,0.142,0.732,0.17291666666666666
mug,0.15,0.33333333333333337,0.4875,0.12916666666666668,0.19791666666666669,0.36666666666666664,0.2,0.16041666666666668,0.6520833333333333,0.18125,0.28125,0.24791666666666665,0.27708333333333335,0.17916666666666667,1.0,0.15,0.14791666666666667,0.23958333333333334,0.4083333333333333,0.22916666666666666,0.35625,0.4270833333333333,0.175,0.23125,0.12916666666666668,0.20416666666666666,0.30625,0.12708333333333333,0.27083333333333337,0.1625,0.14791666666666667,0.19166666666666668,0.27291666666666664
nutcracker,0.16,0.162,0.146,0.34199999999999997,0.125,0.2520833333333333,0.20833333333333334,0.15,0.144,0.21600000000000003,0.122,0.196,0.154,0.21800000000000003,0.15,1.0,0.154,0.142,0.16799999999999998,0.144,0.13,0.152,0.225,0.302,0.14583333333333331,0.20208333333333334,0.21800000000000003,0.162,0.20625,0.158,0.136,0.268,0.14791666666666667
oven,0.252,0.13,0.322,0.176,0.19375,0.36458333333333337,0.24375,0.33199999999999996,0.152,0.126,0.352,0.18,0.658,0.20400000000000001,0.14791666666666667,0.154,1.0,0.404,0.21400000000000002,0.176,0.188,0.324,0.21041666666666664,0.146,0.13125,0.15,0.128,0.536,0.14791666666666667,0.374,0.20800000000000002,0.15,0.35625
pan,0.19,0.198,0.5,0.148,0.28541666666666665,0.36666666666666664,0.2375,0.172,0.242,0.22599999999999998,0.40800000000000003,0.22999999999999998,0.33199999999999996,0.20600000000000002,0.23958333333333334,0.142,0.404,1.0,0.162,0.24,0.344,0.734,0.175,0.142,0.26666666666666666,0.20416666666666666,0.238,0.43,0.16875,0.262,0.15,0.20800000000000002,0.5583333333333333
percolator,0.182,0.22599999999999998,0.304,0.21000000000000002,0.29166666666666663,0.4958333333333333,0.18125,0.198,0.246,0.144,0.418,0.148,0.294,0.324,0.4083333333333333,0.16799999999999998,0.21400000000000002,0.162,1.0,0.186,0.16799999999999998,0.382,0.16041666666666668,0.118,0.24583333333333335,0.175,0.272,0.378,0.24583333333333335,0.296,0.146,0.16799999999999998,0.16875
place mat,0.16599999999999998,0.158,0.20400000000000001,0.21000000000000002,0.14791666666666667,0.14583333333333331,0.18125,0.1,0.194,0.16399999999999998,0.202,0.13799999999999998,0.176,0.144,0.22916666666666666,0.144,0.176,0.24,0.186,1.0,0.378,0.238,0.18333333333333332,0.128,0.15,0.18958333333333333,0.176,0.13799999999999998,0.15,0.21200000000000002,0.312,0.23199999999999998,0.15416666666666667
plate,0.176,0.22400000000000003,0.49800000000000005,0.21000000000000002,0.30416666666666664,0.17291666666666666,0.37916666666666665,0.172,0.352,0.194,0.264,0.354,0.238,0.192,0.35625,0.13,0.188,0.344,0.16799999999999998,0.378,1.0,0.422,0.2791666666666667,0.144,0.24375,0.12708333333333333,0.398,0.21000000000000002,0.3,0.22200000000000003,0.16799999999999998,0.158,0.34791666666666665
