exemplar,apron,bottle,bowl,can opener,colander,electric kettle,fork,fridge,glass,grater,kettle,knife,microwave oven,mixer,mug,nutcracker,oven,pan,percolator,place mat,plate,pot,scales,scissors,sieve,spatula,spoon,stove,teaspoon,toaster,towel,whisk,wok
apron,20.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,5.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,12.0,1.0,2.0
bottle,1.0,20.0,1.0,1.0,8.0,12.0,9.0,5.0,14.0,1.0,5.0,9.0,1.0,1.0,5.0,1.0,1.0,1.0,4.0,1.0,1.0,2.0,1.0,4.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
bowl,2.0,1.0,20.0,6.0,18.0,1.0,1.0,1.0,13.0,1.0,8.0,7.0,1.0,8.0,12.0,5.0,7.0,8.0,8.0,11.0,17.0,12.0,4.0,1.0,18.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,9.0
can opener,1.0,1.0,6.0,20.0,1.0,2.0,8.0,1.0,2.0,4.0,1.0,12.0,1.0,11.0,1.0,16.0,1.0,5.0,5.0,5.0,8.0,10.0,2.0,15.0,3.0,2.0,11.0,1.0,11.0,3.0,1.0,17.0,5.0
colander,1.0,8.0,18.0,1.0,20.0,5.0,1.0,1.0,1.0,11.0,15.0,1.0,7.0,1.0,10.0,2.0,1.0,10.0,6.0,1.0,15.0,14.0,1.0,1.0,18.0,1.0,1.0,1.0,1.0,2.0,1.0,4.0,5.0
electric kettle,2.0,12.0,1.0,2.0,5.0,20.0,1.0,1.0,1.0,8.0,7.0,1.0,8.0,1.0,5.0,1.0,10.0,4.0,16.0,4.0,1.0,8.0,1.0,1.0,2.0,1.0,1.0,6.0,1.0,3.0,1.0,4.0,1.0
fork,1.0,9.0,1.0,8.0,1.0,1.0,20.0,1.0,6.0,12.0,1.0,18.0,1.0,10.0,5.0,3.0,1.0,6.0,1.0,1.0,5.0,9.0,1.0,8.0,2.0,16.0,18.0,1.0,15.0,1.0,1.0,8.0,3.0
fridge,1.0,5.0,1.0,1.0,1.0,1.0,1.0,20.0,1.0,1.0,5.0,2.0,5.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,11.0,1.0,6.0,1.0,1.0,1.0
glass,5.0,14.0,13.0,2.0,1.0,1.0,6.0,1.0,20.0,5.0,2.0,4.0,1.0,1.0,14.0,1.0,1.0,1.0,8.0,1.0,4.0,5.0,1.0,5.0,5.0,1.0,8.0,1.0,1.0,1.0,1.0,11.0,1.0
grater,2.0,1.0,1.0,4.0,11.0,8.0,12.0,1.0,5.0,20.0,3.0,6.0,5.0,11.0,6.0,12.0,1.0,5.0,2.0,2.0,3.0,1.0,1.0,8.0,15.0,2.0,5.0,1.0,1.0,1.0,1.0,8.0,2.0
kettle,1.0,5.0,8.0,1.0,15.0,7.0,1.0,5.0,2.0,3.0,20.0,4.0,10.0,1.0,10.0,1.0,6.0,7.0,8.0,5.0,2.0,15.0,1.0,2.0,4.0,1.0,1.0,12.0,1.0,4.0,1.0,3.0,10.0
knife,1.0,9.0,7.0,12.0,1.0,1.0,18.0,2.0,4.0,6.0,4.0,20.0,2.0,7.0,10.0,7.0,1.0,1.0,1.0,1.0,7.0,5.0,1.0,16.0,1.0,16.0,18.0,1.0,16.0,8.0,1.0,7.0,2.0
microwave oven,1.0,1.0,1.0,1.0,7.0,8.0,1.0,5.0,1.0,5.0,10.0,2.0,20.0,1.0,11.0,1.0,18.0,1.0,3.0,1.0,2.0,11.0,1.0,2.0,1.0,1.0,1.0,12.0,1.0,11.0,6.0,1.0,2.0
mixer,1.0,1.0,8.0,11.0,1.0,1.0,10.0,1.0,1.0,11.0,1.0,7.0,1.0,20.0,1.0,5.0,2.0,1.0,3.0,1.0,2.0,3.0,1.0,12.0,7.0,14.0,10.0,1.0,5.0,6.0,1.0,17.0,1.0
mug,1.0,5.0,12.0,1.0,10.0,5.0,5.0,1.0,14.0,6.0,10.0,10.0,11.0,1.0,20.0,1.0,1.0,2.0,10.0,1.0,3.0,4.0,1.0,10.0,2.0,1.0,16.0,1.0,3.0,1.0,1.0,1.0,5.0
nutcracker,1.0,1.0,5.0,16.0,2.0,1.0,3.0,1.0,1.0,12.0,1.0,7.0,1.0,5.0,1.0,20.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,16.0,3.0,8.0,3.0,1.0,5.0,4.0,4.0,13.0,2.0
oven,4.0,1.0,7.0,1.0,1.0,10.0,1.0,1.0,1.0,1.0,6.0,1.0,18.0,2.0,1.0,1.0,20.0,1.0,4.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,11.0,1.0,6.0,1.0,1.0,1.0
pan,1.0,1.0,8.0,5.0,10.0,4.0,6.0,2.0,1.0,5.0,7.0,1.0,1.0,1.0,2.0,1.0,1.0,20.0,1.0,10.0,8.0,15.0,6.0,5.0,14.0,1.0,5.0,9.0,1.0,1.0,1.0,6.0,18.0
percolator,1.0,4.0,8.0,5.0,6.0,16.0,1.0,1.0,8.0,2.0,8.0,1.0,3.0,3.0,10.0,1.0,4.0,1.0,20.0,1.0,1.0,10.0,1.0,1.0,1.0,1.0,5.0,6.0,1.0,10.0,1.0,1.0,2.0
place mat,1.0,1.0,11.0,5.0,1.0,4.0,1.0,1.0,1.0,2.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,1.0,20.0,18.0,10.0,2.0,1.0,4.0,2.0,1.0,1.0,1.0,2.0,1.0,4.0,3.0
plate,1.0,1.0,17.0,8.0,15.0,1.0,5.0,1.0,4.0,3.0,2.0,7.0,2.0,2.0,3.0,3.0,1.0,8.0,1.0,18.0,20.0,10.0,2.0,1.0,6.0,1.0,2.0,1.0,10.0,1.0,1.0,1.0,14.0
pot,1.0,2.0,12.0,10.0,14.0,8.0,9.0,1.0,5.0,1.0,15.0,5.0,11.0,3.0,4.0,1.0,2.0,15.0,10.0,10.0,10.0,20.0,7.0,1.0,11.0,2.0,2.0,7.0,2.0,1.0,11.0,10.0,17.0
scales,2.0,1.0,4.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,1.0,2.0,2.0,7.0,20.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
scissors,1.0,4.0,1.0,15.0,1.0,1.0,8.0,1.0,5.0,8.0,2.0,16.0,2.0,12.0,10.0,16.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,20.0,1.0,15.0,13.0,1.0,5.0,1.0,1.0,12.0,1.0
sieve,1.0,2.0,18.0,3.0,18.0,2.0,2.0,1.0,5.0,15.0,4.0,1.0,1.0,7.0,2.0,3.0,1.0,14.0,1.0,4.0,6.0,11.0,2.0,1.0,20.0,1.0,3.0,1.0,5.0,8.0,3.0,5.0,10.0
spatula,1.0,1.0,1.0,2.0,1.0,1.0,16.0,1.0,1.0,2.0,1.0,16.0,1.0,14.0,1.0,8.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,15.0,1.0,20.0,17.0,1.0,6.0,1.0,5.0,18.0,2.0
spoon,4.0,2.0,1.0,11.0,1.0,1.0,18.0,1.0,8.0,5.0,1.0,18.0,1.0,10.0,16.0,3.0,1.0,5.0,5.0,1.0,2.0,2.0,1.0,13.0,3.0,17.0,20.0,1.0,18.0,2.0,1.0,14.0,4.0
stove,1.0,1.0,1.0,1.0,1.0,6.0,1.0,11.0,1.0,1.0,12.0,1.0,12.0,1.0,1.0,1.0,11.0,9.0,6.0,1.0,1.0,7.0,1.0,1.0,1.0,1.0,1.0,20.0,1.0,7.0,1.0,2.0,5.0
teaspoon,1.0,1.0,1.0,11.0,1.0,1.0,15.0,1.0,1.0,1.0,1.0,16.0,1.0,5.0,3.0,5.0,1.0,1.0,1.0,1.0,10.0,2.0,1.0,5.0,5.0,6.0,18.0,1.0,20.0,5.0,1.0,8.0,1.0
toaster,1.0,1.0,1.0,3.0,2.0,3.0,1.0,6.0,1.0,1.0,4.0,8.0,11.0,6.0,1.0,4.0,6.0,1.0,10.0,2.0,1.0,1.0,1.0,1.0,8.0,1.0,2.0,7.0,5.0,20.0,2.0,1.0,1.0
