exemplar,bat,beaver,bison,cat,cow,deer,dog,donkey,dromedary,elephant,fox,giraffe,hamster,hedgehog,hippopotamus,horse,kangaroo,lion,llama,monkey,mouse,pig,polar bear,rabbit,rhinoceros,sheep,squirrel,tiger,wolf,zebra
bat,1.0,0.29473684210526313,0.29210526315789476,0.3394736842105263,0.2657894736842105,0.30526315789473685,0.3026315789473684,0.2894736842105263,0.23947368421052634,0.24473684210526314,0.32105263157894737,0.26052631578947366,0.4184210526315789,0.35789473684210527,0.25526315789473686,0.25526315789473686,0.2868421052631579,0.25526315789473686,0.24210526315789474,0.32105263157894737,0.43684210526315786,0.2710526315789474,0.25263157894736843,0.3157894736842105,0.25,0.3078947368421053,0.41578947368421054,0.2973684210526316,0.2894736842105263,0.25526315789473686
beaver,0.29473684210526313,1.0,0.3394736842105263,0.43157894736842106,0.3,0.3710526315789474,0.3631578947368421,0.3263157894736842,0.3263157894736842,0.2710526315789474,0.41578947368421054,0.28157894736842104,0.4947368421052632,0.3973684210526316,0.3315789473684211,0.3236842105263158,0.3789473684210526,0.3605263157894737,0.3078947368421053,0.3236842105263158,0.3868421052631579,0.38421052631578945,0.39473684210526316,0.5026315789473684,0.3473684210526316,0.3394736842105263,0.45,0.33421052631578946,0.3526315789473684,0.31842105263157894
bison,0.29210526315789476,0.3394736842105263,1.0,0.28157894736842104,0.6078947368421053,0.45,0.3473684210526316,0.4552631578947368,0.46578947368421053,0.49736842105263157,0.35,0.39210526315789473,0.2473684210526316,0.3078947368421053,0.5236842105263158,0.47631578947368425,0.3394736842105263,0.4894736842105263,0.5342105263157895,0.3368421052631579,0.21052631578947367,0.42894736842105263,0.4473684210526316,0.29210526315789476,0.5631578947368421,0.4447368421052632,0.26842105263157895,0.4631578947368421,0.4526315789473684,0.5026315789473684
cat,0.3394736842105263,0.43157894736842106,0.28157894736842104,1.0,0.3289473684210526,0.3815789473684211,0.5973684210526315,0.3368421052631579,0.3315789473684211,0.2894736842105263,0.531578947368421,0.28421052631578947,0.4552631578947368,0.3710526315789474,0.2789473684210526,0.35,0.29473684210526313,0.5973684210526315,0.30526315789473685,0.3315789473684211,0.3868421052631579,0.3526315789473684,0.31052631578947365,0.4631578947368421,0.2736842105263158,0.3789473684210526,0.43157894736842106,0.7157894736842105,0.5131578947368421,0.31315789473684214
cow,0.2657894736842105,0.3,0.6078947368421053,0.3289473684210526,1.0,0.5394736842105263,0.30526315789473685,0.5578947368421052,0.4078947368421052,0.4842105263157895,0.35789473684210527,0.3973684210526316,0.2657894736842105,0.29473684210526313,0.5263157894736843,0.5605263157894738,0.3631578947368421,0.4026315789473684,0.4842105263157895,0.3447368421052631,0.2710526315789474,0.48684210526315785,0.3447368421052631,0.2973684210526316,0.47631578947368425,0.4552631578947368,0.28421052631578947,0.38421052631578945,0.3763157894736842,0.5289473684210526
deer,0.30526315789473685,0.3710526315789474,0.45,0.3815789473684211,0.5394736842105263,1.0,0.43684210526315786,0.5421052631578948,0.43684210526315786,0.3973684210526316,0.4473684210526316,0.4631578947368421,0.31052631578947365,0.30526315789473685,0.38421052631578945,0.5157894736842106,0.4526315789473684,0.38421052631578945,0.5342105263157895,0.29210526315789476,0.2657894736842105,0.3684210526315789,0.35526315789473684,0.3684210526315789,0.4078947368421052,0.41578947368421054,0.35526315789473684,0.41578947368421054,0.42105263157894735,0.5052631578947369
dog,0.3026315789473684,0.3631578947368421,0.3473684210526316,0.5973684210526315,0.30526315789473685,0.43684210526315786,1.0,0.4236842105263158,0.3631578947368421,0.3710526315789474,0.6289473684210527,0.3026315789473684,0.3447368421052631,0.3263157894736842,0.36578947368421055,0.4473684210526316,0.34210526315789475,0.4631578947368421,0.4078947368421052,0.3736842105263158,0.3368421052631579,0.4026315789473684,0.3368421052631579,0.45789473684210524,0.30526315789473685,0.42894736842105263,0.3394736842105263,0.47105263157894733,0.6763157894736842,0.3789473684210526
donkey,0.2894736842105263,0.3263157894736842,0.4552631578947368,0.3368421052631579,0.5578947368421052,0.5421052631578948,0.4236842105263158,1.0,0.5,0.3973684210526316,0.35789473684210527,0.4473684210526316,0.25526315789473686,0.32105263157894737,0.3763157894736842,0.8236842105263158,0.35,0.4026315789473684,0.5684210526315789,0.3368421052631579,0.32105263157894737,0.42631578947368426,0.3263157894736842,0.35,0.41578947368421054,0.45,0.31052631578947365,0.3868421052631579,0.39473684210526316,0.6289473684210527
dromedary,0.23947368421052634,0.3263157894736842,0.46578947368421053,0.3315789473684211,0.4078947368421052,0.43684210526315786,0.3631578947368421,0.5,1.0,0.4342105263157895,0.32105263157894737,0.5052631578947369,0.26315789473684215,0.3078947368421053,0.4894736842105263,0.5368421052631579,0.4078947368421052,0.4236842105263158,0.6368421052631579,0.35526315789473684,0.2263157894736842,0.35526315789473684,0.32105263157894737,0.2657894736842105,0.4421052631578948,0.4,0.32105263157894737,0.3736842105263158,0.3526315789473684,0.4526315789473684
elephant,0.24473684210526314,0.2710526315789474,0.49736842105263157,0.2894736842105263,0.4842105263157895,0.3973684210526316,0.3710526315789474,0.3973684210526316,0.4342105263157895,1.0,0.2868421052631579,0.49210526315789477,0.25263157894736843,0.2973684210526316,0.5657894736842105,0.4421052631578948,0.3763157894736842,0.41578947368421054,0.39210526315789473,0.3473684210526316,0.23947368421052634,0.3526315789473684,0.42105263157894735,0.2868421052631579,0.5526315789473684,0.3289473684210526,0.24473684210526314,0.43157894736842106,0.35,0.4447368421052632
fox,0.32105263157894737,0.41578947368421054,0.35,0.531578947368421,0.35789473684210527,0.4473684210526316,0.6289473684210527,0.35789473684210527,0.32105263157894737,0.2868421052631579,1.0,0.3315789473684211,0.35789473684210527,0.3394736842105263,0.33421052631578946,0.38421052631578945,0.3684210526315789,0.4789473684210527,0.39210526315789473,0.35526315789473684,0.31842105263157894,0.3789473684210526,0.3815789473684211,0.39210526315789473,0.35789473684210527,0.42105263157894735,0.4236842105263158,0.4842105263157895,0.6947368421052632,0.38421052631578945
