exemplar,bat,beaver,bison,cat,cow,deer,dog,donkey,dromedary,elephant,fox,giraffe,hamster,hedgehog,hippopotamus,horse,kangaroo,lion,llama,monkey,mouse,pig,polar bear,rabbit,rhinoceros,sheep,squirrel,tiger,wolf,zebra
bat,20.0,8.0,8.0,9.0,8.0,7.0,8.0,8.0,7.0,5.0,7.0,8.0,14.0,11.0,7.0,6.0,7.0,6.0,6.0,4.0,14.0,6.0,8.0,8.0,7.0,11.0,12.0,9.0,6.0,8.0
beaver,8.0,20.0,7.0,13.0,8.0,9.0,10.0,8.0,8.0,6.0,8.0,10.0,12.0,12.0,7.0,9.0,9.0,10.0,7.0,7.0,10.0,10.0,9.0,13.0,11.0,9.0,10.0,9.0,7.0,7.0
bison,8.0,7.0,20.0,8.0,15.0,10.0,6.0,8.0,9.0,9.0,8.0,11.0,8.0,10.0,13.0,11.0,9.0,9.0,12.0,11.0,4.0,8.0,12.0,6.0,11.0,12.0,7.0,11.0,12.0,12.0
cat,9.0,13.0,8.0,20.0,7.0,8.0,14.0,10.0,10.0,6.0,9.0,11.0,7.0,10.0,7.0,11.0,8.0,14.0,11.0,9.0,8.0,8.0,7.0,8.0,8.0,11.0,11.0,16.0,9.0,8.0
cow,8.0,8.0,15.0,7.0,20.0,12.0,8.0,12.0,8.0,8.0,9.0,9.0,6.0,8.0,7.0,11.0,10.0,9.0,13.0,5.0,9.0,14.0,8.0,8.0,11.0,13.0,9.0,7.0,9.0,7.0
deer,7.0,9.0,10.0,8.0,12.0,20.0,11.0,13.0,12.0,8.0,12.0,8.0,6.0,8.0,7.0,14.0,11.0,8.0,13.0,8.0,9.0,8.0,8.0,9.0,9.0,9.0,6.0,13.0,12.0,12.0
dog,8.0,10.0,6.0,14.0,8.0,11.0,20.0,8.0,8.0,12.0,14.0,8.0,7.0,9.0,7.0,11.0,9.0,13.0,12.0,9.0,7.0,9.0,8.0,8.0,7.0,9.0,8.0,9.0,15.0,8.0
donkey,8.0,8.0,8.0,10.0,12.0,13.0,8.0,20.0,11.0,12.0,9.0,12.0,9.0,7.0,8.0,16.0,8.0,9.0,15.0,8.0,6.0,12.0,7.0,9.0,9.0,9.0,8.0,8.0,10.0,14.0
dromedary,7.0,8.0,9.0,10.0,8.0,12.0,8.0,11.0,20.0,8.0,6.0,13.0,8.0,7.0,9.0,9.0,9.0,8.0,13.0,9.0,7.0,8.0,8.0,8.0,10.0,11.0,8.0,9.0,8.0,13.0
elephant,5.0,6.0,9.0,6.0,8.0,8.0,12.0,12.0,8.0,20.0,8.0,11.0,5.0,6.0,12.0,8.0,10.0,11.0,6.0,12.0,5.0,7.0,8.0,9.0,13.0,9.0,6.0,13.0,9.0,7.0
fox,7.0,8.0,8.0,9.0,9.0,12.0,14.0,9.0,6.0,8.0,20.0,8.0,8.0,11.0,8.0,11.0,9.0,12.0,8.0,8.0,5.0,8.0,7.0,7.0,10.0,12.0,9.0,10.0,14.0,9.0
giraffe,8.0,10.0,11.0,11.0,9.0,8.0,8.0,12.0,13.0,11.0,8.0,20.0,7.0,7.0,10.0,12.0,12.0,11.0,9.0,11.0,7.0,9.0,6.0,10.0,10.0,8.0,5.0,12.0,9.0,12.0
hamster,14.0,12.0,8.0,7.0,6.0,6.0,7.0,9.0,8.0,5.0,8.0,7.0,20.0,12.0,8.0,11.0,7.0,7.0,8.0,7.0,15.0,7.0,9.0,14.0,6.0,8.0,14.0,9.0,6.0,8.0
hedgehog,11.0,12.0,10.0,10.0,8.0,8.0,9.0,7.0,7.0,6.0,11.0,7.0,12.0,20.0,6.0,7.0,6.0,7.0,7.0,6.0,12.0,7.0,8.0,13.0,6.0,9.0,13.0,7.0,9.0,7.0
hippopotamus,7.0,7.0,13.0,7.0,7.0,7.0,7.0,8.0,9.0,12.0,8.0,10.0,8.0,6.0,20.0,12.0,8.0,11.0,8.0,7.0,6.0,7.0,9.0,8.0,14.0,7.0,6.0,10.0,9.0,13.0
horse,6.0,9.0,11.0,11.0,11.0,14.0,11.0,16.0,9.0,8.0,11.0,12.0,11.0,7.0,12.0,20.0,9.0,8.0,13.0,8.0,8.0,9.0,7.0,10.0,11.0,9.0,7.0,11.0,11.0,15.0
kangaroo,7.0,9.0,9.0,8.0,10.0,11.0,9.0,8.0,9.0,10.0,9.0,12.0,7.0,6.0,8.0,9.0,20.0,11.0,8.0,9.0,6.0,9.0,10.0,7.0,8.0,8.0,7.0,12.0,7.0,10.0
lion,6.0,10.0,9.0,14.0,9.0,8.0,13.0,9.0,8.0,11.0,12.0,11.0,7.0,7.0,11.0,8.0,11.0,20.0,12.0,9.0,5.0,7.0,8.0,6.0,13.0,7.0,7.0,13.0,8.0,12.0
llama,6.0,7.0,12.0,11.0,13.0,13.0,12.0,15.0,13.0,6.0,8.0,9.0,8.0,7.0,8.0,13.0,8.0,12.0,20.0,6.0,7.0,9.0,7.0,6.0,10.0,14.0,6.0,12.0,10.0,13.0
monkey,4.0,7.0,11.0,9.0,5.0,8.0,9.0,8.0,9.0,12.0,8.0,11.0,7.0,6.0,7.0,8.0,9.0,9.0,6.0,20.0,6.0,8.0,9.0,8.0,7.0,8.0,7.0,11.0,9.0,10.0
mouse,14.0,10.0,4.0,8.0,9.0,9.0,7.0,6.0,7.0,5.0,5.0,7.0,15.0,12.0,6.0,8.0,6.0,5.0,7.0,6.0,20.0,9.0,6.0,7.0,5.0,7.0,12.0,7.0,6.0,7.0
pig,6.0,10.0,8.0,8.0,14.0,8.0,9.0,12.0,8.0,7.0,8.0,9.0,7.0,7.0,7.0,9.0,9.0,7.0,9.0,8.0,9.0,20.0,8.0,12.0,7.0,13.0,8.0,9.0,7.0,7.0
polar bear,8.0,9.0,12.0,7.0,8.0,8.0,8.0,7.0,8.0,8.0,7.0,6.0,9.0,8.0,9.0,7.0,10.0,8.0,7.0,9.0,6.0,8.0,20.0,8.0,8.0,8.0,7.0,12.0,8.0,9.0
rabbit,8.0,13.0,6.0,8.0,8.0,9.0,8.0,9.0,8.0,9.0,7.0,10.0,14.0,13.0,8.0,10.0,7.0,6.0,6.0,8.0,7.0,12.0,8.0,20.0,6.0,7.0,14.0,6.0,11.0,11.0
rhinoceros,7.0,11.0,11.0,8.0,11.0,9.0,7.0,9.0,10.0,13.0,10.0,10.0,6.0,6.0,14.0,11.0,8.0,13.0,10.0,7.0,5.0,7.0,8.0,6.0,20.0,7.0,7.0,8.0,11.0,9.0
