exemplar,accordion,bagpipe,banjo,bass guitar,bassoon,cello,clarinet,cymbals,double bass,drum,drum set,flute,guitar,harmonica,harp,harpsichord,organ,pan flute,piano,recorder,saxophone,synthesizer,tambourine,triangle,trombone,trumpet,violin
accordion,1.0,0.534375,0.3764705882352941,0.3125,0.28076923076923077,0.34375,0.37142857142857144,0.33125,0.35,0.325,0.315625,0.3375,0.3678571428571428,0.5083333333333333,0.37142857142857144,0.4458333333333333,0.5458333333333333,0.4083333333333333,0.4166666666666667,0.375,0.525,0.4291666666666667,0.35833333333333334,0.3125,0.37083333333333335,0.37916666666666665,0.30833333333333335
bagpipe,0.534375,1.0,0.334375,0.290625,0.5269230769230769,0.290625,0.475,0.259375,0.309375,0.30416666666666664,0.271875,0.409375,0.32857142857142857,0.4625,0.2928571428571428,0.325,0.4791666666666667,0.375,0.33333333333333337,0.46785714285714286,0.4416666666666667,0.30416666666666664,0.3458333333333333,0.26666666666666666,0.45,0.4333333333333333,0.3125
banjo,0.3764705882352941,0.334375,1.0,0.684375,0.3576923076923077,0.54375,0.325,0.3,0.525,0.29583333333333334,0.321875,0.271875,0.8178571428571428,0.35416666666666663,0.4642857142857143,0.30833333333333335,0.30833333333333335,0.4041666666666667,0.31666666666666665,0.32857142857142857,0.32083333333333336,0.27083333333333337,0.4458333333333333,0.29583333333333334,0.2625,0.29583333333333334,0.5125
bass guitar,0.3125,0.290625,0.684375,1.0,0.27692307692307694,0.471875,0.35357142857142854,0.265625,0.659375,0.31666666666666665,0.38125,0.284375,0.8928571428571429,0.325,0.46785714285714286,0.3625,0.29166666666666663,0.29166666666666663,0.33333333333333337,0.2785714285714286,0.36666666666666664,0.33333333333333337,0.3375,0.27083333333333337,0.3416666666666667,0.33333333333333337,0.5375
bassoon,0.28076923076923077,0.5269230769230769,0.3576923076923077,0.27692307692307694,1.0,0.26153846153846155,0.7461538461538462,0.27692307692307694,0.3423076923076923,0.29166666666666663,0.2576923076923077,0.5576923076923077,0.2576923076923077,0.4166666666666667,0.3230769230769231,0.2875,0.4166666666666667,0.5041666666666667,0.3,0.7038461538461538,0.6625,0.30416666666666664,0.3,0.2791666666666667,0.5791666666666667,0.6125,0.35416666666666663
cello,0.34375,0.290625,0.54375,0.471875,0.26153846153846155,1.0,0.325,0.303125,0.7125,0.2875,0.28125,0.315625,0.5214285714285715,0.2833333333333333,0.5607142857142857,0.4083333333333333,0.30416666666666664,0.325,0.36666666666666664,0.3678571428571428,0.29166666666666663,0.3125,0.30416666666666664,0.30833333333333335,0.29583333333333334,0.32083333333333336,0.7791666666666667
clarinet,0.37142857142857144,0.475,0.325,0.35357142857142854,0.7461538461538462,0.325,1.0,0.3,0.3321428571428572,0.33333333333333337,0.26785714285714285,0.6642857142857144,0.32142857142857145,0.4083333333333333,0.3464285714285714,0.3,0.37916666666666665,0.5375,0.325,0.6821428571428572,0.6666666666666667,0.2833333333333333,0.35833333333333334,0.30833333333333335,0.6083333333333333,0.6541666666666667,0.33333333333333337
cymbals,0.33125,0.259375,0.3,0.265625,0.27692307692307694,0.303125,0.3,1.0,0.253125,0.525,0.6125,0.25625,0.3,0.31666666666666665,0.33571428571428574,0.35833333333333334,0.2875,0.29166666666666663,0.25416666666666665,0.26071428571428573,0.30416666666666664,0.3375,0.6791666666666667,0.5708333333333333,0.32083333333333336,0.2875,0.25833333333333336
double bass,0.35,0.309375,0.525,0.659375,0.3423076923076923,0.7125,0.3321428571428572,0.253125,1.0,0.325,0.275,0.31875,0.5857142857142856,0.3125,0.4928571428571429,0.39166666666666666,0.31666666666666665,0.2875,0.3416666666666667,0.2928571428571428,0.33333333333333337,0.3,0.31666666666666665,0.30416666666666664,0.3375,0.35416666666666663,0.6375
drum,0.325,0.30416666666666664,0.29583333333333334,0.31666666666666665,0.29166666666666663,0.2875,0.33333333333333337,0.525,0.325,1.0,0.7916666666666667,0.30416666666666664,0.29166666666666663,0.29583333333333334,0.3,0.35,0.2833333333333333,0.29166666666666663,0.35833333333333334,0.30833333333333335,0.33333333333333337,0.30833333333333335,0.6208333333333333,0.4833333333333333,0.3125,0.32083333333333336,0.3
