exemplar,accordion,bagpipe,banjo,bass guitar,bassoon,cello,clarinet,cymbals,double bass,drum,drum set,flute,guitar,harmonica,harp,harpsichord,organ,pan flute,piano,recorder,saxophone,synthesizer,tambourine,triangle,trombone,trumpet,violin
accordion,20.0,12.0,9.0,7.0,,7.0,11.0,15.0,6.0,,17.0,6.0,9.0,,13.0,,,,,10.0,,,,,,,
bagpipe,12.0,20.0,12.0,6.0,,7.0,11.0,4.0,7.0,,4.0,15.0,12.0,,9.0,,,,,12.0,,,,,,,
banjo,9.0,12.0,20.0,14.0,,15.0,8.0,6.0,11.0,,3.0,7.0,17.0,,10.0,,,,,9.0,,,,,,,
bass guitar,7.0,6.0,14.0,20.0,,12.0,7.0,3.0,19.0,,3.0,9.0,13.0,,11.0,,,,,7.0,,,,,,,
bassoon,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,
cello,7.0,7.0,15.0,12.0,,20.0,8.0,3.0,13.0,,5.0,8.0,15.0,,12.0,,,,,11.0,,,,,,,
clarinet,11.0,11.0,8.0,7.0,,8.0,20.0,3.0,11.0,,7.0,15.0,6.0,,11.0,,,,,15.0,,,,,,,
cymbals,15.0,4.0,6.0,3.0,,3.0,3.0,20.0,4.0,,11.0,6.0,4.0,,15.0,,,,,4.0,,,,,,,
double bass,6.0,7.0,11.0,19.0,,13.0,11.0,4.0,20.0,,4.0,12.0,16.0,,15.0,,,,,7.0,,,,,,,
drum,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,
drum set,17.0,4.0,3.0,3.0,,5.0,7.0,11.0,4.0,,20.0,4.0,3.0,,3.0,,,,,6.0,,,,,,,
flute,6.0,15.0,7.0,9.0,,8.0,15.0,6.0,12.0,,4.0,20.0,7.0,,7.0,,,,,15.0,,,,,,,
guitar,9.0,12.0,17.0,13.0,,15.0,6.0,4.0,16.0,,3.0,7.0,20.0,,14.0,,,,,7.0,,,,,,,
harmonica,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,
harp,13.0,9.0,10.0,11.0,,12.0,11.0,15.0,15.0,,3.0,7.0,14.0,,20.0,,,,,9.0,,,,,,,
harpsichord,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,
organ,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,
pan flute,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,
piano,,,,,,,,,,,,,,,,,,,20.0,,,,,,,,
recorder,10.0,12.0,9.0,7.0,,11.0,15.0,4.0,7.0,,6.0,15.0,7.0,,9.0,,,,,20.0,,,,,,,
saxophone,,,,,,,,,,,,,,,,,,,,,20.0,,,,,,
synthesizer,,,,,,,,,,,,,,,,,,,,,,20.0,,,,,
tambourine,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,
triangle,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,
trombone,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,
trumpet,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,
violin,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0
