exemplar,accountant,actor,archaeologist,architect,baker,butcher,cook,dentist,doctor,educator,fireman,garbage collector,information scientist,judge,lawyer,manager,minister,pharmacist,physiotherapist,pilot,plumber,police officer,postman,psychologist,secretary,shop-assistant,stallholder,stewardess,teacher,veterinarian
accountant,20.0,2.0,6.0,12.0,5.0,4.0,4.0,4.0,11.0,3.0,7.0,1.0,18.0,16.0,13.0,14.0,17.0,4.0,5.0,10.0,10.0,4.0,3.0,10.0,18.0,6.0,6.0,8.0,13.0,5.0
actor,2.0,20.0,14.0,12.0,4.0,7.0,3.0,3.0,2.0,8.0,5.0,5.0,3.0,3.0,5.0,2.0,15.0,3.0,11.0,3.0,7.0,3.0,4.0,12.0,6.0,6.0,15.0,12.0,9.0,2.0
archaeologist,6.0,14.0,20.0,6.0,2.0,10.0,1.0,8.0,4.0,15.0,12.0,12.0,4.0,5.0,4.0,3.0,5.0,4.0,6.0,11.0,5.0,4.0,4.0,4.0,2.0,4.0,3.0,4.0,3.0,3.0
architect,12.0,12.0,6.0,20.0,3.0,7.0,8.0,7.0,6.0,9.0,9.0,1.0,3.0,12.0,12.0,12.0,6.0,8.0,5.0,12.0,11.0,12.0,12.0,3.0,15.0,5.0,4.0,3.0,3.0,5.0
baker,5.0,4.0,2.0,3.0,20.0,19.0,17.0,4.0,6.0,4.0,5.0,1.0,15.0,3.0,4.0,6.0,3.0,8.0,4.0,3.0,5.0,5.0,4.0,6.0,2.0,16.0,14.0,4.0,12.0,3.0
butcher,4.0,7.0,10.0,7.0,19.0,20.0,18.0,2.0,6.0,1.0,10.0,2.0,3.0,1.0,5.0,3.0,4.0,3.0,10.0,6.0,5.0,4.0,2.0,3.0,5.0,15.0,16.0,2.0,3.0,16.0
cook,4.0,3.0,1.0,8.0,17.0,18.0,20.0,6.0,3.0,6.0,3.0,1.0,5.0,3.0,6.0,5.0,8.0,14.0,4.0,3.0,5.0,1.0,14.0,2.0,2.0,11.0,7.0,6.0,13.0,4.0
dentist,4.0,3.0,8.0,7.0,4.0,2.0,6.0,20.0,19.0,13.0,3.0,1.0,2.0,4.0,8.0,10.0,12.0,16.0,17.0,3.0,10.0,4.0,6.0,18.0,6.0,3.0,6.0,4.0,12.0,18.0
doctor,11.0,2.0,4.0,6.0,6.0,6.0,3.0,19.0,20.0,10.0,3.0,4.0,14.0,15.0,13.0,14.0,11.0,18.0,18.0,7.0,1.0,5.0,14.0,19.0,5.0,2.0,6.0,8.0,12.0,19.0
educator,3.0,8.0,15.0,9.0,4.0,1.0,6.0,13.0,10.0,20.0,5.0,5.0,3.0,11.0,3.0,3.0,3.0,5.0,14.0,5.0,5.0,3.0,2.0,16.0,9.0,3.0,5.0,12.0,18.0,3.0
fireman,7.0,5.0,12.0,9.0,5.0,10.0,3.0,3.0,3.0,5.0,20.0,5.0,5.0,2.0,4.0,3.0,4.0,2.0,4.0,2.0,5.0,14.0,8.0,4.0,7.0,12.0,3.0,3.0,12.0,4.0
garbage collector,1.0,5.0,12.0,1.0,1.0,2.0,1.0,1.0,4.0,5.0,5.0,20.0,2.0,2.0,2.0,1.0,1.0,4.0,3.0,3.0,13.0,3.0,16.0,2.0,4.0,3.0,5.0,2.0,2.0,2.0
information scientist,18.0,3.0,4.0,3.0,15.0,3.0,5.0,2.0,14.0,3.0,5.0,2.0,20.0,12.0,6.0,4.0,10.0,4.0,4.0,7.0,2.0,2.0,4.0,9.0,16.0,7.0,11.0,5.0,16.0,5.0
judge,16.0,3.0,5.0,12.0,3.0,1.0,3.0,4.0,15.0,11.0,2.0,2.0,12.0,20.0,19.0,18.0,17.0,14.0,4.0,10.0,3.0,15.0,3.0,15.0,11.0,2.0,5.0,6.0,13.0,3.0
lawyer,13.0,5.0,4.0,12.0,4.0,5.0,6.0,8.0,13.0,3.0,4.0,2.0,6.0,19.0,20.0,16.0,18.0,11.0,11.0,2.0,4.0,13.0,2.0,13.0,11.0,4.0,10.0,8.0,11.0,8.0
manager,14.0,2.0,3.0,12.0,6.0,3.0,5.0,10.0,14.0,3.0,3.0,1.0,4.0,18.0,16.0,20.0,17.0,6.0,4.0,14.0,5.0,6.0,4.0,10.0,14.0,3.0,12.0,6.0,14.0,12.0
minister,17.0,15.0,5.0,6.0,3.0,4.0,8.0,12.0,11.0,3.0,4.0,1.0,10.0,17.0,18.0,17.0,20.0,8.0,7.0,10.0,3.0,11.0,4.0,9.0,14.0,6.0,7.0,7.0,5.0,10.0
pharmacist,4.0,3.0,4.0,8.0,8.0,3.0,14.0,16.0,18.0,5.0,2.0,4.0,4.0,14.0,11.0,6.0,8.0,20.0,15.0,4.0,14.0,4.0,3.0,12.0,6.0,13.0,5.0,11.0,4.0,16.0
physiotherapist,5.0,11.0,6.0,5.0,4.0,10.0,4.0,17.0,18.0,14.0,4.0,3.0,4.0,4.0,11.0,4.0,7.0,15.0,20.0,7.0,3.0,4.0,2.0,16.0,11.0,3.0,5.0,8.0,11.0,18.0
pilot,10.0,3.0,11.0,12.0,3.0,6.0,3.0,3.0,7.0,5.0,2.0,3.0,7.0,10.0,2.0,14.0,10.0,4.0,7.0,20.0,5.0,4.0,4.0,7.0,4.0,3.0,7.0,17.0,5.0,4.0
plumber,10.0,7.0,5.0,11.0,5.0,5.0,5.0,10.0,1.0,5.0,5.0,13.0,2.0,3.0,4.0,5.0,3.0,14.0,3.0,5.0,20.0,4.0,5.0,2.0,2.0,5.0,6.0,5.0,4.0,6.0
police officer,4.0,3.0,4.0,12.0,5.0,4.0,1.0,4.0,5.0,3.0,14.0,3.0,2.0,15.0,13.0,6.0,11.0,4.0,4.0,4.0,4.0,20.0,10.0,9.0,6.0,4.0,7.0,6.0,10.0,3.0
