exemplar,alligator,blindworm,boa,caiman,chameleon,cobra,crocodile,dinosaur,frog,gecko,iguana,lizard,monitor lizard,python,salamander,snake,toad,tortoise,turtle,viper
alligator,20.0,3.0,3.0,,,6.0,,9.0,,11.0,,8.0,,,,,,,,5.0
blindworm,3.0,20.0,6.0,,,8.0,,2.0,,3.0,,3.0,,,,,,,,10.0
boa,3.0,6.0,20.0,,,19.0,,5.0,,3.0,,8.0,,,,,,,,14.0
caiman,,,,20.0,,,,,,,,,,,,,,,,
chameleon,,,,,20.0,,,,,,,,,,,,,,,
cobra,6.0,8.0,19.0,,,20.0,,1.0,,6.0,,4.0,,,,,,,,17.0
crocodile,,,,,,,20.0,,,,,,,,,,,,,
dinosaur,9.0,2.0,5.0,,,1.0,,20.0,,9.0,,12.0,,,,,,,,2.0
frog,,,,,,,,,20.0,,,,,,,,,,,
gecko,11.0,3.0,3.0,,,6.0,,9.0,,20.0,,12.0,,,,,,,,4.0
iguana,,,,,,,,,,,20.0,,,,,,,,,
lizard,8.0,3.0,8.0,,,4.0,,12.0,,12.0,,20.0,,,,,,,,9.0
monitor lizard,,,,,,,,,,,,,20.0,,,,,,,
python,,,,,,,,,,,,,,20.0,,,,,,
salamander,,,,,,,,,,,,,,,20.0,,,,,
snake,,,,,,,,,,,,,,,,20.0,,,,
toad,,,,,,,,,,,,,,,,,20.0,,,
tortoise,,,,,,,,,,,,,,,,,,20.0,,
turtle,,,,,,,,,,,,,,,,,,,20.0,
viper,5.0,10.0,14.0,,,17.0,,2.0,,4.0,,9.0,,,,,,,,20.0
