exemplar,badminton,ballet,baseball,basketball,billiards,boxing,chess,cycling,fencing,golfing,gymnastics,handball,horseback riding,ice hockey,judo,long jump,rugby,running,sailing,shot-put,skiing,soccer,sport fishing,squash,surfing,swimming,table tennis,tennis,volleyball,walking
badminton,20.0,6.0,6.0,6.0,5.0,5.0,6.0,6.0,12.0,6.0,6.0,6.0,4.0,5.0,5.0,7.0,4.0,8.0,5.0,9.0,6.0,5.0,4.0,9.0,4.0,5.0,12.0,15.0,7.0,6.0
ballet,6.0,20.0,3.0,4.0,3.0,3.0,5.0,5.0,6.0,5.0,18.0,6.0,4.0,5.0,6.0,10.0,6.0,3.0,3.0,4.0,6.0,1.0,3.0,4.0,3.0,5.0,6.0,6.0,5.0,6.0
baseball,6.0,3.0,20.0,12.0,5.0,6.0,3.0,4.0,4.0,8.0,4.0,8.0,6.0,6.0,5.0,8.0,15.0,14.0,5.0,6.0,4.0,8.0,3.0,9.0,6.0,4.0,4.0,6.0,9.0,7.0
basketball,6.0,4.0,12.0,20.0,5.0,8.0,3.0,8.0,6.0,5.0,9.0,9.0,3.0,3.0,6.0,8.0,9.0,9.0,6.0,8.0,4.0,8.0,3.0,5.0,9.0,6.0,5.0,7.0,11.0,6.0
billiards,5.0,3.0,5.0,5.0,20.0,6.0,8.0,4.0,6.0,14.0,6.0,4.0,3.0,4.0,4.0,4.0,6.0,3.0,4.0,9.0,4.0,8.0,3.0,4.0,5.0,5.0,7.0,6.0,3.0,5.0
boxing,5.0,3.0,6.0,8.0,6.0,20.0,3.0,5.0,16.0,7.0,6.0,5.0,5.0,6.0,13.0,7.0,7.0,8.0,3.0,8.0,3.0,10.0,5.0,7.0,4.0,4.0,6.0,7.0,10.0,5.0
chess,6.0,5.0,3.0,3.0,8.0,3.0,20.0,3.0,6.0,4.0,3.0,3.0,3.0,6.0,7.0,10.0,3.0,6.0,4.0,3.0,5.0,5.0,3.0,6.0,6.0,6.0,6.0,6.0,3.0,6.0
cycling,6.0,5.0,4.0,8.0,4.0,5.0,3.0,20.0,5.0,6.0,5.0,6.0,8.0,6.0,3.0,6.0,4.0,7.0,5.0,3.0,5.0,4.0,7.0,3.0,5.0,5.0,6.0,8.0,6.0,9.0
fencing,12.0,6.0,4.0,6.0,6.0,16.0,6.0,5.0,20.0,7.0,6.0,6.0,5.0,9.0,8.0,6.0,5.0,5.0,4.0,7.0,8.0,8.0,4.0,9.0,6.0,6.0,6.0,9.0,7.0,6.0
golfing,6.0,5.0,8.0,5.0,14.0,7.0,4.0,6.0,7.0,20.0,6.0,5.0,6.0,12.0,4.0,8.0,5.0,4.0,8.0,9.0,6.0,5.0,4.0,9.0,4.0,7.0,6.0,8.0,5.0,9.0
gymnastics,6.0,18.0,4.0,9.0,6.0,6.0,3.0,5.0,6.0,6.0,20.0,4.0,6.0,4.0,7.0,8.0,6.0,4.0,6.0,6.0,7.0,3.0,2.0,4.0,5.0,6.0,6.0,6.0,7.0,5.0
handball,6.0,6.0,8.0,9.0,4.0,5.0,3.0,6.0,6.0,5.0,4.0,20.0,6.0,5.0,7.0,6.0,8.0,6.0,6.0,7.0,5.0,9.0,3.0,6.0,5.0,3.0,10.0,6.0,12.0,6.0
horseback riding,4.0,4.0,6.0,3.0,3.0,5.0,3.0,8.0,5.0,6.0,6.0,6.0,20.0,3.0,3.0,8.0,6.0,6.0,5.0,5.0,8.0,4.0,3.0,6.0,6.0,3.0,4.0,6.0,5.0,10.0
ice hockey,5.0,5.0,6.0,3.0,4.0,6.0,6.0,6.0,9.0,12.0,4.0,5.0,3.0,20.0,4.0,6.0,6.0,5.0,4.0,7.0,8.0,6.0,3.0,7.0,9.0,8.0,4.0,5.0,4.0,6.0
judo,5.0,6.0,5.0,6.0,4.0,13.0,7.0,3.0,8.0,4.0,7.0,7.0,3.0,4.0,20.0,7.0,10.0,6.0,4.0,6.0,5.0,6.0,3.0,6.0,3.0,8.0,6.0,5.0,5.0,6.0
long jump,7.0,10.0,8.0,8.0,4.0,7.0,10.0,6.0,6.0,8.0,8.0,6.0,8.0,6.0,7.0,20.0,8.0,8.0,6.0,6.0,8.0,8.0,5.0,8.0,6.0,8.0,10.0,9.0,8.0,10.0
