exemplar,anvil,axe,chisel,clamp,crowbar (breekijzer),crowbar (koevoet),drill,file,filling knife,grinding disc,hammer,knife,lawn mower,level,nail,oil can,paint brush,pickaxe,plane,plough,rope,saw,screw wrench (engelse sleutel),screwdriver,shovel,tongs,vacuum cleaner,wheelbarrow,wire brush,wrench
anvil,1.0,0.2705882352941177,0.3235294117647059,0.24642857142857144,0.35625,0.3142857142857143,0.1588235294117647,0.23888888888888887,0.24583333333333335,0.335,0.38,0.2357142857142857,0.196875,0.2777777777777778,0.24,0.23333333333333334,0.25,0.27692307692307694,0.35,0.30454545454545456,0.21666666666666665,0.25,0.246875,0.27,0.29,0.33333333333333337,0.24444444444444446,0.26071428571428573,0.2833333333333333,0.25384615384615383
axe,0.2705882352941177,1.0,0.48235294117647054,0.2642857142857143,0.49375,0.3892857142857143,0.25882352941176473,0.40555555555555556,0.29166666666666663,0.28500000000000003,0.5233333333333333,0.55,0.29375,0.29444444444444445,0.27,0.2375,0.26666666666666666,0.65,0.33999999999999997,0.36818181818181817,0.25,0.35,0.271875,0.31,0.385,0.3555555555555555,0.21666666666666665,0.19642857142857142,0.33333333333333337,0.25384615384615383
chisel,0.3235294117647059,0.48235294117647054,1.0,0.30357142857142855,0.50625,0.4714285714285714,0.33529411764705885,0.5,0.4166666666666667,0.34500000000000003,0.4833333333333333,0.42857142857142855,0.23125,0.3555555555555555,0.395,0.2125,0.4111111111111111,0.45,0.375,0.3227272727272727,0.22222222222222224,0.3388888888888889,0.3875,0.43,0.425,0.37222222222222223,0.18888888888888888,0.17857142857142858,0.42777777777777776,0.3153846153846154
clamp,0.24642857142857144,0.2642857142857143,0.30357142857142855,1.0,0.31785714285714284,0.275,0.26785714285714285,0.27222222222222225,0.2833333333333333,0.34500000000000003,0.24615384615384617,0.23928571428571427,0.18928571428571428,0.31666666666666665,0.27,0.22083333333333335,0.3111111111111111,0.31153846153846154,0.29,0.2363636363636364,0.3055555555555555,0.25555555555555554,0.33571428571428574,0.22000000000000003,0.275,0.4666666666666667,0.20555555555555555,0.20714285714285716,0.3055555555555555,0.24615384615384617
crowbar (breekijzer),0.35625,0.49375,0.50625,0.31785714285714284,1.0,0.7142857142857143,0.259375,0.4,0.4041666666666667,0.34500000000000003,0.39666666666666667,0.4607142857142857,0.225,0.26666666666666666,0.385,0.325,0.26666666666666666,0.5269230769230769,0.385,0.30454545454545456,0.2111111111111111,0.32222222222222224,0.4125,0.38,0.365,0.5611111111111111,0.18333333333333332,0.225,0.3277777777777778,0.3769230769230769
crowbar (koevoet),0.3142857142857143,0.3892857142857143,0.4714285714285714,0.275,0.7142857142857143,1.0,0.325,0.3111111111111111,0.3125,0.3,0.40384615384615385,0.3607142857142857,0.21785714285714283,0.3,0.265,0.21666666666666665,0.28888888888888886,0.44230769230769235,0.35,0.34545454545454546,0.2111111111111111,0.37222222222222223,0.3392857142857143,0.395,0.385,0.4222222222222222,0.27222222222222225,0.2571428571428572,0.3944444444444445,0.3153846153846154
drill,0.1588235294117647,0.25882352941176473,0.33529411764705885,0.26785714285714285,0.259375,0.325,1.0,0.3,0.29583333333333334,0.5,0.29333333333333333,0.28928571428571426,0.35625,0.36666666666666664,0.225,0.20833333333333334,0.23333333333333334,0.2846153846153846,0.305,0.2772727272727273,0.2,0.3,0.225,0.43499999999999994,0.315,0.25,0.38333333333333336,0.2,0.24444444444444446,0.23076923076923075
file,0.23888888888888887,0.40555555555555556,0.5,0.27222222222222225,0.4,0.3111111111111111,0.3,1.0,0.3944444444444445,0.45555555555555555,0.32222222222222224,0.5611111111111111,0.23888888888888887,0.28888888888888886,0.4166666666666667,0.28888888888888886,0.31666666666666665,0.40555555555555556,0.6611111111111111,0.26666666666666666,0.24444444444444446,0.4166666666666667,0.27222222222222225,0.3555555555555555,0.3555555555555555,0.26666666666666666,0.25,0.23888888888888887,0.611111111111111,0.35
filling knife,0.24583333333333335,0.29166666666666663,0.4166666666666667,0.2833333333333333,0.4041666666666667,0.3125,0.29583333333333334,0.3944444444444445,1.0,0.34500000000000003,0.3181818181818182,0.5875,0.17916666666666667,0.5,0.26,0.25416666666666665,0.32222222222222224,0.39166666666666666,0.43499999999999994,0.3,0.20555555555555555,0.3111111111111111,0.3625,0.315,0.42000000000000004,0.37222222222222223,0.2611111111111111,0.21666666666666665,0.4222222222222222,0.29166666666666663
grinding disc,0.335,0.28500000000000003,0.34500000000000003,0.34500000000000003,0.34500000000000003,0.3,0.5,0.45555555555555555,0.34500000000000003,1.0,0.27999999999999997,0.465,0.45499999999999996,0.2611111111111111,0.335,0.18,0.25555555555555554,0.32,0.645,0.315,0.25555555555555554,0.49444444444444446,0.255,0.325,0.29,0.3111111111111111,0.3055555555555555,0.275,0.4,0.315
