exemplar,Brussels sprouts,asparagus,beans,beet,black salsify,carrot,cauliflower,celery,chervil,corn,cucumber,eggplant,endive,garlic,gherkins,leek,lettuce,mushrooms,onions,parsley,peas,pepper,potato,radish,red cabbage,spinach,tomato,water cress,white cabbage,zucchini
Brussels sprouts,1.0,0.48461538461538456,0.4230769230769231,0.3538461538461538,0.38846153846153847,0.38846153846153847,0.43076923076923074,0.40384615384615385,0.3923076923076923,0.38076923076923075,0.34615384615384615,0.38076923076923075,0.4076923076923077,0.36923076923076925,0.4807692307692307,0.43076923076923074,0.45,0.38076923076923075,0.36923076923076925,0.38461538461538464,0.5653846153846154,0.33461538461538465,0.3384615384615385,0.4807692307692307,0.41923076923076924,0.43461538461538457,0.4076923076923077,0.33076923076923076,0.5375,0.3961538461538462
asparagus,0.48461538461538456,1.0,0.42666666666666664,0.38333333333333336,0.5961538461538461,0.49615384615384617,0.33999999999999997,0.43076923076923074,0.35714285714285715,0.3321428571428572,0.39642857142857146,0.41,0.4461538461538462,0.32142857142857145,0.3566666666666667,0.5071428571428571,0.3,0.32999999999999996,0.275,0.36428571428571427,0.33999999999999997,0.28928571428571426,0.309375,0.35333333333333333,0.2571428571428572,0.28076923076923077,0.29615384615384616,0.29615384615384616,0.4291666666666667,0.4
beans,0.4230769230769231,0.42666666666666664,1.0,0.3466666666666667,0.4153846153846154,0.3961538461538462,0.35,0.3538461538461538,0.29642857142857143,0.39642857142857146,0.4321428571428571,0.4066666666666666,0.3076923076923077,0.35,0.45666666666666667,0.38571428571428573,0.3961538461538462,0.37333333333333335,0.3,0.30714285714285716,0.54,0.37857142857142856,0.36,0.32,0.32142857142857145,0.4653846153846154,0.3961538461538462,0.29230769230769227,0.375,0.42000000000000004
beet,0.3538461538461538,0.38333333333333336,0.3466666666666667,1.0,0.4115384615384615,0.5076923076923077,0.4,0.3769230769230769,0.32142857142857145,0.4892857142857143,0.3464285714285714,0.45999999999999996,0.40384615384615385,0.3392857142857143,0.33999999999999997,0.4,0.3384615384615385,0.2833333333333333,0.41,0.35,0.31,0.42857142857142855,0.49333333333333335,0.5766666666666667,0.5464285714285715,0.3076923076923077,0.38461538461538464,0.3576923076923077,0.4958333333333333,0.41
black salsify,0.38846153846153847,0.5961538461538461,0.4153846153846154,0.4115384615384615,1.0,0.4076923076923077,0.38076923076923075,0.43076923076923074,0.3730769230769231,0.36923076923076925,0.36538461538461536,0.3923076923076923,0.43461538461538457,0.31153846153846154,0.46923076923076923,0.45384615384615384,0.26153846153846155,0.34615384615384615,0.3576923076923077,0.31923076923076926,0.3230769230769231,0.3730769230769231,0.3730769230769231,0.3923076923076923,0.3769230769230769,0.3038461538461538,0.4,0.3384615384615385,0.4458333333333333,0.4230769230769231
carrot,0.38846153846153847,0.49615384615384617,0.3961538461538462,0.5076923076923077,0.4076923076923077,1.0,0.3384615384615385,0.44230769230769235,0.4115384615384615,0.33461538461538465,0.36923076923076925,0.35,0.36923076923076925,0.3,0.4269230769230769,0.3961538461538462,0.3153846153846154,0.3076923076923077,0.36923076923076925,0.36538461538461536,0.41923076923076924,0.3923076923076923,0.38461538461538464,0.5192307692307693,0.3576923076923077,0.3230769230769231,0.33076923076923076,0.33461538461538465,0.3416666666666667,0.3730769230769231
cauliflower,0.43076923076923074,0.33999999999999997,0.35,0.4,0.38076923076923075,0.3384615384615385,1.0,0.3538461538461538,0.3392857142857143,0.35357142857142854,0.31785714285714284,0.2833333333333333,0.4076923076923077,0.25357142857142856,0.32,0.375,0.4384615384615385,0.2866666666666667,0.3433333333333333,0.26071428571428573,0.32,0.35,0.37666666666666665,0.38333333333333336,0.575,0.34615384615384615,0.28846153846153844,0.2692307692307693,0.6666666666666667,0.3
celery,0.40384615384615385,0.43076923076923074,0.3538461538461538,0.3769230769230769,0.43076923076923074,0.44230769230769235,0.3538461538461538,1.0,0.5038461538461538,0.29615384615384616,0.4461538461538462,0.3384615384615385,0.4,0.3,0.3538461538461538,0.6115384615384615,0.46923076923076923,0.3153846153846154,0.49230769230769234,0.5038461538461538,0.3269230769230769,0.4,0.36538461538461536,0.3923076923076923,0.31923076923076926,0.4230769230769231,0.3538461538461538,0.4384615384615385,0.475,0.41923076923076924
chervil,0.3923076923076923,0.35714285714285715,0.29642857142857143,0.32142857142857145,0.3730769230769231,0.4115384615384615,0.3392857142857143,0.5038461538461538,1.0,0.35357142857142854,0.31785714285714284,0.33571428571428574,0.3923076923076923,0.28214285714285714,0.42857142857142855,0.42857142857142855,0.49615384615384617,0.30357142857142855,0.30357142857142855,0.5428571428571429,0.43928571428571433,0.32142857142857145,0.27142857142857146,0.36428571428571427,0.29642857142857143,0.4769230769230769,0.36923076923076925,0.5692307692307692,0.35833333333333334,0.37142857142857144
corn,0.38076923076923075,0.3321428571428572,0.39642857142857146,0.4892857142857143,0.36923076923076925,0.33461538461538465,0.35357142857142854,0.29615384615384616,0.35357142857142854,1.0,0.39285714285714285,0.3107142857142857,0.3730769230769231,0.27142857142857146,0.36428571428571427,0.34285714285714286,0.2653846153846154,0.3107142857142857,0.3107142857142857,0.2857142857142857,0.6035714285714285,0.3107142857142857,0.3678571428571428,0.3607142857142857,0.3392857142857143,0.25384615384615383,0.3730769230769231,0.38846153846153847,0.3625,0.32142857142857145
