exemplar,(hot air) balloon,airplane,bicycle,boat,bus,car,carriage,cart,go-cart,helicopter,hovercraft,jeep,kick scooter,motorbike (moto),rocket,scooter (bromfiets),scooter (brommer),skateboard,sled,submarine,subway train,taxi,tractor,trailer,train,tram,truck (camion),truck (vrachtwagen),van,zeppelin
(hot air) balloon,20.0,11.0,4.0,8.0,6.0,5.0,7.0,7.0,6.0,12.0,5.0,4.0,5.0,5.0,9.0,5.0,5.0,4.0,7.0,8.0,5.0,6.0,4.0,5.0,2.0,4.0,5.0,5.0,2.0,15.0
airplane,11.0,20.0,5.0,7.0,7.0,5.0,4.0,3.0,5.0,12.0,7.0,4.0,3.0,6.0,15.0,4.0,5.0,4.0,5.0,5.0,6.0,7.0,6.0,7.0,6.0,8.0,6.0,6.0,5.0,16.0
bicycle,4.0,5.0,20.0,4.0,11.0,7.0,8.0,12.0,18.0,5.0,4.0,6.0,16.0,15.0,3.0,8.0,14.0,14.0,7.0,4.0,4.0,7.0,7.0,6.0,6.0,6.0,5.0,6.0,6.0,4.0
boat,8.0,7.0,4.0,20.0,5.0,6.0,6.0,5.0,4.0,5.0,17.0,6.0,4.0,5.0,6.0,6.0,5.0,5.0,6.0,13.0,7.0,6.0,6.0,11.0,6.0,5.0,8.0,7.0,5.0,5.0
bus,6.0,7.0,11.0,5.0,20.0,14.0,6.0,6.0,11.0,6.0,6.0,12.0,5.0,8.0,4.0,8.0,13.0,5.0,6.0,5.0,11.0,15.0,6.0,8.0,12.0,13.0,8.0,7.0,11.0,5.0
car,5.0,5.0,7.0,6.0,14.0,20.0,8.0,9.0,8.0,6.0,5.0,18.0,6.0,12.0,5.0,12.0,13.0,5.0,6.0,5.0,6.0,18.0,12.0,12.0,6.0,11.0,15.0,9.0,16.0,5.0
carriage,7.0,4.0,8.0,6.0,6.0,8.0,20.0,16.0,12.0,5.0,5.0,11.0,7.0,5.0,3.0,6.0,7.0,8.0,8.0,4.0,5.0,8.0,7.0,8.0,6.0,7.0,6.0,6.0,8.0,3.0
cart,7.0,3.0,12.0,5.0,6.0,9.0,16.0,20.0,8.0,5.0,4.0,9.0,6.0,6.0,3.0,8.0,7.0,7.0,8.0,5.0,4.0,15.0,6.0,9.0,4.0,5.0,5.0,7.0,7.0,2.0
go-cart,6.0,5.0,18.0,4.0,11.0,8.0,12.0,8.0,20.0,6.0,4.0,8.0,14.0,9.0,2.0,11.0,5.0,11.0,8.0,4.0,4.0,8.0,8.0,7.0,6.0,5.0,5.0,6.0,8.0,3.0
helicopter,12.0,12.0,5.0,5.0,6.0,6.0,5.0,5.0,6.0,20.0,5.0,6.0,5.0,6.0,4.0,8.0,6.0,5.0,5.0,4.0,5.0,6.0,6.0,7.0,4.0,6.0,6.0,6.0,5.0,12.0
