exemplar,axe,bazooka,bow,canon,club,dagger,double-barreled shotgun,grenade,knuckle dusters,machine gun,pistol,rifle,rope,shield,slingshot,spear,stick,sword,tank,whip
axe,20.0,6.0,17.0,7.0,16.0,14.0,7.0,7.0,6.0,5.0,3.0,9.0,13.0,17.0,7.0,15.0,17.0,14.0,17.0,6.0
bazooka,6.0,20.0,3.0,18.0,4.0,8.0,16.0,12.0,4.0,18.0,17.0,13.0,3.0,5.0,12.0,1.0,12.0,3.0,18.0,5.0
bow,17.0,3.0,20.0,7.0,13.0,12.0,3.0,18.0,2.0,1.0,7.0,5.0,15.0,17.0,9.0,10.0,13.0,17.0,5.0,7.0
canon,7.0,18.0,7.0,20.0,4.0,7.0,1.0,15.0,1.0,1.0,17.0,8.0,6.0,4.0,8.0,8.0,6.0,7.0,18.0,8.0
club,16.0,4.0,13.0,4.0,20.0,15.0,16.0,14.0,14.0,16.0,13.0,11.0,16.0,18.0,8.0,16.0,19.0,14.0,9.0,5.0
dagger,14.0,8.0,12.0,7.0,15.0,20.0,11.0,1.0,12.0,5.0,13.0,12.0,11.0,16.0,5.0,16.0,15.0,18.0,5.0,14.0
double-barreled shotgun,7.0,16.0,3.0,1.0,16.0,11.0,20.0,14.0,12.0,16.0,16.0,17.0,7.0,3.0,2.0,8.0,6.0,8.0,15.0,2.0
grenade,7.0,12.0,18.0,15.0,14.0,1.0,14.0,20.0,7.0,17.0,1.0,15.0,5.0,3.0,5.0,6.0,10.0,5.0,14.0,2.0
knuckle dusters,6.0,4.0,2.0,1.0,14.0,12.0,12.0,7.0,20.0,6.0,12.0,11.0,1.0,2.0,6.0,2.0,4.0,8.0,4.0,6.0
machine gun,5.0,18.0,1.0,1.0,16.0,5.0,16.0,17.0,6.0,20.0,13.0,17.0,6.0,2.0,6.0,9.0,12.0,7.0,19.0,4.0
pistol,3.0,17.0,7.0,17.0,13.0,13.0,16.0,1.0,12.0,13.0,20.0,18.0,4.0,5.0,5.0,11.0,5.0,12.0,13.0,11.0
rifle,9.0,13.0,5.0,8.0,11.0,12.0,17.0,15.0,11.0,17.0,18.0,20.0,7.0,6.0,6.0,4.0,16.0,11.0,16.0,4.0
rope,13.0,3.0,15.0,6.0,16.0,11.0,7.0,5.0,1.0,6.0,4.0,7.0,20.0,3.0,17.0,13.0,5.0,14.0,2.0,18.0
shield,17.0,5.0,17.0,4.0,18.0,16.0,3.0,3.0,2.0,2.0,5.0,6.0,3.0,20.0,7.0,15.0,13.0,19.0,16.0,4.0
slingshot,7.0,12.0,9.0,8.0,8.0,5.0,2.0,5.0,6.0,6.0,5.0,6.0,17.0,7.0,20.0,4.0,17.0,9.0,8.0,14.0
spear,15.0,1.0,10.0,8.0,16.0,16.0,8.0,6.0,2.0,9.0,11.0,4.0,13.0,15.0,4.0,20.0,18.0,13.0,2.0,5.0
stick,17.0,12.0,13.0,6.0,19.0,15.0,6.0,10.0,4.0,12.0,5.0,16.0,5.0,13.0,17.0,18.0,20.0,13.0,1.0,16.0
sword,14.0,3.0,17.0,7.0,14.0,18.0,8.0,5.0,8.0,7.0,12.0,11.0,14.0,19.0,9.0,13.0,13.0,20.0,7.0,5.0
tank,17.0,18.0,5.0,18.0,9.0,5.0,15.0,14.0,4.0,19.0,13.0,16.0,2.0,16.0,8.0,2.0,1.0,7.0,20.0,7.0
whip,6.0,5.0,7.0,8.0,5.0,14.0,2.0,2.0,6.0,4.0,11.0,4.0,18.0,4.0,14.0,5.0,16.0,5.0,7.0,20.0
