exemplar,als tussendoortje,bestaat in verschillende kleuren,bestaat in verschillende soorten,bevat pitten,bevat veel vitaminen,eetbaar,gezond,groeit aan bomen,groeit aan een plant,groeit aan een struik,groeit in de natuur,heeft een felle kleur,heeft een schil,heeft veel zon nodig om te groeien,is duur,is een vrucht,is rond,is sappig,is seizoensafhankelijk,is zacht,kan je in de supermarkt kopen,kan verschillende vormen hebben,kleurrijk,lekker,rijpt,ruikt lekker,smaakt fris,wordt gebruikt in een fruitsalade,wordt gekweekt,wordt na een tijdje rot,wordt veel gebruikt bij desserts,zoete smaak
aalbes,4,1,0,2,0,3,0,4,0,0,1,2,0,0,4,3,1,2,0,1,2,0,0,4,4,4,4,0,0,1,0,0
aardbei,0,2,1,0,0,1,0,3,0,0,0,3,0,0,4,3,2,0,1,1,4,1,0,2,4,4,2,0,0,1,0,0
abrikoos,3,0,1,0,0,3,0,4,0,0,0,2,2,1,4,3,1,0,0,1,4,0,0,1,4,4,0,0,0,0,0,0
ananas,0,0,4,1,0,0,0,4,1,4,0,1,0,0,4,4,0,0,0,3,4,0,0,4,4,4,0,4,0,3,2,0
appel,4,1,3,4,0,3,0,4,3,0,1,1,0,4,4,4,0,4,0,2,4,1,0,4,4,4,0,0,0,0,2,0
banaan,0,0,3,2,0,1,4,4,0,4,1,2,0,0,3,2,0,0,1,3,4,0,0,0,4,4,0,4,4,0,0,4
bosbes,4,0,0,0,0,1,0,4,0,0,0,1,0,0,4,4,0,0,0,1,2,0,0,4,4,4,4,0,0,0,0,0
braambessen,2,0,0,0,0,0,0,4,0,0,0,1,0,0,4,4,3,0,0,1,2,0,0,4,4,4,4,0,0,0,0,0
citroen,1,1,2,0,0,4,0,1,1,2,0,4,0,0,4,4,0,0,4,1,4,1,0,4,4,4,0,1,0,0,0,0
clementine,4,2,1,0,4,4,0,4,0,3,0,4,0,0,4,4,0,0,4,1,4,0,0,4,4,4,0,1,0,0,0,0
dadels,3,0,0,0,0,2,2,3,0,1,0,0,0,1,3,2,0,0,0,1,4,1,0,0,3,4,2,3,0,0,0,0
druif,4,1,0,4,0,4,3,4,0,0,2,0,0,1,4,3,0,4,0,2,4,0,0,2,4,4,2,0,0,0,0,0
framboos,2,0,0,0,0,0,0,4,0,0,0,3,0,0,4,4,3,0,0,1,4,0,0,3,4,4,4,0,0,0,0,0
kers,4,3,0,3,0,4,0,4,0,0,0,2,0,1,4,3,0,2,0,1,4,0,0,2,4,4,0,0,0,0,0,0
kiwi,1,0,2,2,0,1,1,4,0,3,0,1,3,1,4,4,4,2,0,1,4,0,0,3,4,4,1,3,0,1,0,0
kokosnoot,2,0,0,0,0,0,3,2,4,4,3,0,2,3,3,1,3,0,0,1,3,0,4,0,3,4,0,4,0,1,4,1
limoen,4,1,1,0,0,4,0,1,0,2,0,3,0,0,4,4,0,0,3,1,4,1,0,4,4,4,0,1,0,0,0,0
lychee,2,0,0,0,0,3,0,4,0,4,4,0,0,1,4,3,0,0,0,1,4,0,0,0,4,4,1,4,0,2,0,0
mango,2,1,1,0,0,3,1,4,2,2,0,3,0,3,4,3,0,1,0,1,4,0,0,2,4,4,0,4,0,0,1,0
meloen,4,0,1,3,0,4,1,4,1,4,1,1,0,0,4,3,0,3,2,3,4,1,0,0,4,4,0,1,0,0,0,0
nectarine,4,0,1,0,0,4,0,4,1,0,0,2,0,2,4,4,0,0,0,1,4,0,0,2,4,4,0,0,0,0,0,0
papaya,0,0,1,0,0,3,0,4,1,3,0,2,0,2,4,3,0,0,0,1,3,0,0,0,4,4,0,4,0,0,1,0
passievrucht,4,0,0,0,0,2,0,3,0,4,0,1,0,0,4,4,0,0,0,1,3,0,0,2,4,4,0,4,0,0,0,0
peer,0,3,1,4,0,3,1,4,2,0,1,0,0,3,4,3,0,1,0,2,4,1,0,0,4,4,1,0,0,0,1,0
perzik,4,0,1,0,0,4,0,4,1,0,0,2,3,2,4,3,2,0,0,1,4,0,0,2,4,4,0,0,0,0,1,0
pompelmoes,4,0,1,4,0,4,0,4,0,3,0,1,0,0,4,4,0,3,3,1,4,0,0,2,4,4,0,0,0,0,3,0
pompoen,4,0,0,0,0,4,1,1,3,3,0,3,0,3,3,3,0,0,0,3,4,1,0,0,4,4,0,0,0,0,0,0
pruim,4,2,0,3,0,4,0,4,1,0,0,1,0,1,4,3,0,4,0,1,4,0,0,3,4,4,0,0,0,0,1,0
sinaasappel,4,1,1,2,3,4,0,4,0,2,0,4,0,0,4,4,0,1,4,1,4,0,0,4,4,4,0,0,0,0,2,0
vijg,0,1,0,0,0,0,2,3,0,1,0,0,0,0,4,2,0,0,0,1,4,1,0,0,3,4,1,1,0,0,0,0
