exemplar,bestaat al lang,bestaat in verschillende soorten,bestaat in verschillende vormen,dient om eten in te bewaren,gebruik je om eten klaar te maken,gemaakt uit hout,gemaakt uit metaal,gemaakt uit plastic,heeft een handvat,heeft iedereen,is duur,is elektronisch,is er in verschillende materialen,is functioneel,is gereedschap,is grijs,is handig,is multifunctioneel,is onmisbaar,is scherp,is stevig,is wit,kan elektronisch zijn,kan gevaarlijk zijn,kan je afwassen,kan je mee eten,kan je mee snijden,kan tegen warmte,koop je in de winkel,koop je in een speciaalzaak,maakt lawaai,moet je afwassen na gebruik,vergemakkelijkt het werk in de keuken,vind je in de kast,voelt koud aan,wordt gebruikt bij het koken,wordt in de keuken gebruikt,wordt soms cadeau gedaan aan pasgehuwden,wordt vooral gebruikt door vrouwen
blikopener,1,2,3,0,3,0,4,4,3,3,0,0,2,4,3,0,4,1,2,1,4,0,2,2,2,0,1,2,4,1,1,0,4,4,2,0,4,1,0
bord,4,4,4,0,1,0,0,2,0,4,0,0,4,4,1,1,3,3,2,0,3,1,0,0,4,2,0,3,4,2,0,4,3,4,2,0,4,4,0
broodrooster,1,3,3,0,4,0,4,2,1,0,2,4,2,4,2,1,4,1,1,0,4,0,4,2,0,0,0,3,4,2,1,0,3,2,0,0,4,4,0
fles,4,2,4,2,0,0,0,4,0,4,0,0,4,4,1,0,1,4,2,0,4,0,0,0,2,0,0,2,4,1,0,1,2,3,1,1,4,2,0
fornuis,3,3,2,0,4,0,4,0,0,4,4,3,3,4,1,1,2,1,2,0,3,0,4,3,0,0,0,4,4,4,1,1,4,0,0,4,4,3,2
frigo,2,3,3,4,0,0,4,4,4,4,4,3,3,4,1,0,3,1,2,0,4,1,3,0,0,0,0,0,4,3,3,0,3,0,3,1,4,4,1
glas,3,4,4,0,0,0,0,0,0,4,0,0,0,4,1,0,2,2,2,0,2,0,0,2,4,0,0,3,4,1,0,4,3,4,1,1,4,2,0
handdoek,4,3,2,0,0,0,0,0,0,4,0,0,1,3,1,0,2,4,1,0,0,1,0,0,2,0,0,1,4,1,0,0,2,4,0,2,4,1,1
ketel,4,2,1,0,4,0,4,0,3,0,0,0,3,3,1,2,2,1,2,0,3,0,0,0,4,0,0,4,4,2,2,4,4,4,1,2,4,1,1
klopper,2,2,3,0,4,1,4,3,2,1,0,0,3,4,2,1,4,0,1,0,4,0,0,0,4,0,0,2,4,2,2,4,4,4,1,4,4,2,2
koffiezet,1,4,3,0,2,0,3,4,1,0,2,4,2,4,1,0,4,1,1,0,3,0,3,0,1,0,0,3,4,3,2,2,3,2,0,0,4,3,1
kom,4,4,3,3,4,1,2,3,1,3,0,0,4,4,1,0,3,4,1,0,3,0,0,0,4,1,0,3,4,2,0,4,3,4,0,3,4,2,1
lepel,4,3,3,0,3,3,4,2,1,4,0,0,4,3,2,1,3,3,2,0,4,0,0,0,4,4,0,3,4,1,0,4,3,4,2,4,4,3,0
mes,4,4,3,0,3,0,4,2,2,4,0,0,4,3,2,1,2,3,2,4,4,0,0,3,4,4,4,3,4,1,0,4,4,4,2,4,4,3,0
microgolf,1,3,3,0,4,0,4,4,1,1,3,4,2,4,1,0,3,4,1,0,3,0,4,1,1,0,0,3,4,3,3,1,4,0,1,3,4,4,1
mixer,1,4,3,0,4,0,4,4,4,0,1,4,2,4,2,0,4,4,1,1,3,1,3,3,4,0,1,1,4,2,4,4,4,4,1,3,4,4,2
notenkraker,2,3,3,0,1,0,4,3,2,0,0,0,2,3,3,0,3,0,1,0,4,0,0,0,4,0,0,0,4,2,0,0,4,4,0,0,4,1,0
onderlegger,1,3,4,0,0,1,1,3,0,2,0,0,4,4,1,0,3,1,1,0,1,0,1,0,2,0,0,4,4,1,0,0,2,4,0,0,4,1,0
oven,4,3,3,0,4,0,4,0,2,0,3,4,3,4,1,1,2,4,1,0,4,0,3,4,0,0,0,4,4,4,2,1,4,0,0,4,4,3,2
pan,3,4,4,0,4,0,4,1,2,4,0,0,4,4,1,1,3,1,2,0,4,0,0,1,4,0,0,4,4,2,0,4,4,4,1,4,4,3,1
pot,4,4,4,2,4,0,4,1,4,4,0,0,4,4,1,1,2,2,2,0,4,0,0,0,4,0,0,4,4,2,0,4,3,4,1,4,4,3,1
rasp,2,3,3,0,4,0,4,1,3,0,0,0,2,4,2,1,4,1,1,1,3,0,0,1,4,0,0,1,4,2,0,4,4,4,2,4,4,2,1
schaar,4,4,2,0,0,0,4,2,3,4,0,0,2,4,3,1,4,2,2,4,3,0,0,2,4,0,2,1,4,1,0,1,4,4,2,3,4,1,0
schort,2,3,3,0,1,0,0,1,0,0,0,0,1,3,1,0,2,2,1,0,1,1,0,0,1,0,0,2,4,1,0,0,1,2,0,3,4,1,3
spatel,3,3,3,0,2,2,3,3,2,0,0,0,4,4,2,0,3,0,1,0,4,0,0,0,4,0,0,3,4,1,0,4,4,4,0,4,4,1,1
tas,3,4,4,1,1,0,0,0,3,4,0,0,3,4,1,0,2,2,1,0,3,1,0,0,4,1,0,3,4,2,0,4,3,4,2,1,4,3,0
theelepel,3,3,3,0,2,0,4,1,1,4,0,0,3,4,2,1,2,1,1,0,4,0,0,0,4,2,0,3,4,2,0,4,3,4,2,1,4,2,1
vergiet,1,3,4,0,4,0,3,4,4,0,0,0,4,4,2,0,3,0,1,0,4,0,0,0,4,0,0,1,4,2,0,4,4,4,0,4,4,1,1
vork,4,3,3,0,3,0,3,2,1,4,0,0,4,4,2,1,3,2,2,3,4,0,0,0,4,4,0,3,4,1,0,4,3,4,2,4,4,3,0
waterkoker,1,3,4,0,3,0,2,4,2,0,1,3,2,4,2,0,4,0,1,0,2,1,3,1,0,0,0,2,4,2,2,0,4,4,0,3,4,3,1
weegschaal,2,4,4,0,3,0,4,3,0,0,0,2,3,4,2,0,4,1,1,0,2,0,2,0,0,0,0,1,4,3,0,1,4,4,0,3,4,3,1
wok,2,3,4,0,4,0,4,0,4,0,1,1,3,4,1,1,3,1,1,0,4,0,2,0,4,0,0,4,4,3,1,4,4,4,1,4,4,4,1
zeef,2,3,4,0,4,0,3,3,2,0,0,0,4,3,2,0,2,1,1,0,2,0,0,0,4,0,0,0,4,2,1,4,4,4,0,3,4,1,1
