exemplar,bestaat al lang,bestaat in verschillende groottes,bestaat in verschillende kleuren,bestaat in verschillende soorten,bestaat in verschillende vormen,gemaakt uit hout,gemaakt uit metaal,heeft snaren,heeft toetsen,is bedoeld om muziek mee te maken,is breekbaar,is duur,is een blokfluit,is een gitaar,is een harp,is een soort piano,is een soort viool,is er in alle prijsklassen,is er in verschillende materialen,is moeilijk te bespelen,is te koop in een muziekwinkel,je moet er noten voor kunnen lezen,je moet erop blazen,kan je op spelen,kan je zelf maken,klinkt mooi,komt voor in een fanfare,maakt een apart geluid,maakt geluid,maakt verschillende geluiden,moet je leren bespelen,werd al gebruikt in de oertijd,wordt alleen door mensen gebruikt,wordt bespeeld door muzikant,wordt gebruikt in orkesten,wordt gecombineerd met andere instrumenten,wordt met de hand gemaakt,wordt soms gebruikt om zang te begeleiden,zorgt voor ontspanning
accordeon,4,2,4,2,2,1,0,0,4,4,3,3,0,0,0,2,0,4,1,4,4,3,0,4,0,3,0,3,4,1,4,0,4,3,2,3,3,4,3
banjo,4,1,4,2,2,4,0,4,0,4,3,0,0,1,0,0,0,4,1,2,4,3,0,4,0,3,0,3,4,1,4,0,4,3,1,3,4,3,3
basgitaar,1,2,4,2,3,2,1,4,0,4,3,3,0,4,0,0,0,4,3,2,4,3,0,4,0,4,0,0,4,1,4,0,4,3,1,4,3,3,4
cello,3,1,2,1,1,4,0,4,0,4,3,4,0,0,0,0,3,4,1,3,4,3,0,4,0,3,0,0,4,1,4,0,4,3,4,3,4,3,3
cimbalen,2,3,1,1,1,0,4,0,0,4,2,0,0,0,0,0,0,4,1,0,4,1,0,2,2,1,4,0,4,0,2,0,4,2,4,4,3,2,3
contrabas,3,1,2,1,1,4,0,4,0,4,3,4,0,0,0,0,2,4,1,3,4,3,0,4,0,4,0,0,4,1,4,0,4,3,4,4,4,2,4
doedelzak,4,3,4,2,3,2,0,0,0,4,3,2,0,0,0,0,0,4,1,4,4,3,4,4,0,1,1,4,4,1,4,0,4,3,1,2,3,2,3
drumstel,2,4,4,3,4,0,2,1,0,4,3,4,0,0,0,0,0,4,1,3,4,0,0,4,1,4,1,0,4,3,4,0,4,3,1,4,3,2,4
dwarsfluit,4,1,1,1,1,0,4,0,1,4,3,2,1,0,0,0,0,4,1,4,4,3,4,4,0,3,2,0,4,1,4,0,4,3,4,2,3,2,4
fagot,3,1,2,3,1,3,1,0,0,4,3,2,1,0,0,0,0,4,1,3,4,3,4,4,0,2,2,0,4,1,4,0,4,3,4,2,3,2,3
fluit,4,3,4,4,4,3,1,0,0,4,3,0,1,0,0,0,0,4,3,2,4,3,4,4,1,2,1,0,4,1,4,1,4,2,4,2,4,3,3
gitaar,3,4,3,4,4,4,0,4,0,4,3,2,0,4,0,0,0,4,4,2,4,2,0,4,0,4,0,0,4,1,4,0,4,3,1,3,4,4,4
harp,4,4,3,2,1,4,0,4,0,4,3,4,0,0,4,0,0,4,1,3,4,3,0,4,0,4,0,0,4,1,4,0,4,3,3,3,4,3,4
klarinet,3,3,2,2,1,2,2,0,0,4,3,2,0,0,0,0,0,4,1,3,4,3,4,4,0,3,3,0,4,1,4,0,4,3,4,2,3,2,3
klavecimbel,4,4,4,1,2,4,0,3,4,4,3,4,0,0,0,4,0,4,1,2,3,3,0,4,0,4,0,2,4,1,4,0,4,3,2,2,3,4,4
mondharmonica,3,2,3,4,3,1,3,0,0,4,3,0,0,0,0,0,0,4,1,3,4,2,4,4,0,3,1,1,4,1,4,0,4,3,1,3,3,3,3
orgel,4,4,4,4,3,3,1,0,3,4,3,4,0,0,0,3,0,4,1,3,3,3,0,4,0,2,0,4,4,1,4,0,4,3,1,1,3,4,3
panfluit,4,4,1,2,1,4,0,0,0,4,3,0,0,0,0,0,0,4,1,3,4,1,4,4,1,4,0,2,4,1,3,1,4,3,1,2,3,2,4
piano,3,4,4,3,4,4,0,3,4,4,3,4,0,0,0,3,0,4,2,3,4,3,0,4,0,4,0,0,4,1,4,0,4,3,2,2,3,4,4
saxofoon,1,3,1,3,3,0,3,0,0,4,3,3,0,0,0,0,0,4,1,4,4,3,4,4,0,4,4,1,4,1,4,0,4,3,2,2,3,3,4
synthesizer,1,4,2,4,2,0,0,0,4,4,3,3,0,0,0,3,0,4,1,2,4,3,0,4,0,2,0,1,4,4,4,0,4,3,1,3,2,4,3
tamboerijn,3,4,3,1,1,1,0,0,0,4,3,0,0,0,0,0,0,4,1,0,4,0,0,2,1,1,2,0,4,0,2,2,4,1,1,4,4,2,3
triangel,2,4,1,1,1,0,4,0,0,4,2,0,0,0,0,0,0,3,1,0,4,0,0,2,2,2,2,1,4,0,2,0,4,2,4,4,3,2,4
trombone,3,2,2,2,1,0,3,0,1,4,3,2,0,0,0,0,0,4,1,4,4,3,4,4,0,3,4,0,4,1,4,0,4,3,3,2,3,2,3
trommel,3,4,4,4,4,2,1,0,0,4,3,0,0,0,0,0,0,4,1,0,4,0,0,3,1,2,3,0,4,0,3,2,4,3,3,3,3,3,3
trompet,4,2,1,2,2,0,3,0,1,4,3,1,0,0,0,0,0,4,1,3,4,3,4,4,0,3,4,0,4,1,4,0,4,3,4,2,3,2,3
viool,4,3,2,3,1,4,0,4,0,4,3,3,0,0,0,0,3,4,1,4,4,3,0,4,0,2,0,0,4,2,4,0,4,3,4,2,4,3,3
